Category,Product Name,Price,Product URL
Women,Natalie Skinny Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10635
Women,Natalie Skinny Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10639
Men,Ricardo Slim Fit Erkek Pantolon,"974,96",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-10245
Women,Crop Wide Leg Regular Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/crop-wide-leg-regular-fit-kadin-pantolon-14543
Women,Mom Slim Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/mom-slim-fit-kadin-pantolon-10636
Women,Natalie Skinny Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10631
Men,68 Simon Straight Fit Erkek Pantolon,"1199,96",https://www.loft.com.tr/p/68-simon-straight-fit-erkek-pantolon-13587
Women,Flare Slim Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/flare-slim-fit-kadin-pantolon-14138
Women,Straight Fit Kadın Pantolon,"1499,96",https://www.loft.com.tr/p/straight-fit-kadin-pantolon-14479
Women,Wide Leg Regular Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/wide-leg-regular-fit-kadin-pantolon-14449
Women,Wide Leg Regular Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/wide-leg-regular-fit-kadin-pantolon-13724
Men,Justin Skinny Erkek Pantolon,"974,96",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-12877
Men,68 Simon Regular Fit Erkek Pantolon,"599,96",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-12359
Women,Baggy Regular Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/baggy-regular-fit-kadin-pantolon-14534
Men,Ricardo Slim Fit Erkek Pantolon,"1199,96",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13394
Men,Terrybrown Slim Fit Erkek Pantolon,"974,96",https://www.loft.com.tr/p/terrybrown-slim-fit-erkek-pantolon-10247
Women,Comfort Straight Comfort Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/comfort-straight-comfort-fit-kadin-pantolon-10634
Men,Justin Skinny Erkek Pantolon,"974,96",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-12886
Men,Mateo Baggy Fit Erkek Pantolon,"974,96",https://www.loft.com.tr/p/mateo-baggy-fit-erkek-pantolon-14163
Men,Marco Slim Fit Erkek Pantolon,"1199,96",https://www.loft.com.tr/p/marco-slim-fit-erkek-pantolon-14612
Men,Regular Fit Erkek Pantolon,"1349,96",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-14225
