YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W10,15294.04,,0.0
2026-W11,15577.6,1.85,1.54
2026-W12,15896.96,2.05,1.88
2026-W13,15801.06,-0.6,-0.65
2026-W14,15684.35,-0.74,-0.42
2026-W15,15875.05,1.22,1.16
2026-W16,15972.91,0.62,1.66
2026-W17,15993.73,0.13,0.28
2026-W18,15907.72,-0.54,-0.33
2026-W19,15997.39,0.56,0.41
2026-W20,16230.98,1.46,0.77
2026-W21,16194.01,-0.23,-0.49
2026-W22,16256.27,0.38,2.97
