Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-09,15780.57,,0.0
2026-03-11,15801.47,0.13,0.23
2026-03-12,15935.41,0.85,0.64
2026-03-13,19122.05,20.0,10.93
2026-03-14,15871.85,-17.0,-13.96
2026-03-15,15868.59,-0.02,0.15
2026-03-16,15829.22,-0.25,-0.29
2026-03-17,15809.63,-0.12,-0.2
2026-03-18,15737.27,-0.46,-0.23
2026-03-19,15650.0,-0.55,-0.38
2026-03-20,15603.97,-0.29,0.13
2026-03-21,15651.31,0.3,0.03
2026-03-22,15618.93,-0.21,0.01
2026-03-23,15676.23,0.37,-0.2
2026-03-24,15693.92,0.11,0.31
2026-03-25,15750.39,0.36,-0.13
2026-03-26,15814.89,0.41,0.33
2026-03-27,15855.2,0.25,0.33
2026-03-28,15876.78,0.14,-0.04
2026-03-29,15929.54,0.33,0.36
2026-03-30,15904.45,-0.16,-0.19
2026-04-01,15960.12,0.35,0.02
2026-04-02,16002.47,0.27,-0.04
2026-04-03,15923.46,-0.49,-0.2
2026-04-05,16049.43,0.79,0.31
2026-04-06,16024.34,-0.16,0.28
2026-04-07,15984.4,-0.25,-0.05
2026-04-08,15952.11,-0.2,0.12
2026-04-09,15886.54,-0.41,-0.22
2026-04-10,15914.44,0.18,0.15
2026-04-11,15936.48,0.14,-0.04
2026-04-12,16001.93,0.41,0.23
2026-04-13,15965.26,-0.23,-0.12
2026-04-14,16013.29,0.3,-0.09
2026-04-15,16027.74,0.09,-0.1
2026-04-16,16129.7,0.64,0.92
2026-04-17,16090.0,-0.25,-0.1
2026-04-18,16186.03,0.6,0.41
2026-04-19,16143.32,-0.26,-0.1
2026-04-20,16078.97,-0.4,0.04
2026-04-21,16174.3,0.59,0.17
2026-04-22,16314.51,0.87,0.92
2026-04-23,16340.24,0.16,0.12
2026-04-24,16376.17,0.22,0.19
2026-04-25,16288.39,-0.54,-0.44
2026-04-26,16359.07,0.43,0.1
2026-04-27,16303.35,-0.34,-0.33
2026-04-28,16336.59,0.2,0.33
2026-04-29,16346.32,0.06,0.19
2026-04-30,16314.08,-0.2,-0.21
2026-05-01,16284.22,-0.18,-0.26
2026-05-02,16310.37,0.16,0.05
2026-05-03,16342.1,0.19,-0.06
2026-05-04,16328.18,-0.09,0.33
2026-05-05,16407.63,0.49,0.36
2026-05-06,16427.35,0.12,0.3
2026-05-07,16500.65,0.45,0.13
2026-05-08,16517.65,0.1,0.02
2026-05-09,16453.49,-0.39,-0.12
2026-05-10,16488.79,0.21,0.05
2026-05-11,16449.5,-0.24,-0.05
2026-05-12,16513.02,0.39,0.62
2026-05-13,16555.43,0.26,0.11
2026-05-16,16693.49,0.83,0.61
2026-05-17,16617.86,-0.45,-0.32
2026-05-18,16682.74,0.39,0.32
2026-05-19,16766.45,0.5,0.26
2026-05-20,16846.88,0.48,0.37
2026-05-21,18226.71,8.19,3.91
2026-05-22,16699.87,-8.38,-4.28
2026-05-23,16702.65,0.02,-0.12
2026-05-24,16675.47,-0.16,0.07
2026-05-25,16761.62,0.52,0.22
2026-05-26,16735.38,-0.16,-0.13
