YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W11,16228.67,,0.0
2026-W12,15699.45,-3.26,-1.82
2026-W13,15800.1,0.64,0.16
2026-W14,15967.64,1.06,0.37
2026-W15,15957.25,-0.07,0.38
2026-W16,16078.94,0.76,0.48
2026-W17,16275.4,1.22,1.38
2026-W18,16319.56,0.27,0.07
2026-W19,16446.43,0.78,0.75
2026-W20,16566.04,0.73,0.83
2026-W21,16907.35,2.06,1.37
2026-W22,16748.49,-0.94,-0.4
