product_id,product_name,category,price
20004,"Ülker Bizim Yerli Baldo Pirinç 2,5 kg",Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"250,00TL"
21923,Ülker Bizim Köftelik Bulgur 1 Kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"37,50TL"
12943,Besler Mutfak Pilavlık Bulgur 25 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"635,00TL"
13296,Besler Mutfak Dermason Fasulye 1 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"64,90TL"
13303,Besler Mutfak Kırmızı Mercimek 1 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"49,50TL"
13846,Besler Mutfak Osmancık Pirinç 25 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"725,00TL"
14016,"Besler Mutfak Kırmızı Mercimek 2,5 kg",Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"122,00TL"
14019,"Besler Mutfak Osmancık Pirinç 2,5 kg",Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"179,00TL"
14209,Besler Mutfak Cin Mısır 1 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"35,90TL"
14210,Besler Mutfak Aşurelik Buğday 1 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"29,90TL"
22597,Besler Mutfak Basmati Pirinç 1 Kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"79,50TL"
19950,Ülker Bizim Yerli Baldo Pirinç 25 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Ülker Bizim Yerli Baldo Pirinç 25 kg Stoğa girince haber ver
14188,Besler Mutfak Sıra Fasulye 25 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Besler Mutfak Sıra Fasulye 25 kg Stoğa girince haber ver
17565,Yayla Gönen Baldo Pirinç 2 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Yayla Gönen Baldo Pirinç 2 kg Stoğa girince haber ver
21575,Ülker Bizim Yerli Pilavlık Bulgur 1 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Ülker Bizim Yerli Pilavlık Bulgur 1 kg Stoğa girince haber ver
21924,Besler Mutfak Yasemin Pirinç 1 Kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Besler Mutfak Yasemin Pirinç 1 Kg Stoğa girince haber ver
23542,Yayla Tane Tane Pirinç 25 Kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Yayla Tane Tane Pirinç 25 Kg Stoğa girince haber ver
12148,Besler Mutfak Nohut 25 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Besler Mutfak Nohut 25 kg Stoğa girince haber ver
12930,Besler Mutfak Baldo Pirinç 10 Kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Besler Mutfak Baldo Pirinç 10 Kg Stoğa girince haber ver
22598,Besler Mutfak İthal Pilavlık Pirinç 25 Kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Besler Mutfak İthal Pilavlık Pirinç 25 Kg Stoğa girince haber ver
20200,Ülker Bizim Yerli Osmancık Pirinç 25 kg,Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,Ülker Bizim Yerli Osmancık Pirinç 25 kg Stoğa girince haber ver
20288,"Ülker Bizim Yerli Dermason Fasulye 2,5 kg",Kazandıran Ürünler > Bakliyat - Bulgur - Pirinç,"Ülker Bizim Yerli Dermason Fasulye 2,5 kg Stoğa girince haber ver"
18035,Knorr Çabuk Çorba Kıtırlı Domates 22 g 24'lü,Kazandıran Ürünler > Çorba,"15,90TL"
12333,Knorr Mercimek Çorbası 76 g,Kazandıran Ürünler > Çorba,"32,50TL"
12759,İrem Dila Katkısız Tarhana 500 g,Kazandıran Ürünler > Çorba,"89,90TL"
11812,Knorr Ezogelin Çorbası 74 g,Kazandıran Ürünler > Çorba,"32,50TL"
12247,Knorr Kremalı Tavuk Çorbası 65 g,Kazandıran Ürünler > Çorba,"32,50TL"
12248,Knorr Kremalı Mantar Çorbası 63 g,Kazandıran Ürünler > Çorba,"32,50TL"
18551,Knorr Domates Çorbası 69 g,Kazandıran Ürünler > Çorba,"32,50TL"
12699,Superfresh Milföy Hamuru 1 kg,Kazandıran Ürünler > Dondurulmuş Gıda,"99,00TL"
18159,Superfresh Patatesli Rulo Börek 500 g,Kazandıran Ürünler > Dondurulmuş Gıda,"179,00TL"
22094,"Frimer Garnitür (Patates Havuç Bezelye) 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"137,00TL"
22095,"Frimer Dondurulmuş Ispanak 2,5 kg",Kazandıran Ürünler > Dondurulmuş Gıda,"167,00TL"
22684,İnci Soğan Halkası 450 gr,Kazandıran Ürünler > Dondurulmuş Gıda,"39,50TL"
23213,Sinangil Çeşidim Soğuk Baklava 400 G,Kazandıran Ürünler > Dondurulmuş Gıda,"229,00TL"
15657,Lezzet Bohça Mantı 2 kg,Kazandıran Ürünler > Dondurulmuş Gıda,"449,00TL"
18158,Superfresh Ispanaklı Rulo Börek 500 g,Kazandıran Ürünler > Dondurulmuş Gıda,"179,00TL"
19509,Superfresh Tepsi Böreği Peynirli 650 g,Kazandıran Ürünler > Dondurulmuş Gıda,"99,00TL"
20789,"Superfresh Patates Profesyonel 2,5 kg",Kazandıran Ürünler > Dondurulmuş Gıda,"209,00TL"
22462,Superfresh Mısır 450 g,Kazandıran Ürünler > Dondurulmuş Gıda,"109,00TL"
22887,"Frimer Klasik Patates 9x9 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"147,00TL"
23766,Pidemiss Kıymalı Mini Pide 400 g,Kazandıran Ürünler > Dondurulmuş Gıda,"179,00TL"
12702,Superfresh Patates 1 kg,Kazandıran Ürünler > Dondurulmuş Gıda,"179,00TL"
13885,Superfresh Pizza King 4'lü 780 g,Kazandıran Ürünler > Dondurulmuş Gıda,"299,00TL"
17199,Superfresh Kayseri Mantı 400 g,Kazandıran Ürünler > Dondurulmuş Gıda,"134,00TL"
22533,Superfresh Ispanak Peynir Dolgulu Patates Kroket 360g,Kazandıran Ürünler > Dondurulmuş Gıda,"129,00TL"
22563,İnci Bezelye 450g,Kazandıran Ürünler > Dondurulmuş Gıda,"39,50TL"
22569,İnci Garnitür 450g,Kazandıran Ürünler > Dondurulmuş Gıda,"29,90TL"
23036,İnci Pizza 820 g,Kazandıran Ürünler > Dondurulmuş Gıda,"129,00TL"
23376,"Frimer Bezelye 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"185,00TL"
14137,"Natura Elma Dilim Patates 2,5 kg",Kazandıran Ürünler > Dondurulmuş Gıda,"129,00TL"
15387,"Muti Mısır 2,5 kg",Kazandıran Ürünler > Dondurulmuş Gıda,"199,00TL"
19171,Superfresh Soğan Kroket 450 g,Kazandıran Ürünler > Dondurulmuş Gıda,"124,00TL"
22461,Superfresh Bezelye 450 g,Kazandıran Ürünler > Dondurulmuş Gıda,"99,90TL"
22480,İnci Mısır 450 g,Kazandıran Ürünler > Dondurulmuş Gıda,"52,50TL"
22664,Dr.Oetker Mini Ristorante Mısta Pizza 600 g,Kazandıran Ürünler > Dondurulmuş Gıda,"264,00TL"
22668,İnci Milföy 1 Kg,Kazandıran Ürünler > Dondurulmuş Gıda,"75,00TL"
22888,"Frimer Profesyonel Patates 9x9 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"129,00TL"
23395,Pidemiss Dondurulmuş Lahmacun 5x100 G,Kazandıran Ürünler > Dondurulmuş Gıda,"189,00TL"
23656,"Frimer Dondurulmuş Brokoli 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"195,00TL"
23752,Frimer Soğan Halka 1000 G,Kazandıran Ürünler > Dondurulmuş Gıda,"109,00TL"
23768,Exotic Dondurulmuş Limonata Bezesi 3 L,Kazandıran Ürünler > Dondurulmuş Gıda,"599,01TL"
23217,Pek Food Karışık Pizza 545 G,Kazandıran Ürünler > Dondurulmuş Gıda,"149,00TL"
23375,"Frimer Taze Fasulye 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"180,00TL"
