Store,YearMonth,Weighted_Inflation_%
adL,2026-04,0.0
koton,2026-04,0.0
stradivarius,2026-04,0.0
LCWaikiki,2026-05,0.0
adL,2026-05,0.0
koton,2026-05,0.0
stradivarius,2026-05,0.0
