item_name,price,tarih,kategori,para_birimi
Akfa Domates Salçası 4300 Gr,507.0,2026-04-15,temel-gida,TRY
Akfa Domates Salçası 830 Gr,118.0,2026-04-15,temel-gida,TRY
Akfa Domates Salçası Cam 700 Gr,118.5,2026-04-15,temel-gida,TRY
Amoy Soya Sosu 750 Ml,302.0,2026-04-15,temel-gida,TRY
Ankara Makarna Arpa Şehriye 5 Kg,455.0,2026-04-15,temel-gida,TRY
Ankara Makarna Arpa Şehriye 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Boncuk 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Burgu 5 Kg,455.0,2026-04-15,temel-gida,TRY
Ankara Makarna Burgu 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Dirsek 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Erişte 5 Kg,455.0,2026-04-15,temel-gida,TRY
Ankara Makarna Erişte 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Fiyonk 5 Kg,455.0,2026-04-15,temel-gida,TRY
Ankara Makarna Fiyonk 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Fırın 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna İnce Uzun 5 Kg,455.0,2026-04-15,temel-gida,TRY
Ankara Makarna İnce Uzun 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna İrmik 500 Gr,48.25,2026-04-15,temel-gida,TRY
Ankara Makarna Kalem 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Kelebek 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Kepekli Spagetti 350 Gr,47.0,2026-04-15,temel-gida,TRY
Ankara Makarna Kuskus 5 Kg,381.0,2026-04-15,temel-gida,TRY
Ankara Makarna Kuskus 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Mantı 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Nuhun Gemisi 350 Gr,47.0,2026-04-15,temel-gida,TRY
Ankara Makarna Sebzeli Burgu 350 Gr,47.0,2026-04-15,temel-gida,TRY
Ankara Makarna Spagetti 5 Kg,455.0,2026-04-15,temel-gida,TRY
Ankara Makarna Spagetti 500 Gr,45.5,2026-04-15,temel-gida,TRY
Ankara Makarna Tam Buğday Kalem 500 Gr,54.0,2026-04-15,temel-gida,TRY
Ankara Makarna Tel Şehriye 5 Kg,455.0,2026-04-15,temel-gida,TRY
Ankara Makarna Tel Şehriye 500 Gr,45.05,2026-04-15,temel-gida,TRY
Ankara Makarna Yüksük 5 Kg,455.0,2026-04-15,temel-gida,TRY
Ankara Makarna Yüksük 500 Gr,45.5,2026-04-15,temel-gida,TRY
Azmanlı Katkısız Acı Ev Tarhanası 500 Gr,266.0,2026-04-15,temel-gida,TRY
Azmanlı Katkısız Tatlı Ev Tarhanası 500 Gr,266.0,2026-04-15,temel-gida,TRY
Bafra Pirinç 25 Kg Osmancık (Çuval),2770.0,2026-04-15,temel-gida,TRY
Bafra Pirinç Osmancık 1 Kg,117.0,2026-04-15,temel-gida,TRY
Bağdat Acı Toz Biber 75 Gr,93.0,2026-04-15,temel-gida,TRY
Bağdat Cajun Baharatı Cam 55 Gr,111.5,2026-04-15,temel-gida,TRY
Bağdat Çıtır Pane Harcı 90 Gr,62.0,2026-04-15,temel-gida,TRY
Bağdat Çörek Otu 75 Gr,93.5,2026-04-15,temel-gida,TRY
Bağdat Dolmalık Fıstık 23 Gr,279.0,2026-04-15,temel-gida,TRY
Bağdat Ekstra Acı Pul Biber 80 Gr,100.0,2026-04-15,temel-gida,TRY
Bağdat Fesleğen 30 Gr,44.0,2026-04-15,temel-gida,TRY
Bağdat Galeta Unu 250 Gr,55.5,2026-04-15,temel-gida,TRY
Bağdat Hindistan Cevizi 50 Gr,82.5,2026-04-15,temel-gida,TRY
Bağdat Hindistan Cevizi Eko 160 Gr,199.5,2026-04-15,temel-gida,TRY
Bağdat İsot Biber 200 Gr,203.0,2026-04-15,temel-gida,TRY
Bağdat İsot Biber 80 Gr,93.5,2026-04-15,temel-gida,TRY
