item_name,price,tarih,kategori,para_birimi
Bağdat Tatlı Toz Biber 75 Gr,96.5,2026-03-21,temel-gida,TRY
Bağdat Tavuk Harcı 65 Gr,72.0,2026-03-21,temel-gida,TRY
Bağdat Yenibahar 40 Gr,108.5,2026-03-21,temel-gida,TRY
Bağdat Zencefil 60 Gr,88.0,2026-03-21,temel-gida,TRY
Bağdat Zerdeçal 70 Gr,79.0,2026-03-21,temel-gida,TRY
Bağdat Zerdeçal Cam 55 Gr,110.0,2026-03-21,temel-gida,TRY
Balküpü Küp Şeker 1 Kg,84.5,2026-03-21,temel-gida,TRY
Barilla Burgu Makarna 500 Gr,67.5,2026-03-21,temel-gida,TRY
Barilla Fiyonk Makarna 500 Gr,67.5,2026-03-21,temel-gida,TRY
Barilla Kelebek Makarna 500 Gr,67.5,2026-03-21,temel-gida,TRY
Barilla Lasagne Makarna 500 Gr,223.5,2026-03-21,temel-gida,TRY
Barilla Pesto Genovese Makarna Sosu 190 Gr,206.5,2026-03-21,temel-gida,TRY
Barilla Pipette Bukle Makarna 500 Gr,67.5,2026-03-21,temel-gida,TRY
Barilla Spagetti 500 Gr,67.5,2026-03-21,temel-gida,TRY
Barilla Tagliatelle Makarna 500 Gr,219.0,2026-03-21,temel-gida,TRY
Barilla Yassı Spagetti 500 Gr,67.5,2026-03-21,temel-gida,TRY
Bibercizade Acı Toz Biber 120 Gr,81.5,2026-03-21,temel-gida,TRY
Bibercizade Çiğ Köfte Seti 600 Gr,171.5,2026-03-21,temel-gida,TRY
Bibercizade Çiğköfte Seti 380 Gr,128.0,2026-03-21,temel-gida,TRY
Bibercizade Çörek Otu 150 Gr,81.5,2026-03-21,temel-gida,TRY
Bibercizade Dolmalık Fıstık 25 Gr,196.5,2026-03-21,temel-gida,TRY
Bibercizade Hindistan Cevizi 100 Gr,78.0,2026-03-21,temel-gida,TRY
Bibercizade Hindistan Cevizi 250 Gr,129.0,2026-03-21,temel-gida,TRY
Bibercizade İsot 120 Gr,78.5,2026-03-21,temel-gida,TRY
Bibercizade İsot 500 Gr,197.0,2026-03-21,temel-gida,TRY
Bibercizade Kabuk Tarçın 50 Gr,69.0,2026-03-21,temel-gida,TRY
Bibercizade KaraBiber 120 Gr,147.5,2026-03-21,temel-gida,TRY
Bibercizade Karanfil 20 Gr,45.5,2026-03-21,temel-gida,TRY
Bibercizade Karbonat 200 Gr,56.5,2026-03-21,temel-gida,TRY
Bibercizade Kekik 250 Gr,238.5,2026-03-21,temel-gida,TRY
Bibercizade Kimyon 1 Kg,450.0,2026-03-21,temel-gida,TRY
Bibercizade Kimyon 120 Gr,81.5,2026-03-21,temel-gida,TRY
Bibercizade Kimyon 250 Gr,137.0,2026-03-21,temel-gida,TRY
Bibercizade Köfte Harcı 90 Gr,58.5,2026-03-21,temel-gida,TRY
Bibercizade Köri 120 Gr,50.0,2026-03-21,temel-gida,TRY
Bibercizade Kuş Üzümü 120 Gr,136.5,2026-03-21,temel-gida,TRY
Bibercizade Limon Tuzu 1 Kg,242.0,2026-03-21,temel-gida,TRY
Bibercizade Limon Tuzu 200 Gr,76.0,2026-03-21,temel-gida,TRY
Bibercizade Mahlep 100 Gr,147.0,2026-03-21,temel-gida,TRY
Bibercizade Mavi Haşhaş 120 Gr,78.5,2026-03-21,temel-gida,TRY
Bibercizade Nane 40 Gr,37.0,2026-03-21,temel-gida,TRY
Bibercizade Pasta Süsü 100 Gr,50.0,2026-03-21,temel-gida,TRY
Bibercizade Pul Biber 120 Gr,78.5,2026-03-21,temel-gida,TRY
Bibercizade Sumak 120 Gr,89.0,2026-03-21,temel-gida,TRY
Bibercizade Susam 150 Gr,70.0,2026-03-21,temel-gida,TRY
Bibercizade Tane Kara Biber 60 Gr,81.0,2026-03-21,temel-gida,TRY
Bibercizade Tane Zencefil 120 Gr,96.0,2026-03-21,temel-gida,TRY
Bibercizade Tarçın 120 Gr,78.5,2026-03-21,temel-gida,TRY
Bibercizade Tatlı Biber 250 Gr,159.5,2026-03-21,temel-gida,TRY
Bibercizade Tatlı Toz Biber 120 Gr,81.5,2026-03-21,temel-gida,TRY
Bibercizade Tatlı Toz Biber 250 Gr,121.5,2026-03-21,temel-gida,TRY
Bibercizade Toz Tatlı Biber 1 Kg,367.0,2026-03-21,temel-gida,TRY
Bibercizade Yenibahar 100 Gr,122.5,2026-03-21,temel-gida,TRY
Bibercizade Zencefil 100 Gr,78.5,2026-03-21,temel-gida,TRY
Bibercizade Zerdeçal 100 Gr,64.5,2026-03-21,temel-gida,TRY
Billur Demir Mineralli İyotlu Sofra Tuzu 500 Gr,70.0,2026-03-21,temel-gida,TRY
Billur İyotlu Tuz 750 Gr,39.0,2026-03-21,temel-gida,TRY
Billur Karton Tuz 250 Gr,37.0,2026-03-21,temel-gida,TRY
Billur Tuz İyotlu 3 Kg,201.5,2026-03-21,temel-gida,TRY
Billur Tuz İyotlu Tuzluklu 125 Gr,24.5,2026-03-21,temel-gida,TRY
"Billur Tuz Rafine İyotlu Sofra Tuzu 1,5 Kg",79.5,2026-03-21,temel-gida,TRY
Billur Tuz Sodyumu Azaltılmış İyotsuz Sofra Tuzu 500 Gr,116.5,2026-03-21,temel-gida,TRY
Billur Tuz Sofrada Öğütme Deniz Tuzu 500 Gr,71.5,2026-03-21,temel-gida,TRY
Billur Tuz Sofrada Öğütme Yemeklik Himalaya Kristal Granül Doğal Kaya Tuzu 200 Gr Değirmenli,94.5,2026-03-21,temel-gida,TRY
Billur Tuzluklu Tuz 500 Gr,51.5,2026-03-21,temel-gida,TRY
Biryağ Ayçiçek Yağı 1 Lt,172.5,2026-03-21,temel-gida,TRY
Biryağ Ayçiçek Yağı 2 Lt,321.5,2026-03-21,temel-gida,TRY
Bizim Mutfak Çikolata Sosu 98 Gr,60.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Çilekli Puding 120 Gr,45.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Domates Çorbası 65 Gr,45.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Ezogelin Çorbası 80 Gr,43.5,2026-03-21,temel-gida,TRY
Bizim Mutfak İşkembe Çorbası 80 Gr,36.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Krem Şanti 150 Gr,73.5,2026-03-21,temel-gida,TRY
Bizim Mutfak Krem Şanti 75 Gr,43.5,2026-03-21,temel-gida,TRY
Bizim Mutfak Kremalı Mantar Çorbası 65 Gr,45.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Kremalı Tavuk Çorbası 62 Gr,45.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Mercimek Çorbası 72 Gr,45.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Tarhana Çorbası 65 Gr,45.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Vanilyalı Puding 125 Gr,45.0,2026-03-21,temel-gida,TRY
Bizim Mutfak Yayla Çorbası 80 Gr,43.5,2026-03-21,temel-gida,TRY
Burcu Acı Biber Salçası 1500 Gr,300.5,2026-03-21,temel-gida,TRY
Burcu Acı Tatlı Karışık Salça 1500 Gr,292.5,2026-03-21,temel-gida,TRY
Burcu Ajvar Acı 310 Gr,78.5,2026-03-21,temel-gida,TRY
Burcu Ajvar Tatlı 310 Gr,78.5,2026-03-21,temel-gida,TRY
Burcu Bamya Konservesi 550 Gr,184.5,2026-03-21,temel-gida,TRY
Burcu Barbekü Sos 330 Gr,61.5,2026-03-21,temel-gida,TRY
Burcu Barbunya Pilaki Hazır Yemek 400 Gr,61.5,2026-03-21,temel-gida,TRY
Burcu Bezelye Konservesi 4250 Gr,351.0,2026-03-21,temel-gida,TRY
Burcu Bezelye Konservesi 570 Gr Cam Kavanoz,69.5,2026-03-21,temel-gida,TRY
Burcu Bezelye Konservesi 830 Gr,82.5,2026-03-21,temel-gida,TRY
Burcu Bütün Mantar Cam Kavanoz 560 Gr,190.5,2026-03-21,temel-gida,TRY
Burcu Dilimli Mantar Cam Kavanoz 560 Gr,190.5,2026-03-21,temel-gida,TRY
Burcu Domates Rendesi 700 Gr,66.5,2026-03-21,temel-gida,TRY
Burcu Domates Salçası 1500 Gr,207.5,2026-03-21,temel-gida,TRY
Burcu Domates Salçası 4300 Gr,498.0,2026-03-21,temel-gida,TRY
Burcu Domates Salçası 830 Gr,81.5,2026-03-21,temel-gida,TRY
Burcu Enginar Konservesi 540 Gr Cam Kavanoz,236.0,2026-03-21,temel-gida,TRY
