tarih,kategori,urun_adi,fiyat,para_birimi
2026-04-20,temel-gida,Bağdat Susam 75 Gr,64.00,TRY
2026-04-20,temel-gida,Bağdat Tane KaraBiber 40 Gr,97.00,TRY
2026-04-20,temel-gida,Bağdat Tarçın 45 Gr,69.50,TRY
2026-04-20,temel-gida,Bağdat Tatlı Toz Biber 1 Kg,641.00,TRY
2026-04-20,temel-gida,Bağdat Tatlı Toz Biber 75 Gr,97.50,TRY
2026-04-20,temel-gida,Bağdat Tavuk Harcı 65 Gr,72.50,TRY
2026-04-20,temel-gida,Bağdat Yenibahar 40 Gr,109.00,TRY
2026-04-20,temel-gida,Bağdat Zencefil 60 Gr,88.50,TRY
2026-04-20,temel-gida,Bağdat Zerdeçal 70 Gr,79.50,TRY
2026-04-20,temel-gida,Bağdat Zerdeçal Cam 55 Gr,111.00,TRY
2026-04-20,temel-gida,Balküpü Küp Şeker 1 Kg,85.00,TRY
2026-04-20,temel-gida,Barbunya 1 Kg,176.50,TRY
2026-04-20,temel-gida,Barbunya 25 Kg (Çuval),4075.00,TRY
2026-04-20,temel-gida,Barilla Burgu Makarna 500 Gr,68.00,TRY
2026-04-20,temel-gida,Barilla Fiyonk Makarna 500 Gr,68.00,TRY
2026-04-20,temel-gida,Barilla Kelebek Makarna 500 Gr,68.00,TRY
2026-04-20,temel-gida,Barilla Pesto Genovese Makarna Sosu 190 Gr,208.00,TRY
2026-04-20,temel-gida,Barilla Pipette Bukle Makarna 500 Gr,68.00,TRY
2026-04-20,temel-gida,Barilla Spagetti 500 Gr,68.00,TRY
2026-04-20,temel-gida,Barilla Tagliatelle Makarna 500 Gr,220.50,TRY
2026-04-20,temel-gida,Barilla Yassı Spagetti 500 Gr,68.00,TRY
2026-04-20,temel-gida,Beşler Glutensiz Kesme Makarna 400 Gr,165.50,TRY
2026-04-20,temel-gida,Bibercizade Acı Toz Biber 120 Gr,89.00,TRY
2026-04-20,temel-gida,Bibercizade Çiğ Köfte Seti 600 Gr,182.00,TRY
2026-04-20,temel-gida,Bibercizade Çiğköfte Seti 380 Gr,135.50,TRY
2026-04-20,temel-gida,Bibercizade Çörek Otu 150 Gr,89.00,TRY
2026-04-20,temel-gida,Bibercizade Dolmalık Fıstık 25 Gr,204.50,TRY
2026-04-20,temel-gida,Bibercizade Hindistan Cevizi 100 Gr,81.50,TRY
2026-04-20,temel-gida,Bibercizade Hindistan Cevizi 250 Gr,129.50,TRY
2026-04-20,temel-gida,Bibercizade İsot 120 Gr,88.50,TRY
2026-04-20,temel-gida,Bibercizade İsot 500 Gr,207.50,TRY
2026-04-20,temel-gida,Bibercizade Kabuk Tarçın 50 Gr,76.50,TRY
2026-04-20,temel-gida,Bibercizade KaraBiber 120 Gr,155.00,TRY
2026-04-20,temel-gida,Bibercizade Karanfil 20 Gr,52.50,TRY
2026-04-20,temel-gida,Bibercizade Karbonat 200 Gr,59.50,TRY
2026-04-20,temel-gida,Bibercizade Kekik 250 Gr,310.50,TRY
2026-04-20,temel-gida,Bibercizade Kimyon 1 Kg,453.00,TRY
2026-04-20,temel-gida,Bibercizade Kimyon 120 Gr,89.00,TRY
2026-04-20,temel-gida,Bibercizade Kimyon 250 Gr,144.50,TRY
2026-04-20,temel-gida,Bibercizade Köfte Harcı 90 Gr,72.50,TRY
2026-04-20,temel-gida,Bibercizade Köri 120 Gr,59.50,TRY
2026-04-20,temel-gida,Bibercizade Kuş Üzümü 120 Gr,147.00,TRY
2026-04-20,temel-gida,Bibercizade Limon Tuzu 1 Kg,253.00,TRY
2026-04-20,temel-gida,Bibercizade Limon Tuzu 200 Gr,83.50,TRY
2026-04-20,temel-gida,Bibercizade Mahlep 100 Gr,229.00,TRY
2026-04-20,temel-gida,Bibercizade Mavi Haşhaş 120 Gr,82.00,TRY
2026-04-20,temel-gida,Bibercizade Nane 40 Gr,44.00,TRY
2026-04-20,temel-gida,Bibercizade Pasta Süsü 100 Gr,53.00,TRY
2026-04-20,temel-gida,Bibercizade Pul Biber 120 Gr,88.50,TRY
2026-04-20,temel-gida,Bibercizade Sumak 120 Gr,105.50,TRY
2026-04-20,temel-gida,Bibercizade Susam 150 Gr,77.00,TRY
2026-04-20,temel-gida,Bibercizade Tane Kara Biber 60 Gr,88.50,TRY
2026-04-20,temel-gida,Bibercizade Tane Zencefil 120 Gr,106.00,TRY
2026-04-20,temel-gida,Bibercizade Tarçın 120 Gr,88.50,TRY
2026-04-20,temel-gida,Bibercizade Tatlı Biber 250 Gr,160.50,TRY
2026-04-20,temel-gida,Bibercizade Tatlı Toz Biber 120 Gr,89.00,TRY
2026-04-20,temel-gida,Bibercizade Tatlı Toz Biber 250 Gr,129.00,TRY
2026-04-20,temel-gida,Bibercizade Toz Tatlı Biber 1 Kg,369.50,TRY
2026-04-20,temel-gida,Bibercizade Yenibahar 100 Gr,126.00,TRY
2026-04-20,temel-gida,Bibercizade Zencefil 100 Gr,88.50,TRY
2026-04-20,temel-gida,Bibercizade Zerdeçal 100 Gr,68.00,TRY
2026-04-20,temel-gida,Billur Demir Mineralli İyotlu Sofra Tuzu 500 Gr,76.50,TRY
2026-04-20,temel-gida,Billur İyotlu Tuz 750 Gr,42.00,TRY
2026-04-20,temel-gida,Billur Karton Tuz 250 Gr,41.00,TRY
2026-04-20,temel-gida,Billur Tuz İyotlu 3 Kg,215.00,TRY
2026-04-20,temel-gida,Billur Tuz İyotlu Tuzluklu 125 Gr,27.50,TRY
2026-04-20,temel-gida,"Billur Tuz Rafine İyotlu Sofra Tuzu 1,5 Kg",87.00,TRY
