name,price
Avokado 1 Adet,114.95
Muz Yerli 500 gr,51.73
Muz İthal 500 gr,80.47
Patates Tatlı 500 gr,68.97
Mango 1 Adet,137.95
Yaban Mersin 125 gr 1 Adet,103.45
Ananas 1 Adet,172.45
Hindistan Cevizi 1 Adet,114.95
Ejder Meyvesi 1 Adet,114.95
Kavun Kırkağaç 5000 gr,143.50
Karpuz Çekirdeksiz 7000 gr,160.65
Karpuz Mini 3000 gr,51.60
Kavun Bal kg 5000 gr,172.25
Kavun Galya Finike Kg 3000 gr,103.35
Karpuz 10000 gr,99.50
Portakal Valen 500 gr,34.47
Limon Lamas 500 gr,57.47
Elma Gala 500 gr,45.98
Elma Golden 500 gr,57.47
Armut Santa 500 gr,57.47
Erik Mürdüm 500 gr,19.98
Erik Freze 500 gr,57.47
Erik Ancelika 500 gr,45.98
Üzüm Redclop 500 gr,57.47
Nektarin 500 gr,29.98
Üzüm Çekirdeksiz 500 gr,34.98
Şeftali 500 gr,29.98
İncir Beyaz 500 gr,114.98
Nektarin Beyaz 500 gr,86.23
Kayısı Iğdır 500 gr,103.47
Üzüm Siyah 500 gr,57.47
İncir Siyah 500 gr,143.72
Üzüm Rezaki 500 gr,51.73
Çilek Anamur 500 gr,114.98
Domates Pembe 500 gr,34.47
Biber Çarli 500 gr,45.98
Domates Antalya 500 gr,19.98
Domates Dallı 500 gr,34.47
Biber Dolma 500 gr,14.98
Biber Sivri 500 gr,51.73
Kabak Sakız 500 gr,12.22
Biber Kırmızı 500 gr,51.73
Patlıcan 500 gr,28.73
Salata Badem 500 gr,22.97
Kabak Gırıt 500 gr,28.73
Biber Şili 500 gr,114.98
Köy Biberi 500 gr,40.23
Domates Kokteyl 500 gr,45.98
Biber Sivri Tatlı 500 gr,45.98
Patlıcan Bostan 500 gr,28.73
Fasulye Börülce 500 gr,74.72
Fasulye Çalı 500 gr,114.98
Lahana Kırmızı 1500 gr,86.17
Fasulye Cino 500 gr,45.98
Maydanoz 1 Adet,22.95
Nane 1 Adet,28.70
Roka 1 Adet,28.70
Havuç 500 gr,34.47
Göbek Salata 1 Adet,34.45
ıspanak 500 gr,45.98
Semizotu 700 gr,56.32
Kıvırcık 1 Adet,34.45
Lahana Kara 1 Adet,57.45
Pazı 1 Adet,57.45
Fesleğen 1 Adet,34.45
Reyhan 1 Adet,34.45
Akdeniz Lorolosso Kırmızı 1 Adet,57.45
Turp Kırmızı Demet 1 Adet,34.45
Bayezit Salamura Yaprak 2 kg 1 Adet,402.45
Tere 1 Adet,28.70
Pancar 500 gr,40.23
Soğan Yeşil 250 gr,34.49
Soğan Kuru 500 gr,22.97
Sarımsak Kuru 500 gr,143.72
Soğan Arpacık Kg 500 gr,57.47
Patates 500 gr,28.73
Salamura Yaprak 500 gr,114.98
Mısır 1 Adet,22.95
Acı Biber 500 gr,114.98
Ran Mantar Paket 400 gr 1 Adet,103.45
Kavun Biga 5000 gr,229.75
Erik Aynalı 500 gr,45.98
Armut Etruska 500 gr,74.72
Ceviz 500 gr,172.47
Kiraz Salihli 500 gr,99.97
Kayısı Şekerpare 500 gr,114.98
Vişne 500 gr,143.72
Garliko Kuru Patlican 25'li 1 Adet,195.45
Garliko Adaçayı 50 gr 1 Adet,57.45
Barbunya 500 gr,86.23
Bayezit Salamura Yaprak 500 gr 1 Adet,229.95
Erbaa Birlik Tokat Salamura Asma Yaprağı 500 gr 1 Adet,229.95
Soğan Kırmızı Dökme Kg 500 gr,34.47
Dana Kıyma 500 gr,517.48
Dana Antrikot 500 gr,862.48
Dana Kontrfile 500 gr,747.48
Dana Bonfile 500 gr,1034.97
Süt Kuzu Pirzola 500 gr,1264.97
Süt Kuzu Kol 1500 gr,1811.18
Süt Kuzu Kemikli Fileto 500 gr,603.73
Süt Kuzu Kaburga 500 gr,517.48
Süt Kuzu Gerdan 1000 gr,1092.45
Süt Kuzu But 3000 gr,3794.85
Süt Kuzu Külbastı 500 gr,845.22
Gedik Bütün Piliç 2000 gr,275.90
Gedik Kanat Izgara 900 gr,393.25
Gedik Ciğer 500 gr,37.35
Şenpiliç Poşetli Bütün Piliç 2000 gr,275.90
Gedik But Izgara 1000 gr,367.95
Gedik Baget 1000 gr,120.70
Gedik Tavuk But Pirzola 1000 gr,159.95
Gedik Bütün Göğüs 1200 gr,219.36
Gedik Tavuk Bonfile 1000 gr,206.95
Şenpiliç Baget 1000 gr,143.70
Şenpiliç Kemiksiz Derisiz But İncik 1000 gr,356.45
Şenpiliç Bonfile 1000 gr,262.15
Gedik Tavuk But 800 gr,71.96
Şenpiliç Kalçalı But 800 gr,119.56
Şenpiliç Derili Pirzola 1000 gr,241.45
