Product Name,Price,ID
JOHNSON BABY SAMPUAN SOZ DINLEYEN 500ML,"119,00",106
JOHNSON BABY VAZELIN PARFUMLU 100GR,"119,00",107
LUX CEP MENDIL 15 LI,"0,00",108
LUX CLEUP ISLAK MENDIL 90 LI GUN FERAHLIGI,"0,00",109
LUX MAXI BEBE TEM. PAMUGU 60 LI,"0,00",110
MOLFIX KULOT BEZ S.FIRSAT PAKETI MIDI 25 LI,"241,50",111
MOLFIX FIRSAT PAKETI EXTRA LARGE 39 LU,"299,00",112
MOLFIX FIRSAT PAKETI JUNIOR 48 LI,"299,00",113
MOLFIX FIRSAT PAKETI JUNIOR PLUS 44 LU,"299,00",114
MOLFIX FIRSAT PAKETI MAXI 60 LI,"299,00",115
MOLFIX FIRSAT PAKETI MAXI PLUS 52 LI,"299,00",116
MOLFIX FIRSAT PAKETI MIDI 72 LI,"299,00",117
MOLFIX JUMBO JUNIOR 24 LU,"109,90",118
MOLFIX S.FIRSAT PURE&SOFT YENIDOGAN 92 LI,"299,00",119
PRIMA AKTIF BABY FIRSAT PAKETI MINI 72 LI,"425,00",120
SLEEPY ISLAK HAVLU ANTIBAKTERIYEL 50 LI,"34,90",121
SLEEPY ISLAK HAVLU DOGAL ORGANIK 50 LI,"34,90",122
SLEEPY ISLAK HAVLU ROSE 90LI,"34,50",123
SLEEPY ISLAK HAVLU ZEYTINYAGLI PAMUKSU 90 LI,"34,50",124
SLEEPY SENSITIVE BEBEK BAKIM ORTUSU 10 LU,"139,00",125
SLEEPY SENSITIVE BEZ IKILI JUMBO NEWBORN 80 AD,"169,90",126
ULKER BEBE BISKUVI 400GR,"82,05",127
UNI BABY CAMASIR DETERANI 1500 ML,"225,00",128
UNI BABY CAMASIR YUMUSATICI 1500 ML,"139,00",129
UNI BABY SAMPUAN 500 ML,"79,90",130
UNI BABY SAMPUAN 900 ML,"139,00",131
SOLO ISLAK HAVLU KAPAKLI 90 LI,"30,00",132
ABC SABUN ARAP SIVI 900 ML,"79,00",133
ARKO NEM DEGERLI YAGLAR 60ML ZEYTINYAGLI,"65,00",134
ARKO NEM KREM AVOKADO 250ML,"109,90",135
ARKO NEM KREM AVOKADO 60ML,"65,00",136
ARKO TIRAS KREMI COOL 100ML,"55,00",137
ARKO TIRAS KREMI SENSITIVE 100ML,"55,00",138
ARKO TRAS KOLONYASI GOLD POWER 250 ML,"99,90",139
ARKO TRAS KOPUGU COOL 200ML,"109,00",140
ARKO YAGLI KREM 20CC,"29,00",141
AXE DEO ERKEK BLACK 150ML,"149,90",142
AXE DEO ERKEK DARK TEMPTATION 150ML,"149,90",143
AXE DEO ERKEK EXCITE 150ML,"149,90",144
AXE DEO ERKEK MUSK 150ML,"149,90",145
BIOBLAS SAMPUAN ARGAN TUM SAC TIPLERI 360 ML,"119,00",146
BIOBLAS SAMPUAN ISIRGAN INCE TELLI VE ZAYIF 360 ML,"114,90",147
BIOBLAS SAMPUAN SAC DOK. VE KEPEGE KARSI 360 ML,"119,00",148
BIOBLAS SAMPUAN SARIMSAK TUM SAC TIPLERI 360 ML,"119,00",149
BIOHAIR ONARICI SAC BAKIM YAGI ARGAN ELIXIR,"99,00",150
BLENDAX SAMPUAN ALOEVERA OZLU 500 ML,"109,00",151
BLENDAX SAMPUAN BADEM YAGI OZLU 550 ML,"109,00",152
BLENDAX SAMPUAN ERKEK KEPEGE KARSI 550 ML,"109,00",153
BLENDAX SAMPUAN ISIRGAN OZLU 550ML,"109,00",154
BLENDAX SAMPUAN KIRAZ CICEGI OZLU 550 ML,"109,00",155
BLENDAX SAMPUAN MEN MENTOL FERAHLIGI 550 ML,"109,00",156
BLENDAX SAMPUAN YASEMIN OZLU 550ML,"109,00",157
BOGAZICI LIMON KOLONYASI 400 ML PVC BUYUK,"135,00",158
BOGAZICI LIMON KOLONYASI 950 ML,"225,00",159
CALDION DEO MEN 150ML,"79,00",160
CALDION DEO WOMEN 150ML,"79,00",161
CALDION KOFRE SET WOMEN,"350,00",162
CALDION ROLL ON MEN 50ML,"79,00",163
CALDION ROLL ON WOMEN 50ML,"79,00",164
CAM SAKIZI AGDA,"59,90",165
CANPED BELBANTLI BUYUK 30'LU,"649,90",166
CANPED BELBANTLI ORTA 30'LU,"575,00",167
CANPED EMICI KULOT ORTA,"179,00",168
COLGATE DIS FIRCASI 360 VISIBLE WHITE ORTA,"75,00",169
COLGATE DIS FIRCASI EXTRA CLEAN 1+1 ORTA,"79,00",170
COLGATE DIS FIRCASI PREMIER CLEAN,"29,90",171
COLGATE DIS MAC. COCUK BUBBLE FRUIT 50ML,"69,90",172
COLGATE DIS MAC. COCUK MIINOS 50ML,"59,90",173
COLGATE DIS MAC. UCLU ETKI 50ML,"25,00",174
DALAN 4X150GR BANYO SABUNU GUL,"85,00",175
DALAN 4X150GR BANYO SABUNU KLASIK BEYAZ,"85,00",176
DALAN 4X150GR BANYO SABUNU LAVANTA,"85,00",177
DALAN 4X150GR BANYO SABUNU ZEYTINYAGLI,"85,00",178
DALAN ANTIK DEFNE SABUNU 900 GR,"135,00",179
DALAN ANTIK KOKULU SABUN YESIL 180GRX5,"87,50",180
DALAN FAMILY SABUN 4X75GR LEYLAK BUKETI,"52,50",181
DALAN FAMILY SABUN 4X75GR MEYVE SOLENI,"52,50",182
DALAN FAMILY SABUN 4X75GR ZEYTIN MUCIZESI,"52,50",183
DEPISILK KALIP SIR EL AGDA NATURAL 400 GR,"89,00",184
DERBY BANYO TEKLI BANYO BIC. (DTB002),"11,00",185
DERBY TEKLI BICAK TRAS (DTB001),"11,00",186
DERBY USTA JILET 10 LU,"22,50",187
DIFAS DIS FIRCASI DOUBLE POWER 2LI,"49,90",188
DIFAS DIS FIRCASI PRO CLINIC SLIM SOFT,"59,00",189
DIFAS DIS FIRCASI PRO CLINIC ULTRA SOFT,"59,00",190
DURU DUS SABUNU CICEK TAZELIGI 600GR,"119,00",191
DURU DUS SABUNU OKYANUS FERAHLIGI 600GR,"119,00",192
DURU DUS SABUNU ZEYTINYAGI OZLU 150GR,"35,00",193
DURU GRANUL MATIK SABUN KLASIK 1000GR,"199,90",194
DURU KOLONYA LIMON PET 400ML,"99,90",195
DURU SABUN 600GR GUL,"109,00",196
DURU SABUN 600GR LAVANTA,"109,00",197
DURU SABUN 600GR ZEYTINYAGLI,"69,90",198
DURU SABUN BEYAZ 600GR SAF VE DOGAL KLASIK,"109,00",199
DURU SABUN FRESH CICEK 4*110GR,"79,90",200
DURU SABUN FRESH OKYANUS 4*110GR,"79,90",201
DURU SABUN SAF VE DOGAL GUL 4*70GR,"59,00",202
DURU SABUN SAF VE DOGAL KLASIK 4*70GR,"59,00",203
DURU SABUN SAF VE DOGAL LAVANTA 4*70GR,"59,00",204
ELSEVE SAMPUAN MUCIZEVI HIND. CEVIZI YAGI 520 ML,"109,90",205
EMOTION DEO BAYAN AQUA KISS 150 ML,"110,00",206
EMOTION DEO BAYAN OCEAN FRESH 150ML,"110,00",207
EMOTION DEO BAYAN VIOLET 150ML,"110,00",208
EMOTION DEO BW INVISIBLE FRESH 150ML,"99,90",209
EYUP SABRI TUNCER BIDON KOLONYA 1LT,"225,00",210
EYUP SABRI TUNCER PET LIMON KOLONYASI 400CC,"149,90",211
FA ROLL ON BAYAN AQUA 50ML,"89,00",212
FA ROLL ON BAYAN PINK PASSION 50ML,"89,00",213
FA ROLL ON ERKEK SPORT 50ML,"89,00",214
FAX SABUN 4X70 GR MEYVE BAHCESI,"36,00",215
FAX SABUN HAPPY HOME KREM 5 LI,"36,00",216
FAX SIVI SABUN 400 ML GUL,"19,90",217
FE CIMBIZ KLASIK,"75,00",218
FE TIRNAK TORPUSU KUCUK BOY,"60,00",219
FIRST CLASS DEO ERKEK 150ML,"99,90",220
FONEX BRIYANTIN 150ML,"65,00",221
GILLETTE MACH3 BICAK 2LI,"339,00",222
GILLETTE MACH3 BICAK 4LU,"575,00",223
GILLETTE MACH3 START BICAK 2 LI,"230,00",224
GILLETTE MACH3 START BICAK 4 LU,"440,00",225
GILLETTE PERMATIK BANYO TEKLI,"18,00",226
GILLETTE PERMATIK TEKLI,"18,00",227
GILLETTE TIRAS JELI NORMAL 200ML,"169,00",228
GILLETTE VENUS SIMPLY 2 BICAKLI 4LU,"65,00",229
GILLETTE VENUS SIMPLY 2 BICAKLI 5 LI,"65,00",230
GLISS SAC KREMI SUPREME LENGTH 360ML,"129,00",231
GLISS SAMPUAN NUTRIBALANCE REPAIR 525 ML,"99,90",232
GLISS SAMPUAN SUPREME LENGTH 525ML,"99,90",233
GLISS SIVI SAC KREMI SUPREME LENGTH 200 ML,"0,00",234
HACI SAKIR KALIP BEYAZ SABUN DOGAL 600GR,"115,00",235
HACI SAKIR KALIP BEYAZ SABUN GUL 600GR,"115,00",236
HACI SAKIR KALIP BEYAZ SABUN LAVANTA 600GR,"115,00",237
HACI SAKIR SAMPUAN ADACAYI KEPEK 500ML,"55,00",238
HACI SAKIR SAMPUAN BAL OZU 500ML,"42,00",239
HACI SAKIR SAMPUAN HINDISTAN CEVIZI SUTU 500 ML,"55,00",240
HACI SAKIR SAMPUAN LIMON YAGLI 500ML,"55,00",241
HOBBY JOLE EXTRA SERT 150ML,"29,90",242
HOBBY JOLE ISLAK SERT 150ML,"29,90",243
JAGLER DEO CLASSIC WOMEN 150ML,"79,00",244
JAGLER KOFRE CLASSIC SET MEN,"350,00",245
JAGLER KOFRE CLASSIC SET WOMEN,"350,00",246
JAGLER ROLL ON CLASSIC MEN 50ML,"79,00",247
JAGLER ROLL ON CLASSIC WOMEN 50ML,"79,00",248
JOHNSON BABY ISILDAYAN PARLAKLIK SAC SPREY 200ML,"179,00",249
KOLESTON KIT 2/0 SIYAH,"269,90",250
KOLESTON KIT 2/8 MAVI SIYAH,"269,90",251
KOLESTON KIT 3/0 KOYU KAHVE,"269,90",252
KOLESTON KIT 3/4 KOYU KESTANE,"269,90",253
KOLESTON KIT 4/0 KAHVE,"269,90",254
KOLESTON KIT 5/0 ACIK KAHVE,"269,90",255
KOLESTON KIT 5/4 ACIK KESTANE,"249,90",256
KOLESTON KIT 55/46 KIZIL BUYU,"269,90",257
KOLESTON KIT 6/7 CIKOLATA KAHVE,"269,90",258
KOLESTON KIT 7/0 KUMRAL,"269,90",259
KOLESTON KIT 7/1 KULLU KUMRAL,"269,90",260
KOLESTON KIT 7/77 ISILTILI KAHVE,"269,90",261
KOLESTON KIT 8/0 ACIK KUMRAL,"219,90",262
KOLESTON KIT 8/1 ACIK KULLU KUMRAL,"219,90",263
KOLESTON KIT 9/0 SARI,"219,90",264
KOLESTON TUP 3/0 KOYU KAHVE,"79,90",265
KOLESTON TUP 3/4 KOYU KESTANE,"79,90",266
KOLESTON TUP 4/0 ORTA KAHVE,"79,90",267
KOLESTON TUP 6/0 KOYU KUMRAL,"79,90",268
KOLESTON TUP 6/7 CIKOLATA KAHVE,"79,90",269
KOLESTON TUP 66/46 ASK ALEVI,"79,90",270
KOLESTON TUP 7/0 ORTA KUMRAL,"79,90",271
KOLESTON TUP 7/1 KULLU KUMRAL,"79,90",272
KOLESTON TUP 7/3 FINDIK KABUGU,"79,90",273
KOLESTON TUP 7/77 ISILTILI KAHVE,"79,90",274
KOLESTON TUP 8/0 ACIK KUMRAL,"79,90",275
KOLESTON TUP 8/1 ACIK KULLU KUMRAL,"79,90",276
KOLESTON TUP 9/0 SARI,"79,90",277
KOTEX ULTRA QUADRO NORMAL 26 LI,"79,90",278
KOTEX ULTRA QUADRO UZUN 20 LI,"79,90",279
LAPIDENT MODERN TUY DOKUCU KREM 40GR,"99,00",280
LISTERINE 250ML COOLMINT,"139,00",281
LISTERINE 500ML ADVANCE WHITE,"239,00",282
LISTERINE AGIZ BAKIM SUYU FRESH BURST 250 ML 533,"139,00",283
LISTERINE AGIZ BAKIM SUYU FRESH BURST 500 ML 534,"239,00",284
LPM DUS JELI 400 ML AKDENIZ CILEGI,"179,00",285
LPM DUS JELI 400 ML ARDIC AGACI VE FUJER,"179,00",286
LPM DUS JELI 400 ML FRAMBUAZ VE SAKAYIK,"179,00",287
LPM DUS JELI 400 ML MANDALINA/LIMON,"129,00",288
LPM DUS JELI 400 ML MINERALLER VE SEDIR AGACI,"179,00",289
LPM DUS JELI 400 ML SUT,"129,00",290
LUX DISK MAKYAJ WATERJET 70 LI,"0,00",291
LUX KULAK CUBUGU BEBE 60 ADET,"0,00",292
LUX PAMUK ZIGZAG 100 GR,"0,00",293
LUX PAMUKLU KULAK CUBUGU 100 LU,"0,00",294
LUX PAMUKLU KULAK CUBUGU 200 LU,"0,00",295
LUX SABUN MAGICAL SPELL 80 GR,"20,00",296
LUX SABUN VELVET TOUCH 80 GR,"24,90",297
LUX SABUN WHITE IMPRESS 80 GR,"20,00",298
LUX TOP MAKYAJ PAMUK 50 LI,"0,00",299
MARMARA LIMON KOLONYASI 1 LT,"105,00",300
MARMARA LIMON KOLONYASI 400 ML,"55,00",301
MOLPED ANATOMIK ULTRA SUPER EKO GECE 20LI,"89,90",302
MOLPED ANATOMIK ULTRA SUPER EKO NORMAL 28LI,"89,90",303
MOLPED ANATOMIK ULTRA SUPER EKO UZUN 22 LI,"89,90",304
MOLPED ANATOMIK ULTRA TEKLI GECE 7LI,"59,90",305
MOLPED ANATOMIK ULTRA TEKLI NORMAL 10LU,"59,90",306
MOLPED ANATOMIK ULTRA TEKLI UZUN 8LI,"59,90",307
MOLPED HER GUN FERAHLIK 20 LI,"32,90",308
MOLPED HER GUN FERAHLIK EKO 40 LI,"69,90",309
MOLPED ILK VE SON GUN 16 LI,"69,90",310
MOLPED MAXI NORMAL 20LI,"79,90",311
MOLPED MAXI UZUN 16LI,"79,90",312
MOLPED PURESOFT INCELIK 16 LI,"39,90",313
MOLPED PURESOFT INCELIK SW EKO 30 LU,"63,90",314
MOLPED PURESOFT SUPER EKO GECE 18 LI,"99,90",315
MOLPED PURESOFT SUPER EKO NORMAL 28 LI,"99,90",316
MOLPED PURESOFT SUPER EKO UZUN 22LI,"99,90",317
MOLPED PURESOFT TEKLI NORMAL 8LI,"39,90",318
MOLPED PURESOFT TEKLI UZUN 7LI,"39,90",319
MOLPED SUPERNIGHT GECE 6 LI,"59,90",320
MOLPED SUPERNIGHT SUPER GECE 16 LI,"95,00",321
MOLPED SUPERNIGHT SUPER GECE 5 LI,"59,90",322
MOLPED SUPERNIGHT UZUN 7 LI,"59,90",323
MOLPED YOGUN KORUMA 20LI,"74,90",324
MOLPED YOGUN KORUMA 60LI ORTA,"134,90",325
MORFOSE SAC SPREYI 400 ML ULTRA STRONG,"109,90",326
NEUTROGENA EL KREMI + DUDAK PARLATICI PARFUMSUZ,"169,00",327
NEUTROGENA EL KREMI 75ML DUDAK PARLATICI PARFUMSUZ,"169,00",328
NIVEA DEO BAYAN FRESH 150ML,"149,90",329
NIVEA DEO BAYAN FRESH COMFORT 150 ML,"149,90",330
NIVEA DEO BAYAN PEARL BEAUTY 150ML,"149,90",331
NIVEA DEO ERKEK COOL KICK 150ML,"149,90",332
NIVEA DEO ERKEK DEEP DIMENSION 150ML,"149,90",333
NIVEA DEO ERKEK DRY FRESH 150ML,"149,90",334
NIVEA DEO ERKEK INVISIBLE FRESH 150 ML,"149,90",335
NIVEA ROLL ON BAYAN DOUBLE EFFECT 50ML,"149,90",336
NIVEA ROLL ON BAYAN FRESH 50 ML,"149,90",337
