District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Aladağ / Köyler,1+1,60000.0,04,0.0,0.0,,
Ceyhan / Emek,2+1,16100.0,04,0.0,-1.6793893129770994,-9.719626168224293,-14.62121212121213
Ceyhan / Emek,3+1,95200.0,04,0.0,31.310344827586206,20.761099365750535,37.971014492753625
Ceyhan / Emek,4+1,19500.0,04,0.0,0.0,0.0,-13.333333333333334
Ceyhan / Namıkkemal,1+1,18250.0,04,0.0,0.0,0.0,39.04761904761905
Ceyhan / Namıkkemal,2+1,32323.529411764706,04,-0.054565296471439526,1.3629842180774712,4.26944971537002,-2.0499108734402838
Ceyhan / Namıkkemal,3+1,49951.92307692308,04,-2.873958629354311,-8.362610063355328,18.07074814931928,32.390417940876645
Ceyhan / Namıkkemal,4+1,120642.85714285714,04,29.3757181156645,48.28797190517999,49.6014171833481,0.640548190078953
Ceyhan / Namıkkemal,5+1,480000.0,04,0.0,0.0,0.0,0.0
Ceyhan / Sanayi,2+1,16000.0,04,0.0,0.0,-81.81818181818183,-90.0
Ceyhan / Sanayi,3+1,16666.666666666668,04,0.0,-8.675799086757985,-63.92496392496392,-60.78431372549019
Ceyhan / Sanayi,4+1,127000.0,04,0.0,0.0,0.0,37.54512635379062
Ceyhan / Türlübaş,1+1,21000.0,04,0.0,0.0,0.0,-8.695652173913043
Ceyhan / Türlübaş,2+1,16750.0,04,0.0,0.0,1.5151515151515151,4.6875
Ceyhan / Türlübaş,3+1,36775.444444444445,04,0.0,-6.891421405993575,-6.725227776791424,-15.26395289298515
Ceyhan / Türlübaş,4+1,15000.0,04,0.0,0.0,0.0,0.0
Ceyhan / Çarşı,2+1,17200.0,04,0.0,0.5847953216374269,8.346456692913385,-67.23809523809524
Ceyhan / Çarşı,3+1,16000.0,04,0.0,-5.88235294117647,-3.0303030303030303,-2.040816326530616
Karaisalı,3+1,13000.0,04,0.0,,,
Karataş,2+1,146000.0,04,-2.666666666666667,-10.153846153846153,-37.60683760683761,53.68421052631579
Karataş,3+1,170500.0,04,104.19161676646706,444.1489361702128,432.8125,468.33333333333337
Karataş,3.5+1,250000.0,04,0.0,0.0,0.0,
Karataş / Bahçe,2+1,180000.0,04,0.0,0.0,-20.87912087912088,500.0
Karataş / Bahçe,4+1,77000.0,04,0.0,0.0,-9.411764705882353,
Kozan / Aslanpaşa,2+1,11000.0,04,0.0,0.0,-4.3478260869565215,22.22222222222222
Kozan / Aslanpaşa,3+1,14000.0,04,0.0,27.27272727272727,27.27272727272727,12.0
Kozan / Aslanpaşa,4+1,17500.0,04,0.0,,,
Kozan / Köyler,1+1,11750.0,04,-12.962962962962962,-4.081632653061225,23.684210526315788,-60.16949152542372
Kozan / Köyler,2+0,15500.0,04,0.0,0.0,-8.823529411764707,-8.823529411764707
Kozan / Köyler,2+1,32500.0,04,-5.208333333333324,-3.805496828752634,88.95348837209302,179.56989247311827
Kozan / Köyler,3+1,15750.0,04,0.0,7.038834951456314,3.203494721514378,15.43747136967476
Kozan / Köyler,4+1,31583.333333333332,04,0.0,5.277777777777773,-2.8205128205128243,-1.3020833333333373
Kozan / Mahmutlu,2+1,14000.0,04,-6.666666666666667,-6.666666666666667,-6.666666666666667,-6.666666666666667
Kozan / Mahmutlu,3+1,8500.0,04,0.0,0.0,0.0,21.428571428571427
Kozan / Mahmutlu,4+0,15000.0,04,0.0,0.0,0.0,7.142857142857142
Kozan / Merkez,2+1,18354.166666666668,04,-0.45197740112993695,6.989112227805692,-2.2997736172295604,-2.671721992434681
Kozan / Merkez,3+0,10000.0,04,0.0,-79.16666666666666,-9.090909090909092,-88.23529411764706
Kozan / Merkez,3+1,15333.333333333334,04,0.0,-21.93939393939393,-35.11719560257208,-5.232797692624636
Kozan / Merkez,4+1,14785.714285714286,04,0.0,-77.36158578263841,-53.89755011135857,-58.64135864135864
Kozan / Çarşı,1+1,12500.0,04,0.0,-3.8461538461538463,-3.8461538461538463,4.166666666666666
Kozan / Çarşı,2+1,13750.0,04,0.0,1.8518518518518516,7.541899441340778,3.124999999999995
Kozan / Çarşı,3+1,25536.363636363636,04,0.0,0.8404603526554717,-21.069421487603304,-23.811260755705206
Kozan / Çarşı,4+0,15000.0,04,0.0,0.0,0.0,0.0
Kozan / Çarşı,4+1,23500.0,04,0.0,-2.083333333333333,-2.083333333333333,-5.527638190954774
Kozan / Şevkiye,1+1,16500.0,04,4.430379746835443,3.125,-2.941176470588235,-2.941176470588235
Kozan / Şevkiye,2+1,12500.0,04,0.0,1.3513513513513464,7.526881720430108,25.0
Kozan / Şevkiye,3+1,12233.333333333334,04,-7.585772741580102,-4.592720970537259,-4.427083333333329,-83.2448781601324
Kozan / Şevkiye,4+0,15000.0,04,0.0,0.0,0.0,
Kozan / Şevkiye,4+1,21166.666666666668,04,0.0,11.038251366120225,7.172995780590724,19.81132075471698
Pozantı,1+1,39833.333333333336,04,0.0,-10.986964618249528,0.0,-23.02737520128824
Pozantı,2+1,135000.0,04,0.0,-1.8181818181818181,-10.0,694.1176470588235
Pozantı,3+1,177500.0,04,0.0,0.0,0.0,-1.3888888888888888
Pozantı / Köyler,3+1,250000.0,04,0.0,,11.11111111111111,11.11111111111111
Sarıçam,1+1,15862.481268011526,04,0.19258582132906074,-0.1281665808754573,0.7212618262373276,2.17579203628565
Sarıçam,1.5+1,16750.0,04,0.0,-1.4705882352941175,,31.372549019607842
Sarıçam,2+1,18358.969957081546,04,-2.9879121475971915,-6.328538557893445,-3.8282230448200947,-10.012533104711174
Sarıçam,2.5+1,14083.333333333334,04,0.0,0.0,4.320987654320993,-52.37520128824477
Sarıçam,3+1,26023.964285714286,04,-6.023198874923839,-4.1533984525126915,-4.097205753941998,-0.3690379985945088
Sarıçam,4+1,24400.0,04,4.273504273504273,10.623552842500692,-30.92612775835468,-25.319721997250106
Sarıçam,5+1,150000.0,04,0.0,100.0,100.0,328.57142857142856
Sarıçam / Köyler,1+1,12996.0,04,-0.9828571428571428,-25.542134160897596,1.3401452003226744,-25.164421593830326
Sarıçam / Köyler,2+1,44805.555555555555,04,0.0,46.90346083788706,70.44433877529454,237.51830926972167
Sarıçam / Köyler,3+1,75250.0,04,-0.03907013088494642,-6.1167908508057565,25.29618956131925,49.215092261085104
Sarıçam / Köyler,4+1,49940.0,04,0.0,-9.0967007963595,9.321393034825865,-18.056517775752052
Sarıçam / Köyler,4+2,440000.0,04,,,,
Sarıçam / Köyler,5+1,45000.0,04,0.0,0.0,0.0,-9.090909090909092
Sarıçam / Köyler,5+2,125000.0,04,0.0,8.695652173913043,8.695652173913043,8.695652173913043
Sarıçam / Köyler,6+1,120000.0,04,0.0,0.0,0.0,0.0
Sarıçam / Köyler,6+2,94000.0,04,0.0,0.0,0.0,0.0
