District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Sarıçam / Mehmet Akif Ersoy,1.5+1,10500.0,04,0.0,,,-30.0
Sarıçam / Mehmet Akif Ersoy,2+1,25276.03125,04,-0.4674004528084792,,,-14.436923575129537
Sarıçam / Mehmet Akif Ersoy,3+1,43896.55172413793,04,-0.5209690023443745,,,-11.780090864743194
Sarıçam / Mehmet Akif Ersoy,4+1,312785.71428571426,04,64.69629536764245,,,18.007605473545514
Sarıçam / Mehmet Akif Ersoy,4+2,900000.0,04,0.0,,,
Sarıçam / Mehmet Akif Ersoy,5+1,184166.66666666666,04,0.0,,,70.0186833717991
Sarıçam / Mehmet Akif Ersoy,5+2,57000.0,04,0.0,,,26.666666666666668
Sarıçam / Mehmet Akif Ersoy,6+1,77500.0,04,0.0,,,6.164383561643835
Sarıçam / Sofulu,1+1,14830.213725490195,04,-0.15162363455624409,,,10.183306109099105
Sarıçam / Sofulu,2+1,22201.540880503144,04,-0.7093793630620472,,,11.934012517718804
Sarıçam / Sofulu,2.5+1,15250.0,04,0.0,,,-7.575757575757576
Sarıçam / Sofulu,3+1,42444.20618556701,04,8.549007365988222,,,36.84750669969921
Sarıçam / Sofulu,4+1,18700.0,04,0.0,,,-9.333333333333334
Sarıçam / Sofulu,Stüdyo (1+0),10000.0,04,,,,
Sarıçam / Yıldırım Beyazıt,2+1,30100.0,04,0.0,,,-44.306139613120266
Sarıçam / Yıldırım Beyazıt,3+1,35500.0,04,4.192872117400416,,,67.71653543307086
Sarıçam / Yıldırım Beyazıt,4+1,25000.0,04,0.0,,,0.0
Seyhan / 2000 Evler,1+1,19600.0,04,0.0,,,5.093833780160858
Seyhan / 2000 Evler,2+1,29645.833333333332,04,-2.5827732138411736,,,-43.32935085623258
Seyhan / 2000 Evler,3+1,111013.88888888889,04,-8.223044103605403,,,19.759671571124635
Seyhan / 2000 Evler,4+1,227500.0,04,0.0,,,22.60846133117758
Seyhan / Akkapı,2+1,56000.0,04,-33.72781065088758,,,-24.324324324324326
Seyhan / Akkapı,3+1,225000.0,04,0.0,,,1400.0
Seyhan / Akkapı,4+1,340000.0,04,0.0,,,
Seyhan / Akkapı,5+1,330000.0,04,0.0,,,-5.714285714285714
Seyhan / Denizli,1+1,22545.454545454544,04,1.4155394778232102,,,-2.856210217071977
Seyhan / Denizli,2+1,47588.46153846154,04,15.46824693201437,,,23.154560316919195
Seyhan / Denizli,3+1,64578.09375,04,-1.9386780865432787,,,-22.50276489840447
Seyhan / Emek,2+1,89214.28571428571,04,0.0,,,21.93296452977545
Seyhan / Emek,3+1,89666.66666666667,04,0.0,,,2.281368821292775
Seyhan / Emek,4+1,23000.0,04,0.0,,,-82.44274809160305
Seyhan / Emekevler,1+1,23600.0,04,0.0,,,2.386117136659436
Seyhan / Emekevler,2+1,84479.44444444444,04,0.0,,,140.8782529984159
Seyhan / Emekevler,3+1,62351.53125,04,-5.663474651610617,,,-39.92023486901536
Seyhan / Emekevler,4+1,64214.28571428572,04,22.507381330910757,,,9.768009768009774
Seyhan / Fevzipaşa,1+1,145000.0,04,0.0,,,625.0
Seyhan / Fevzipaşa,2+1,42900.0,04,-5.043478260869564,,,-28.829493087557605
Seyhan / Fevzipaşa,3+1,92000.0,04,0.0,,,23.905723905723907
Seyhan / Gazipaşa,1+1,57280.95238095238,04,8.291809019666097,,,73.30252042409228
Seyhan / Gazipaşa,1.5+1,20750.0,04,0.0,,,
Seyhan / Gazipaşa,2+1,113500.0,04,-10.635095235338394,,,-10.565451417790356
Seyhan / Gazipaşa,2.5+1,32000.0,04,0.0,,,
Seyhan / Gazipaşa,3+1,120775.3164556962,04,-0.8031728376096682,,,13.193062516959095
Seyhan / Gazipaşa,4+1,217152.1739130435,04,-4.15592685150052,,,-2.0279470137542592
Seyhan / Gazipaşa,5+1,147857.14285714287,04,0.0,,,168.83116883116884
Seyhan / Gazipaşa,5.5+1,800000.0,04,0.0,,,0.0
Seyhan / Gazipaşa,Stüdyo (1+0),10525.0,04,0.0,,,25.796812749003994
Seyhan / Gülbahçesi,3+1,140000.0,04,0.0,,,
Seyhan / Gürselpaşa,1+1,30387.09677419355,04,0.1276382566269509,,,14.515680425298957
Seyhan / Gürselpaşa,2+1,68527.00900900901,04,-0.6527449365918673,,,-3.120075822841975
Seyhan / Gürselpaşa,2.5+1,430000.0,04,0.0,,,-4.444444444444445
Seyhan / Gürselpaşa,3+1,97414.05208333333,04,-1.7563808011231807,,,8.615148338538084
Seyhan / Gürselpaşa,3+2,80000.0,04,0.0,,,-91.11111111111111
Seyhan / Gürselpaşa,4+1,306953.125,04,-0.2651680829792494,,,4.793849935177192
Seyhan / Gürselpaşa,5+1,626000.0,04,0.0,,,-16.62226957911561
Seyhan / Gürselpaşa,5.5+1,37500.0,04,0.0,,,0.0
Seyhan / Gürselpaşa,6+1,78000.0,04,0.0,,,4.0
Seyhan / Gürselpaşa,7+2,67000.0,04,0.0,,,
Seyhan / Gürselpaşa,Stüdyo (1+0),19000.0,04,0.0,,,
Seyhan / Hükümet,3+1,85000.0,04,0.0,,,3.9755351681957185
Seyhan / Kuruköprü,1+1,26170.529411764706,04,0.0,,,-33.52109378891268
Seyhan / Kuruköprü,2+1,68066.66666666667,04,-9.522835719154735,,,109.03390914907231
Seyhan / Kuruköprü,3+1,52944.444444444445,04,0.0,,,-43.3749257278669
Seyhan / Kuruköprü,4+1,37666.666666666664,04,0.0,,,-73.41176470588235
Seyhan / Kuruköprü,Stüdyo (1+0),12250.0,04,0.0,,,-2.0
Seyhan / Köyler,2+1,17666.666666666668,04,0.0,,,55.88235294117647
Seyhan / Köyler,3+1,17986.363636363636,04,2.021347909039342,,,-7.025861393789714
Seyhan / Mavibulvar/Yurt,1+1,20861.340909090908,04,-0.0490009789306648,,,-30.878697128028087
Seyhan / Mavibulvar/Yurt,1.5+1,18500.0,04,0.0,,,-11.904761904761903
Seyhan / Mavibulvar/Yurt,2+1,79361.94029850746,04,2.0373497886490317,,,-4.932429511336734
Seyhan / Mavibulvar/Yurt,3+1,86647.4051724138,04,2.2535143673590254,,,14.80771883793534
Seyhan / Mavibulvar/Yurt,3.5+1,44000.0,04,0.0,,,-2.2222222222222223
Seyhan / Mavibulvar/Yurt,4+1,159275.8620689655,04,0.5106407671216977,,,-20.506602415670567
Seyhan / Merkez,1+1,55700.0,04,-5.140114568818699,,,43.46426271732131
