name,price
Pınar Hindi Sucuk Mangal Keyfi 300 gr 1 Adet,229.95
Pınar Sucuk Mangal Keyfi Acılı 225 gr 1 Adet,172.45
Maret Dilimli Piliç Sucuk 200 gr 1 Adet,91.95
Pınar Uzun Sosis 225 gr 1 Adet,321.95
Maret Dana Afiyetle Sosis 200 gr 1 Adet,218.45
Pınar Sosis Hot Dog 295 gr 1 Adet,425.45
Namet Dana Sosis 210 gr 1 Adet,218.45
Maret Pratik Hindi Sosis 140 gr 1 Adet,62.05
Namet Hindi Sosis 210 gr 1 Adet,98.85
Namet Hindi Sosis 420 gr 1 Adet,206.95
Erpiliç Kokteyl Sosis 700 gr 1 Adet,183.95
Maret Sosis Kokteyl Piliç 250 gr 1 Adet,86.20
Maret Soyulmuş Sosis 5'li 240 gr 1 Adet,287.45
Pınar Ekonomik Sosis 10'lu 430 gr 1 Adet,540.45
Pınar Aç Bitir Hindi Sosis 180 gr 1 Adet,86.20
Pınar Minik Kokteyl Sosis 215 gr 1 Adet,333.45
Namet Kokteyl Sosis 250 gr 1 Adet,287.45
Pınar Sosis Hindi Uzun 430 gr 1 Adet,218.45
Pınar Aç Bitir Hindi Salam Fıstıklı 50 gr 1 Adet,43.15
Maret Pratik Hindi Salam 60 gr 1 Adet,22.95
Maret Pratik Hindi Füme  60 gr 1 Adet,44.80
Namet Hindi Salam 60 gr 1 Adet,35.60
Pınar Aç Bitir Hindi Salam 75 gr 1 Adet,45.95
Pınar Hindi Salam Aç Bitir Büyük Dilim 60 gr 1 Adet,41.35
Namet Fıstıklı Hindi Salam 50 gr 1 Adet,39.05
Maret Hindi Füme 110 gr 1 Adet,105.75
Polonez Hindi Parça Etli Salam 50 gr 1 Adet,34.45
Erpiliç Piliç Salam 750 gr 1 Adet,146.00
Polonez Piliç Salam 60 gr 1 Adet,34.45
Pınar Salam Doyum Büfe 700 gr 1 Adet,252.95
Pınar Doyum Salam 225 gr 1 Adet,88.50
Pınar Kahvaltılık Salam 250 gr 1 Adet,344.95
Pınar Aç Bitir Macar Salam 60 gr 1 Adet,80.45
Namet Macar Salam 50 gr 1 Adet,65.50
Namet Macar Salam 150 gr 1 Adet,235.70
Polonez Dana Macar Salam 50 gr 1 Adet,80.45
Namet Seçme Pastırma 100 Gr 1 Adet,356.45
İkbal Pastırma 90 gr 1 Adet,264.45
Çapanoglu Pastırma 80gr 1 Adet,310.45
Trend Pastırma Antrikot 250 gr,624.99
Polonez Pastırma Seçme 75 gr 1 Adet,310.45
Cumhuriyet Kavurma 120 gr 1 Adet,442.70
Namet Kavurma Dana 80 gr 1 Adet,241.45
Rizeköy Kavurma 250 gr,499.99
Namet Jambon Dana 50 gr 1 Adet,85.05
Polonez Dana Jambon 50 gr 1 Adet,86.20
Polonez Hindi Jambon 50 gr 1 Adet,45.95
Polonez Hindi Füme Glutensiz 150 gr 1 Adet,143.70
Polonez Piliç Jambon 60 gr 1 Adet,40.20
Namet Dana Döner 200 gr 1 Adet,169.95
İkbal Füme Kaburga 70 gr 1 Adet,252.95
Polonez Dana Füme 50 gr 1 Adet,106.90
Çapanoğlu Fümechef Füme Kaburga 100 gr 1 Adet,350.70
Çapanoğlu Fümechef Füme Antrikot 100 gr 1 Adet,350.70
Çapanoğlu Fümechef Füme Cotto Dilimli 100 gr 1 Adet,350.70
Çapanoğlu Fümechef Füme Sade Roastbeef 100 gr 1 Adet,350.70
Namet Hindi Füme 60 gr 1 Adet,40.20
Polonez Hindi Füme 50 gr 1 Adet,45.95
Pınar Füme Hindi Karabiberli 110 gr 1 Adet,103.45
Pınar Füme Hindi 150 gr 1 Adet,134.50
Pınar Füme Hindi But Etli 110 gr 1 Adet,114.95
Namet Piliç Füme Glütensiz 150 gr 1 Adet,87.35
Polonez Piliç Füme 50 gr 1 Adet,34.45
İçim Günlük Süt 1 L 1 Adet,126.45
İsmet Bey'in Çiftliği Günlük Çiğ Süt 3 L 1 Adet,229.95
Sütaş Tam Yağlı Süt 500 ml 1 Adet,40.20
Torku Tam Yağlı Süt 1 L 1 Adet,80.50
Sütaş Çilekli Süt 6X180 ml 1 Adet,109.20
Sütaş Muzlu Süt 200 ml 1 Adet,20.15
İçim Süt 200 ml 1 Adet,24.70
İçim Light Süt 1 L 1 Adet,74.70
İçim %3 Tam Yağlı Süt 1 L 1 Adet,68.95
Sütaş Çikolatalı Süt 200 ml 1 Adet,20.15
Pınar Laktozsuz Süt 200 ml 1 Adet,30.45
Pınar Süt Tam Yağlı 1 L 1 Adet,86.20
İçim Süt 500 ml 1 Adet,49.40
Sütaş Light Süt 1 L 1 Adet,63.20
Nestle Nesquik Muzlu Süt 180 ml 1 Adet,29.50
Pınar Extra Light Süt 1 L 1 Adet,57.45
Nestle Nesquik Çilek 180 ml 1 Adet,29.50
Sütaş Çikolatalı Süt 6X180 ml 1 Adet,109.20
Danone Disney Muzlu Süt 180 ml 1 Adet,28.70
Sütaş Muzlu Süt 6X180 ml 1 Adet,109.20
Danone Disney Çilekli Süt 180 ml 1 Adet,28.70
Torku Süt Yarım Yağlı 1 L 1 Adet,57.45
Sütaş Süt 1/5 Laktozsuz 1 Adet,20.15
Sütaş Süt %2.5 Yağlı 1 L 1 Adet,56.95
Pınar Süt  Protein Çilekli 500 ml 1 Adet,91.95
Pınar Çocuk Süt 1/1 1 Adet,91.95
Sütaş Tam Yağlı Süt 1 L 1 Adet,80.45
Pınar Süt Organik 1 L 1 Adet,91.95
Pınar Süt Yarım Yağlı 200 ml 1 Adet,26.40
Pınar Vanilyalı Proteinli Süt 500 ml 1 Adet,91.95
Pınar Kakaolu Proteinli Süt 500 ml 1 Adet,91.95
Danone Disney Kakaolu Süt 180 ml 1 Adet,28.70
Pınar Süt Organik 200 ml 1 Adet,30.45
Sütaş Çilekli Süt 200 ml 1 Adet,20.15
Sütaş Yarım Yağlı Süt 1 L 1 Adet,57.45
Pınar Kido Muzlu Süt 180 ml 1 Adet,20.65
Pınar Kido Çilekli Süt 180 ml 1 Adet,20.65
Pınar Süt Kido Kakaolu 180 ml 1 Adet,20.65
Sütaş Light Süt 200 ml 1 Adet,20.15
Sütaş Süt Laktozsuz 1 L 1 Adet,63.20
Pınar Protein Süt Yer Fıstıklı 500 ml 1 Adet,91.95
İçim Süt İçimino Muzlu 180x6 ml 1 Adet,114.95
Pınar Protein Süt Kahveli 500 ml 1 Adet,91.95
Pınar Süt %1 Yağlı 1 L 1 Adet,49.95
Sütaş Süt Çikolatalı 1 L 1 Adet,109.20
İçim Süt Barista 1 lt 1 Adet,80.45
İçim Süt Fit Kahveli 400 ml 1 Adet,74.70
İçim Süt Fit Çilekli 400 ml 1 Adet,74.70
Pınar Süt Protein Vanilyalı 500 ml 1 Adet,103.45
Pınar Süt Protein Kahveli 1 L 1 Adet,137.95
İçim Süt Protein 1 Lt 1 Adet,91.95
Pınar Süt Protein 1 Lt 1 Adet,103.45
Alpro  Badem Sütü 1 L 1 Adet,258.70
Alpro Badem Sütü 250 ml 1 Adet,86.15
Alpro Hindistan Cevizli Soya Süt 1 L 1 Adet,258.70
Alpro Hindistan Cevizi Sütü Şekersiz 1 L 1 Adet,258.70
Alpro Şekersiz Badem Sütü 1 L 1 Adet,258.70
Alpro Badem Sütü Hindistan Cevizi 1 L 1 Adet,258.70
Alpro Yulaf Sütü 1 L 1 Adet,258.70
Alpro Yulaf 500 ml 1 Adet,160.95
Alpro Yulaf & Badem 1 L 1 Adet,258.70
Alpro Yulaf Şekersiz 1 L 1 Adet,258.70
Alpro Bitter Çikolata & Badem 1 L 1 Adet,258.70
Alpro Vanilya Badem 1 L 1 Adet,258.70
Pınar Bitkisel İçecek Yulaf 1Lt 1 Adet,149.45
Pınar Bitkisel İçecek Badem 1 Lt 1 Adet,149.45
Nestle Nesquik Kakaolu Süt 180 ml 1 Adet,29.50
Nestle Nesquik Kakaolu Süt 6X180 ml 1 Adet,99.95
Alpımılk  Süt Çikolatalı 6x180 ml 1 Adet,137.95
Alpimik Süt Çikolatalı 180 ml 1 Adet,22.95
Kenton Çikolata Sos 128 gr 1 Adet,64.40
Sütaş Krema 200 ml 1 Adet,80.45
İçim Krema 200 ml Y.Yağlı 1 Adet,60.90
İçim Krema Peynirli 200 ml 1 Adet,60.90
Pakmaya Pasta Kreması Vanilya 140 gr 1 Adet,80.45
Pakmaya Pasta Kreması Çikolata 162 gr 1 Adet,80.45
Pınar Çikolata Sosu 350 gr 1 Adet,137.95
Pakmaya Pastacı Kreması 147 gr 1 Adet,38.55
Sütaş Krema Yemeklik %15 Yağlı 200 ml 1 Adet,66.10
Tikveşli Krema Yemeklik %18 Yağlı 200 ml 1 Adet,57.45
