Category,Product Name,Price,Product URL
Women,Comfort Straight Comfort Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/comfort-straight-comfort-fit-kadin-pantolon-10630
Men,Justin Skinny Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-13323
Men,Tony Slim Fit Erkek Pantolon 2,"999,90",https://www.loft.com.tr/p/tony-slim-fit-erkek-pantolon-10248
Men,Tony Slim Fit Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/tony-slim-fit-erkek-pantolon-872
Men,Balloon Balloon Fit Erkek Pantolon 2,"799,90",https://www.loft.com.tr/p/balloon-balloon-fit-erkek-pantolon-14688
Women,Comfort Straight Regular Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/comfort-straight-regular-fit-kadin-pantolon-14694
Men,68 Simon Straight Fit Erkek Pantolon 2,"999,90",https://www.loft.com.tr/p/68-simon-straight-fit-erkek-pantolon-14531
Men,Justin Skinny Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-13316
Women,Comfort Straight Comfort Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/comfort-straight-comfort-fit-kadin-pantolon-10641
Women,Slim Straight Slim Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/slim-straight-slim-fit-kadin-pantolon-14526
Women,Baggy Regular Fit Kadın Pantolon 2,"499,90",https://www.loft.com.tr/p/baggy-regular-fit-kadin-pantolon-14687
Women,Barrel Regular Fit Kadın Pantolon 2,"499,90",https://www.loft.com.tr/p/barrel-regular-fit-kadin-pantolon-14689
Women,Crop Wide Leg Regular Fit Kadın Pantolon 2,"499,90",https://www.loft.com.tr/p/crop-wide-leg-regular-fit-kadin-pantolon-14699
Women,Jogger Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/jogger-fit-kadin-pantolon-13298
Men,Marco Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/marco-slim-fit-erkek-pantolon-14613
Women,Palazzo Regular Fit Kadın Pantolon 2,"499,90",https://www.loft.com.tr/p/palazzo-regular-fit-kadin-pantolon-14625
Men,Regular Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-14224
Men,Regular Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13387
Men,Relax Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/relax-fit-erkek-pantolon-12826
Men,Relax Fit Erkek Pantolon 2,"799,90",https://www.loft.com.tr/p/relax-fit-erkek-pantolon-14429
Men,Skater Skater Fit Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/skater-skater-fit-erkek-pantolon-14671
Women,Straight Fit Kadın Pantolon 2,"499,90",https://www.loft.com.tr/p/straight-fit-kadin-pantolon-14479
Women,Wide Leg Regular Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/wide-leg-regular-fit-kadin-pantolon-14449
Women,Wide Leg Regular Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/wide-leg-regular-fit-kadin-pantolon-14448
Men,Tony Slim Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/tony-slim-fit-erkek-pantolon-10618
Men,Tony Slim Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/tony-slim-fit-erkek-pantolon-12945
Women,Cuffed Barrel Barrel Fit Kadın Pantolon 2,"499,90",https://www.loft.com.tr/p/cuffed-barrel-barrel-fit-kadin-pantolon-14544
Women,Slim Straight Slim Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/slim-straight-slim-fit-kadin-pantolon-14511
Women,Wide Leg Regular Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/wide-leg-regular-fit-kadin-pantolon-13724
Men,Mateo Baggy Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/mateo-baggy-fit-erkek-pantolon-14164
