Daily Inflation(%),Date
0.7909928868862307,3-4
-0.1679827372343432,3-5
0.4666132375527601,3-6
0.8853515237831554,3-7
1.012881306787779,3-8
-0.1394933939376559,3-9
0.7909928868862307,3-4
-0.1679827372343432,3-5
0.4666132375527601,3-6
0.8853515237831554,3-7
1.012881306787779,3-8
-0.1394933939376559,3-9
0.8215349773331019,3-10
1.8850783906902997,3-11
-0.9906462305381394,3-12
2.258739520150813,3-13
-0.0389335757617699,3-14
0.1890883350128832,3-15
0.8315311709838069,3-16
1.0163201292698991,3-17
1.0957288751534224,3-18
0.6278515113933988,3-19
0.1088025007673486,3-20
0.3883545933601102,3-21
0.4107185768196166,3-22
0.1890230015395565,3-23
0.5000259483035168,3-24
0.1834910896524154,3-25
0.8892973650532519,3-26
1.5556700310835463,3-27
0.4719434466551436,3-28
0.456456560666329,3-29
0.44213601361541666,3-30
