YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W10,16456.79,,0.0
2026-W11,16421.4,-0.22,0.23
2026-W12,16482.34,0.37,0.54
2026-W13,16470.25,-0.07,-0.48
2026-W14,16496.88,0.16,0.09
2026-W15,16518.33,0.13,-0.02
2026-W16,16632.82,0.69,0.2
2026-W17,16747.79,0.69,0.65
2026-W18,16731.84,-0.1,-0.12
2026-W19,16717.5,-0.09,0.47
2026-W20,16858.42,0.84,0.96
2026-W21,16814.45,-0.26,0.22
2026-W22,16811.8,-0.02,0.17
