date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Apr 2026,Vegetables,Onion,Kg,18.0,10.0,180.0,10.0,180.0,1,Soğan Beyaz Kg
Apr 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,39.9,921.69,39.9,921.69,2,Patlıcan Topan Kg; Patlıcan Topan Kg
Apr 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
Apr 2026,Oils,Olive Oil,Liter,1.1,347.6,382.36,339.9,373.89,5,Poyraz Rivera Zeytinyağı Cam 1 Lt; Poyraz Rivera Zeytinyağı Cam 500 Ml; Poyraz Sızma Zeytinyağı Cam 500 Ml; Poyraz Sızma Zeytinyağı Cam 1 Lt; Poyraz Sızma Zeytinyağı Teneke 3 Lt
Apr 2026,Other Food Products,Grissini,Kg,2.1,,,,,0,—
May 2026,Dairy Products,Yogurt,Kg,59.7,67.46,4027.36,67.46,4027.36,2,Torku Yarım Yağlı Yoğurt 2 Kg; Torku Yarım Yağlı Yoğurt 750 Ml
May 2026,Dairy Products,White Cheese,Kg,5.7,358.7,2044.59,404.95,2308.22,4,Binnur Klasik Beyaz Peynir Kg; Sütaş Klasik Beyaz Peynir 3 Dilim 450…; Binnur Klasik Beyaz Peynir Kg; Sütaş Beyaz Peynir 500 Gr
May 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,879.95,4047.77,879.95,4047.77,1,Dana Az Yağlı Kuşbaşı Kg
May 2026,Meat and Protein,Chicken,Kg,10.3,99.99,1029.9,99.99,1029.9,2,Şenpiliç Kalçalı But Kg; Şenpiliç Piliç Bütün Poşet Kg
May 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
May 2026,Meat and Protein,Eggs,Piece,120.0,10.0,1200.0,10.0,1200.0,1,Sarı Efe Çiftliği Gezen Tavuk Yumurta…
May 2026,Legumes,Chickpeas,Kg,1.8,,,,,0,—
May 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,,,,,0,—
May 2026,Grains,Bread,Kg,18.0,,,,,0,—
May 2026,Fruits,Banana,Kg,16.7,118.23,1974.44,109.9,1835.33,6,Muz Yerli Kg; Muz Yerli Kg; Muz Yerli Kg; Muz Yerli Kg; Muz Yerli Kg; Muz İthal Kg
May 2026,Fruits,Seasonal Fruit,Kg,12.9,122.84,1584.64,112.43,1450.35,12,Karpuz Kg; Kiraz Kg; Erik Papaz Kg; Kavun Kg; Şeftali Kg; Kayısı Kg; Kivi Kg; Armut Deveci Kg; Kavun Kg; Üzüm Red Globe Kg; Mayhoş Nar Kg; Armut Santamaria Kg
May 2026,Vegetables,Onion,Kg,18.0,10.0,180.0,10.0,180.0,1,Soğan Beyaz Kg
May 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,42.9,990.99,39.9,921.69,5,Patlıcan Kg; Kabak Kg; Patlıcan Topan Kg; Patlıcan Topan Kg; Patlıcan Kg
May 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
May 2026,Oils,Olive Oil,Liter,1.1,,,,,0,—
May 2026,Other Food Products,Grissini,Kg,2.1,,,,,0,—
