item_name,price
Battalgazi / Merkez - 2+1,18500.0
Battalgazi / Merkez - 1+1,18000.0
Yeşilyurt - 3+1,17000.0
Battalgazi / Merkez - 3+1,13000.0
Battalgazi / Merkez - 2+1,15000.0
Battalgazi / Merkez - 1+1,16500.0
Yeşilyurt / Merkez - 2+1,18000.0
Yeşilyurt / Merkez - 3+1,14000.0
Battalgazi / Merkez - 2+1,14000.0
Yeşilyurt / Merkez - 3+1,12000.0
Battalgazi / Merkez - 2+1,17000.0
Yeşilyurt / Merkez - 3+1,19000.0
Battalgazi / Merkez - 3+1,13500.0
Yeşilyurt / Merkez - 3+1,17000.0
Battalgazi / Merkez - 3+1,14500.0
Yeşilyurt / Merkez - 3+1,14000.0
Yeşilyurt / Merkez - 2+1,11000.0
Yeşilyurt / Merkez - 2+1,13000.0
Battalgazi / Merkez - 2+1,15000.0
Doğanşehir / Köyler - 3+1,6500.0
Yeşilyurt / Merkez - 1+1,10000.0
Yeşilyurt / Merkez - 3+1,18000.0
Battalgazi / Merkez - 3+1,11000.0
Yeşilyurt / Köyler - 3+1,8500.0
Battalgazi / Merkez - 3+1,18000.0
Battalgazi / Merkez - 3+1,12500.0
Yeşilyurt / Merkez - 3+1,17000.0
Yeşilyurt / Merkez - 2+1,17000.0
Battalgazi / Merkez - 3+1,14500.0
Yeşilyurt / Merkez - 2+1,13500.0
Battalgazi / Merkez - 3+1,12000.0
Battalgazi / Merkez - 1+1,13000.0
Battalgazi / Merkez - 1+1,15000.0
Battalgazi / Merkez - 2+1,10000.0
Yeşilyurt / Köyler - 3+1,10000.0
Battalgazi / Merkez - 1+1,9250.0
Battalgazi / Merkez - 2.5+1,17500.0
Yeşilyurt / Merkez - 3+1,15000.0
Yeşilyurt / Merkez - 2+1,10000.0
Battalgazi / Merkez - 3+1,16000.0
Yeşilyurt - 2+1,15000.0
Battalgazi / Merkez - 2+1,18000.0
Yeşilyurt / Merkez - 3+1,16000.0
Battalgazi / Merkez - 2+1,18000.0
Yeşilyurt / Köyler - 3+1,15000.0
Yeşilyurt - 2+1,17000.0
Yeşilyurt / Köyler - 3+1,10000.0
Battalgazi / Merkez - 2+1,13750.0
Battalgazi / Merkez - 3+1,15500.0
Yeşilyurt / Köyler - 3+1,10000.0
Battalgazi / Merkez - 3+1,15000.0
Yeşilyurt / Köyler - 3+1,9500.0
Battalgazi / Merkez - 2+1,15000.0
Battalgazi / Merkez - 3+1,14000.0
Yeşilyurt - 3+1,18000.0
Battalgazi / Merkez - 3+1,15000.0
Battalgazi / Merkez - 3+1,13000.0
Battalgazi / Merkez - 2+1,12000.0
Yeşilyurt / Merkez - 3+1,16000.0
Yeşilyurt / Merkez - 2+1,15000.0
Yeşilyurt / Köyler - 3+1,8000.0
Battalgazi / Merkez - 3+1,17000.0
Yeşilyurt / Köyler - 3+1,9000.0
Battalgazi / Merkez - 3+1,12000.0
Akçadağ - 2+1,14000.0
Battalgazi / Merkez - 3+1,18000.0
Battalgazi / Merkez - 3+1,11500.0
Battalgazi / Merkez - 3.5+1,15000.0
Battalgazi / Merkez - Stüdyo (1+0),16000.0
Yeşilyurt / Merkez - 3+1,18000.0
Battalgazi / Merkez - 3+1,18000.0
Yeşilyurt / Merkez - 3+1,15000.0
Battalgazi - 2+1,14000.0
Yeşilyurt / Merkez - 1+1,19000.0
Yeşilyurt / Köyler - 3+1,10000.0
Yeşilyurt / Merkez - 3+1,17500.0
Yeşilyurt / Merkez - 3+1,19000.0
Battalgazi / Merkez - 3+1,14250.0
Yeşilyurt / Merkez - 2+1,11250.0
Battalgazi / Merkez - 2+1,13000.0
Yeşilyurt / Merkez - 3+1,18500.0
Yeşilyurt / Köyler - 3+1,13000.0
Battalgazi / Merkez - 3+1,12000.0
Battalgazi / Merkez - 3+1,16500.0
Yeşilyurt / Merkez - 3+1,18000.0
Battalgazi / Merkez - 1+1,18000.0
Battalgazi / Merkez - 3+1,15000.0
Battalgazi / Merkez - 3+1,12000.0
Battalgazi / Merkez - 3+1,18000.0
Yeşilyurt / Merkez - 3+1,16000.0
Yeşilyurt / Merkez - 2+1,18000.0
Battalgazi / Merkez - 3+1,12000.0
Yeşilyurt - 3+1,16250.0
Yeşilyurt / Merkez - 2+1,13000.0
Darende - 3.5+1,10000.0
Battalgazi / Merkez - 2+1,18000.0
Yeşilyurt / Merkez - 4+1,15000.0
Yeşilyurt / Merkez - 1+1,13000.0
Yeşilyurt - 2+1,17850.0
Battalgazi / Merkez - 4+1,18500.0
Battalgazi / Merkez - 3+1,16000.0
Battalgazi / Merkez - 3+1,10000.0
Battalgazi / Merkez - 2+1,15000.0
Battalgazi / Merkez - 3+1,17000.0
Yeşilyurt / Köyler - 3+1,12000.0
Battalgazi / Merkez - 3+1,15000.0
Battalgazi / Merkez - 2+1,10000.0
Battalgazi / Merkez - 3+1,15500.0
Battalgazi / Merkez - 3+1,15500.0
Battalgazi / Merkez - 3+1,16000.0
Battalgazi / Merkez - 3+1,16000.0
Yeşilyurt / Merkez - 3+1,15000.0
Yeşilyurt / Köyler - 3+1,19000.0
Battalgazi / Merkez - 2+1,18000.0
Battalgazi / Merkez - 2+1,18500.0
Battalgazi / Merkez - 2+1,19000.0
Battalgazi / Merkez - 1+1,16000.0
Yeşilyurt / Köyler - 2+1,12000.0
Battalgazi / Merkez - 3+1,15000.0
Yeşilyurt / Merkez - 3+1,14000.0
Battalgazi / Merkez - 3+1,13000.0
Yeşilyurt / Merkez - 2+1,12750.0
Yeşilyurt / Köyler - 3+1,16000.0
Battalgazi / Merkez - 1+1,15000.0
Yeşilyurt / Merkez - 3+1,12000.0
Yeşilyurt / Merkez - 2+1,12000.0
Battalgazi / Merkez - 3+1,16250.0
Battalgazi / Merkez - 3+1,16000.0
Battalgazi / Merkez - Stüdyo (1+0),16000.0
Battalgazi / Merkez - 3+1,17000.0
Yeşilyurt - 2+1,18000.0
Battalgazi / Merkez - 1+1,19000.0
Battalgazi / Merkez - 3+1,15000.0
Battalgazi / Merkez - 2+1,18000.0
Battalgazi / Merkez - 2+1,12000.0
Battalgazi / Merkez - 1+1,18500.0
Battalgazi / Merkez - 2+1,13000.0
Yeşilyurt / Köyler - 3+1,18000.0
Yeşilyurt / Köyler - 3+1,17250.0
Battalgazi / Merkez - 3+1,18000.0
Yeşilyurt / Köyler - 2+1,16000.0
Yeşilyurt / Merkez - 2+1,12500.0
Yeşilyurt / Merkez - 2+1,16000.0
Battalgazi / Merkez - 2+1,7500.0
Yeşilyurt - 2+1,18000.0
Yeşilyurt / Merkez - 2+1,17500.0
Hekimhan - 3+1,10000.0
Battalgazi / Merkez - 2+1,19000.0
Battalgazi / Merkez - 3+1,17500.0
