District,Rooms,Price
Battalgazi / Merkez,2+1,12.000 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,12.000 TL
Battalgazi / Merkez,3+1,13.500 TL
Yeşilyurt / Merkez,3+1,15.900 TL
Yeşilyurt / Köyler,3+1,13.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,3+1,17.500 TL
Battalgazi / Merkez,1+1,18.000 TL
Yeşilyurt / Merkez,3+1,14.000 TL
Battalgazi / Merkez,2+1,18.000 TL
Battalgazi / Merkez,3+1,17.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,2+1,15.000 TL
Yeşilyurt / Köyler,3+1,10.000 TL
Yeşilyurt / Merkez,3+1,15.000 TL
Battalgazi / Merkez,2+0,14.500 TL
Battalgazi / Merkez,2+1,18.000 TL
Battalgazi / Merkez,2+1,19.500 TL
Yeşilyurt / Merkez,2+1,12.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,2+1,19.000 TL
Yeşilyurt / Merkez,2+1,14.000 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,2+1,15.000 TL
Battalgazi / Merkez,1+1,15.000 TL
Yeşilyurt / Merkez,2+1,11.800 TL
Yeşilyurt / Merkez,3+1,17.000 TL
Yeşilyurt / Merkez,1+1,12.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,2+1,17.000 TL
Yeşilyurt,3.5+1,18.000 TL
Battalgazi / Merkez,3+1,14.000 TL
Yeşilyurt / Merkez,2+1,9.000 TL
Battalgazi / Merkez,3+1,12.750 TL
Battalgazi / Merkez,2+1,17.250 TL
Yeşilyurt / Merkez,1+1,19.000 TL
Battalgazi / Merkez,3+1,12.750 TL
Battalgazi / Merkez,3+1,17.000 TL
Battalgazi / Merkez,2+1,17.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,3+1,17.000 TL
Battalgazi / Merkez,1+1,15.000 TL
Yeşilyurt / Merkez,2+1,9.000 TL
Battalgazi / Merkez,2+1,14.500 TL
Yeşilyurt / Köyler,3+1,12.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,14.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,1+1,15.000 TL
Yeşilyurt / Merkez,1+1,13.000 TL
Battalgazi / Merkez,2+1,17.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt / Köyler,3+1,13.000 TL
Yeşilyurt / Köyler,3+1,17.000 TL
Yeşilyurt,3+1,17.000 TL
Battalgazi / Merkez,2+1,14.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt / Merkez,2+1,18.000 TL
Yeşilyurt / Köyler,3+1,18.000 TL
Yeşilyurt / Merkez,2+1,12.000 TL
Yeşilyurt / Merkez,3+1,14.000 TL
Battalgazi / Merkez,1+1,19.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Battalgazi / Merkez,2+1,14.500 TL
Battalgazi / Merkez,3+1,16.000 TL
Yeşilyurt / Merkez,2+1,18.000 TL
Battalgazi / Merkez,2+1,16.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,2+1,18.500 TL
Yeşilyurt / Köyler,3+1,12.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Yeşilyurt / Merkez,3+1,10.000 TL
Yeşilyurt / Merkez,3+1,15.000 TL
Battalgazi / Merkez,3+1,12.500 TL
Yeşilyurt,2+1,10.000 TL
Battalgazi / Merkez,2+0,17.000 TL
Yeşilyurt / Köyler,1+1,17.500 TL
Battalgazi / Merkez,3+1,15.500 TL
Yeşilyurt / Köyler,3+1,17.500 TL
Yeşilyurt / Merkez,3+1,14.000 TL
Battalgazi / Merkez,3+1,15.500 TL
Battalgazi / Merkez,2+1,18.000 TL
Yeşilyurt / Merkez,2+1,17.000 TL
Yeşilyurt / Merkez,2+1,19.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt,3+1,17.000 TL
Battalgazi / Merkez,2+1,19.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,2+1,14.500 TL
Yeşilyurt / Merkez,3+1,13.500 TL
Battalgazi / Merkez,2+1,16.000 TL
Battalgazi / Merkez,1+1,17.500 TL
Battalgazi / Merkez,1+1,15.000 TL
Battalgazi / Merkez,2+1,14.000 TL
Yeşilyurt / Merkez,1+1,10.000 TL
Battalgazi / Merkez,1+1,12.000 TL
Battalgazi / Merkez,2+1,18.500 TL
Yeşilyurt / Merkez,3+1,17.000 TL
Yeşilyurt / Merkez,3+1,19.000 TL
Battalgazi / Merkez,2+1,14.000 TL
Battalgazi / Merkez,2+1,19.000 TL
Yeşilyurt / Merkez,3+1,16.000 TL
Yeşilyurt / Merkez,2+1,18.900 TL
Battalgazi / Merkez,3+1,12.000 TL
Battalgazi / Merkez,3+1,13.000 TL
Yeşilyurt / Merkez,1+1,9.500 TL
Yeşilyurt / Köyler,3+1,18.000 TL
Yeşilyurt,3+1,17.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,1+1,17.000 TL
Battalgazi / Merkez,2+1,15.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Yeşilyurt / Merkez,2+1,10.000 TL
Battalgazi / Merkez,3+1,14.500 TL
Battalgazi / Merkez,2.5+1,17.500 TL
Yeşilyurt / Merkez,2+1,18.000 TL
Battalgazi / Merkez,2+1,14.000 TL
Doğanşehir,3+1,12.000 TL
Yeşilyurt / Merkez,2+1,10.000 TL
Battalgazi / Merkez,2+1,18.000 TL
Yeşilyurt,2+1,18.000 TL
Battalgazi / Merkez,3+1,8.500 TL
Battalgazi / Merkez,3+1,17.000 TL
Yeşilyurt / Köyler,3+1,9.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Doğanşehir,3+1,12.000 TL
Yeşilyurt / Köyler,3+1,10.000 TL
Yeşilyurt / Merkez,1+1,11.000 TL
Battalgazi / Merkez,3+1,16.500 TL
Yeşilyurt / Merkez,1+1,12.500 TL
Yeşilyurt / Merkez,3+1,15.000 TL
Yeşilyurt / Köyler,1+1,8.000 TL
Battalgazi / Merkez,2+1,12.000 TL
Yeşilyurt / Merkez,2+1,16.000 TL
Battalgazi / Merkez,3+1,17.000 TL
Battalgazi / Merkez,2+1,15.000 TL
Battalgazi / Merkez,2+1,15.000 TL
Yeşilyurt / Merkez,3+1,16.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,1+1,15.000 TL
Battalgazi / Merkez,1.5+1,14.500 TL
Akçadağ,2+1,14.000 TL
Yeşilyurt / Merkez,3+1,10.000 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Yeşilyurt / Köyler,3+1,18.000 TL
Battalgazi / Merkez,Stüdyo (1+0),12.000 TL
Yeşilyurt / Merkez,3+1,15.000 TL
Battalgazi / Merkez,4+1,15.000 TL
Yeşilyurt / Merkez,3+1,18.500 TL
Battalgazi / Merkez,2+1,15.500 TL
Battalgazi / Merkez,3+1,14.999 TL
Battalgazi / Merkez,3+1,14.000 TL
Battalgazi / Merkez,2+1,13.000 TL
Battalgazi / Merkez,2+1,15.500 TL
Battalgazi / Merkez,3+1,17.500 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,2+1,15.000 TL
Battalgazi / Merkez,3+1,14.000 TL
Battalgazi / Merkez,Stüdyo (1+0),16.000 TL
Yeşilyurt / Köyler,3+1,18.500 TL
Battalgazi / Merkez,2+1,16.000 TL
Battalgazi / Merkez,2+1,12.000 TL
Yeşilyurt / Merkez,3+1,13.000 TL
Battalgazi / Merkez,2+1,11.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,1+1,15.000 TL
Battalgazi / Merkez,4+1,18.000 TL
Yeşilyurt / Merkez,3+1,13.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,17.500 TL
Yeşilyurt / Köyler,3+1,11.000 TL
Battalgazi / Merkez,2+0,17.500 TL
Yeşilyurt / Merkez,2+1,12.000 TL
Yeşilyurt / Köyler,3+1,16.000 TL
Battalgazi / Merkez,1+1,14.000 TL
Darende,3.5+1,10.000 TL
Yeşilyurt / Merkez,4+1,15.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Yeşilyurt / Köyler,3+1,9.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Yeşilyurt,4+1,17.000 TL
Battalgazi / Merkez,2+1,15.000 TL
Yeşilyurt / Köyler,2+1,18.000 TL
Battalgazi / Merkez,2+1,19.000 TL
Yeşilyurt / Merkez,2+1,18.000 TL
Battalgazi / Merkez,2+1,12.000 TL
Battalgazi / Merkez,2+1,10.000 TL
Battalgazi / Merkez,2+1,12.000 TL
Battalgazi / Merkez,1+1,10.000 TL
Yeşilyurt / Merkez,3+1,15.000 TL
Battalgazi / Merkez,1+1,17.000 TL
Yeşilyurt / Köyler,3+1,16.500 TL
Akçadağ,2+1,11.000 TL
Battalgazi / Merkez,1+1,19.000 TL
Yeşilyurt / Merkez,3+1,12.500 TL
Battalgazi / Merkez,2+1,16.000 TL
Battalgazi / Merkez,2+1,12.000 TL
Yeşilyurt / Köyler,3+1,17.000 TL
Battalgazi / Merkez,2+1,19.000 TL
Yeşilyurt / Köyler,3+1,16.000 TL
Yeşilyurt / Köyler,3+1,13.500 TL
Yeşilyurt / Köyler,3+1,11.000 TL
Battalgazi / Merkez,3+1,12.000 TL
Yeşilyurt,3+1,17.500 TL
Yeşilyurt / Köyler,3+1,15.000 TL
Battalgazi / Merkez,1+1,18.500 TL
Yeşilyurt / Köyler,3+1,10.000 TL
Yeşilyurt / Merkez,2+1,16.000 TL
Battalgazi / Merkez,3+1,15.500 TL
Yeşilyurt / Köyler,3+1,11.000 TL
Battalgazi / Merkez,3+1,15.500 TL
Yeşilyurt,3+1,17.000 TL
Yeşilyurt / Merkez,1+1,18.500 TL
Yeşilyurt / Köyler,3.5+1,17.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,15.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,1+1,18.000 TL
Battalgazi / Merkez,1+1,10.000 TL
Battalgazi,3+1,12.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt,3+1,19.000 TL
Yeşilyurt / Merkez,2+1,15.000 TL
Battalgazi / Merkez,3+1,19.000 TL
Yeşilyurt / Merkez,1+1,12.500 TL
Yeşilyurt / Köyler,3+1,15.000 TL
Yeşilyurt / Merkez,3+1,12.000 TL
Yeşilyurt / Merkez,3+1,16.000 TL
Yeşilyurt / Merkez,2+1,12.000 TL
Yeşilyurt / Merkez,2+1,10.500 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,3+1,18.500 TL
Battalgazi / Merkez,3+1,12.500 TL
Battalgazi / Merkez,3+1,14.000 TL
Yeşilyurt / Merkez,1+1,8.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt / Köyler,3+1,14.000 TL
Yeşilyurt / Merkez,2+1,11.500 TL
Yeşilyurt / Merkez,3+1,11.250 TL
Yeşilyurt / Merkez,3+1,19.000 TL
Battalgazi / Merkez,3+1,11.500 TL
Yeşilyurt / Merkez,3+1,19.250 TL
Battalgazi / Merkez,3+1,13.500 TL
Battalgazi / Merkez,2+1,13.000 TL
Battalgazi / Merkez,2.5+1,18.000 TL
Yeşilyurt / Merkez,3+1,13.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt / Merkez,2+1,15.000 TL
Yeşilyurt / Merkez,3+1,16.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt / Merkez,3.5+1,17.500 TL
Battalgazi / Merkez,3+1,16.000 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Kale / Köyler,2+1,9.000 TL
Yeşilyurt / Merkez,3+1,16.000 TL
Battalgazi / Merkez,2+1,19.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3.5+1,16.000 TL
Battalgazi / Merkez,2+1,16.000 TL
Yeşilyurt / Köyler,3+1,10.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,2+1,13.000 TL
Yeşilyurt,3+1,18.000 TL
Yeşilyurt / Merkez,3+1,17.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Battalgazi / Merkez,3+1,13.500 TL
Yeşilyurt,3+1,17.500 TL
Battalgazi / Merkez,2+1,12.500 TL
Yeşilyurt / Merkez,2+1,12.000 TL
Battalgazi / Merkez,3+1,13.250 TL
Battalgazi / Merkez,2+1,14.500 TL
Yeşilyurt / Merkez,3+1,13.000 TL
Battalgazi / Merkez,3+1,13.000 TL
Battalgazi / Merkez,1+1,18.500 TL
Battalgazi / Merkez,3+1,17.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,13.500 TL
Yeşilyurt,3+1,16.000 TL
Battalgazi / Merkez,1+1,19.000 TL
Battalgazi / Merkez,2+1,15.250 TL
Battalgazi / Merkez,1+1,19.000 TL
Hekimhan,2+1,13.000 TL
Battalgazi / Merkez,2+1,13.500 TL
Battalgazi / Merkez,3+1,17.000 TL
Yeşilyurt / Merkez,3+1,15.750 TL
Yeşilyurt / Köyler,3+1,12.000 TL
Battalgazi / Merkez,3+1,15.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt / Merkez,3+1,17.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Battalgazi / Merkez,3+1,14.500 TL
Battalgazi / Merkez,2+1,19.000 TL
Yeşilyurt / Merkez,1+1,10.000 TL
Yeşilyurt / Merkez,2+1,12.000 TL
Battalgazi / Merkez,2+1,14.000 TL
Yeşilyurt / Merkez,3+1,14.500 TL
Battalgazi / Merkez,3+1,15.500 TL
