Listing_ID,City,District,Rooms,Price
1306174977,Bolu,KöylerYukarısoku Mh.,4+2,25000.0
1254965873,Bolu,MerkezTabaklar Mah.,4+1,25000.0
1306171099,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,3+1,21000.0
1298711981,Bolu,MerkezSağlık Mh.,2+1,18500.0
1306167285,Bolu,MerkezBeşkavaklar Mh.,1+1,20000.0
1294906046,Bolu,MerkezBorazanlar Mah.,2+1,18500.0
1306156934,Bolu,MerkezSağlık Mh.,3+1,25000.0
1298993084,Bolu,MerkezKaramanlı Mh.,1+1,14000.0
1270777061,Bolu,MerkezSağlık Mh.,3+1,15000.0
1288914276,Bolu,KöylerKılıçarslan Mh.,3+1,35000.0
1291917168,Bolu,MerkezTabaklar Mah.,1+1,35000.0
1306107380,Bolu,MerkezPaşaköy Mh.,3+1,30000.0
1275506831,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,1+1,12000.0
1306222521,Bolu,MerkezBeşkavaklar Mh.,1+1,28000.0
1299349673,Bolu,MerkezSağlık Mh.,2+1,10000.0
1306090490,Bolu,MerkezSümer Mh.,1+1,22000.0
1300601375,Bolu,MerkezSağlık Mh.,2+1,18000.0
1289629445,Bolu,MerkezTepecik Mah.,2+1,22000.0
1300347260,Bolu,MerkezOvadüzü Mh.,2+1,12000.0
1303367294,Bolu,Merkezİzzet Baysal Mh.,2+1,16500.0
1306085211,Bolu,KöylerKılıçarslan Mh.,1+1,18000.0
1300549663,Bolu,MerkezTabaklar Mah.,2+1,23000.0
1306187206,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,2+1,15000.0
1269130119,Bolu,MerkezTabaklar Mah.,3+1,16000.0
1108077568,Bolu,MerkezBeşkavaklar Mh.,1+1,16500.0
1306045585,Bolu,Merkezİzzet Baysal Mh.,2+1,19000.0
1300558883,Bolu,İhsaniye/Gölyüzüİhsaniye Mh.,3+1,18000.0
1306038001,Bolu,MerkezTabaklar Mah.,2+1,23500.0
1303306005,Bolu,MerkezBahçelievler Mh.,1+1,15000.0
1306038384,Bolu,MerkezAlpağut Mh.,3+1,32000.0
1292745035,Bolu,KöylerYukarısoku Mh.,5+2,90000.0
1294084957,Bolu,MerkezSağlık Mh.,3+1,22000.0
1306027971,Bolu,MerkezKültür Mh.,3+1,30000.0
1306019722,Bolu,KöylerKılıçarslan Mh.,4+1,40000.0
1286741004,Bolu,MerkezPaşaköy Mh.,1+1,30000.0
1293950454,Bolu,MerkezKültür Mh.,2+0,17500.0
1300528018,Bolu,MerkezTabaklar Mah.,1+1,12000.0
1300505356,Bolu,MerkezSağlık Mh.,2+1,13500.0
1300488816,Bolu,İhsaniye/GölyüzüGölyüzü Mh.,2+1,18000.0
1305995166,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,1+1,17000.0
1300493685,Bolu,İhsaniye/GölyüzüKöroğlu Mh.,2+1,17500.0
1303238342,Bolu,MerkezAlpağutbey Mh.,2+1,25000.0
1306254080,Bolu,MerkezSümer Mh.,2+1,35000.0
1303229820,Bolu,MerkezKaramanlı Mh.,2+1,16000.0
1154981730,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,2+0,14000.0
1305944895,Bolu,MerkezBeşkavaklar Mh.,3+1,27000.0
1305934168,Bolu,MerkezBeşkavaklar Mh.,3+1,14250.0
1294324971,Bolu,MerkezSağlık Mh.,3+1,18000.0
1305930340,Bolu,MerkezTabaklar Mah.,Stüdyo (1+0),15500.0
1305927533,Bolu,MerkezKaramanlı Mh.,1+1,14250.0
1205882277,Bolu,Merkezİzzet Baysal Mh.,3+1,19000.0
1305875019,Bolu,MerkezSağlık Mh.,2+1,20000.0
1303331867,Bolu,MerkezBeşkavaklar Mh.,2+1,23000.0
1306057469,Bolu,MerkezTabaklar Mah.,1+1,30000.0
1304620652,Bolu,İhsaniye/GölyüzüSemerkant Mah.,1+1,22000.0
1306185464,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,2+1,18000.0
1300562091,Bolu,İhsaniye/Gölyüzüİhsaniye Mh.,3+1,17000.0
1305876838,Bolu,İhsaniye/GölyüzüAktaş Mh.,2+1,25000.0
1305856458,Bolu,MerkezSümer Mh.,2+1,16000.0
1291895572,Bolu,MerkezBahçelievler Mh.,1+1,16000.0
1305865136,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,1+1,15500.0
1144114303,Bolu,KöylerKılıçarslan Mh.,5+1,42500.0
