product_name,price,id,sku,brand,category,regular_price,discount_rate,unit,status
Bosch Bahçe Çim ve Yaprak Toplama Tırmığı,363.82,14556,14556,Bosch Aksesuar ve El Aletleri,Tırmıklar,423.5,14.09,PIECE,IN_SALE
Prosaw PS51219 Sunta Kesme 210x30/25 mm 16 Diş,366.0,15687,15687,Diğer,Daire Testereler,688.6,46.85,PIECE,IN_SALE
Tamir Bandı 48x40 mt,155.0,15645,15645,Diğer,Bantlar,176.0,11.93,PIECE,IN_SALE
Bosch Taşlama Siperi Kapaksız Vidalı 115 mm,467.78,15420,15420,Bosch Aksesuar ve El Aletleri,Kesme ve Taşlama Diskleri,544.5,14.09,PIECE,IN_SALE
BOSCH PRO MultiMaterial Delik Açma Testeresi 17mm,498.96,15000,15000,Bosch Aksesuar ve El Aletleri,Pançlar,580.8,14.09,PIECE,IN_SALE
Bosch C470 Zımpara Kağıdı Rulosu 115mm x 5m P240,327.92,14995,14995,Bosch Aksesuar ve El Aletleri,Aksesuarlar,381.7,14.09,PIECE,IN_SALE
"BOSCH HSS-Co Metal Matkap Ucu 6,5*101 mm 1li",203.18,14576,14576,Bosch Aksesuarlar,Aksesuarlar,236.5,14.09,PIECE,IN_SALE
Bosch Expert Yaprak Matkap Ucu HEX 10x400 mm,311.85,13776,13776,Bosch Aksesuarlar,Aksesuarlar,363.0,14.09,PIECE,IN_SALE
"Bosch HSSPointTeQ Metal Matkap Ucu 9,5mm",124.74,13588,13588,Bosch Aksesuarlar,Aksesuarlar,145.2,14.09,PIECE,IN_SALE
Bosch Ahşap Matkap Uç Expert SCS Yaprak HEX 18x152 mm,159.71,13587,13587,Bosch Aksesuarlar,Aksesuarlar,185.9,14.09,PIECE,IN_SALE
Bosch Polisaj Süngeri EasyCurvSander 40 mm,239.08,13586,13586,Bosch Aksesuarlar,Polisaj Makine ve Aksesuarları,278.3,14.09,PIECE,IN_SALE
"Bosch Metal Matkap Ucu HSS-Co DIN 338 7,5x109 mm",236.25,13575,13575,Bosch Aksesuarlar,Aksesuarlar,275.0,14.09,PIECE,IN_SALE
Bosch SDS Plus-1 22x460mm,699.3,13468,13468,Bosch Aksesuarlar,Beton Delici Uçlar,814.0,14.09,PIECE,IN_SALE
Bosch PC-Plus Delik Açma Testeresi 22mm,339.25,13466,13466,Bosch Aksesuarlar,Aksesuarlar,394.9,14.09,PIECE,IN_SALE
Bosch CYL-3 Beton Delme 16x160 mm,654.88,13440,13440,Bosch Aksesuarlar,Beton Delici Uçlar,762.3,14.09,PIECE,IN_SALE
Bosch X-line 7 Parça Mini Ahşap Matkap Ucu Set,239.08,13338,13338,Bosch Aksesuar ve El Aletleri,Aksesuarlar,278.3,14.09,PIECE,IN_SALE
"Bosch Titreşimli Zımpara Kağıdı 10'lu, 93 x 185 Mm 180 Kum 8 Delik",222.08,13322,13322,Bosch Aksesuarlar,Zımpara Uçları,258.5,14.09,PIECE,IN_SALE
