Daily Inflation(%),Date
-0.006899504957886082,2-26
-0.017739889292608512,2-27
1.6548311065185912,2-28
2.106154053505068,3-1
0.3622516614977905,3-2
-0.07005094317185503,3-3
0.09183155453776463,3-4
0.022034685185984233,3-5
-1.828369695408633,3-6
-0.2940483790921017,3-7
-0.005431404515035807,3-8
0.32982128704474606,3-9
-0.24615736661513865,3-10
2.051210093076287,3-11
-0.1254615314247066,3-12
-0.08756018100656039,3-13
-1.9096067092558249,3-14
0.0034658752670168494,3-15
0.1983732501180114,3-16
-0.019111850636127112,3-17
-0.07615533489111964,3-18
0.008929740792988534,3-19
0.019226202792912067,3-20
0.0,3-21
-0.003356671599631245,3-22
0.26010183855568264,3-23
0.21611202069250915,3-24
2.5607220286664734,3-25
0.0752427813912871,3-26
-0.12211648465850684,3-27
0.28950814967906985,3-28
0.0,3-29
0.22793823176346303,3-30
