kategori,product_name,product_price
"Meyve, Sebze",Salatalık Kg,"69,90"
"Meyve, Sebze",Salatalık Silor Kg,"119,90"
"Meyve, Sebze",Domates Kg,"99,00"
"Meyve, Sebze",Domates Salkım Kg,"119,90"
"Meyve, Sebze",Biber Çarliston Kg,"149,90"
"Meyve, Sebze",Biber Kapya Kg,"159,00"
"Meyve, Sebze",Biber Acı Kg,"159,90"
"Meyve, Sebze",Biber Köy Kg,"219,90"
"Meyve, Sebze",Biber Dolmalık Kg,"189,90"
"Meyve, Sebze",Patlıcan Kg,"189,90"
"Meyve, Sebze",Kabak Kg,"79,90"
"Meyve, Sebze",Havuç Kg,"39,90"
"Meyve, Sebze",Limon Adet,"15,90"
"Meyve, Sebze",Karnabahar Kg,"73,90"
"Meyve, Sebze",Ayva Kg,"239,90"
"Meyve, Sebze",Patates Kg,"22,90"
"Meyve, Sebze",Soğan Kg,"14,90"
"Meyve, Sebze",Dere Otu Adet,"30,00"
"Meyve, Sebze",Lahana Kırmızı Kg,"39,90"
"Meyve, Sebze",Kıvırcık Adet,"69,90"
"Meyve, Sebze",Marul Adet,"70,00"
"Meyve, Sebze",Maydanoz Adet,"22,50"
"Meyve, Sebze",Soğan Taze Demet,"28,00"
"Meyve, Sebze",Brokoli Kg,"134,90"
"Meyve, Sebze",Fasulye Çalı Kg,"299,00"
"Meyve, Sebze",Lahana Sarmalık Bağ,"22,00"
"Meyve, Sebze",Lahana Top Kg,"26,90"
"Meyve, Sebze",Sarımsak Kg,"199,00"
"Meyve, Sebze",Kereviz Kg,"74,00"
"Meyve, Sebze",Turp Kırmızı Kg,"39,90"
"Meyve, Sebze",Muz İthal Kg,"149,90"
"Meyve, Sebze",Zencefil Kg,"329,90"
"Meyve, Sebze",Patates Çuval (10 Kg),"150,00"
"Meyve, Sebze",Soğan Çuval (9 Kg),"115,00"
"Meyve, Sebze",Elma Starking Kg,"129,90"
"Meyve, Sebze",Soğan Sıska Paket,"64,90"
"Meyve, Sebze",Elma Golden Kg,"129,90"
"Meyve, Sebze",Karpuz Kg,"149,90"
