tarih,product_name,product_price
2026-03-08,Salatalık Kg,79.90109.00
2026-03-08,Salatalık Silor Kg,179.90
2026-03-08,Domates Kg,69.90
2026-03-08,Domates Salkım Kg,59.90
2026-03-08,Domates Çeri Kg,189.90
2026-03-08,Biber Çarliston Kg,139.90
2026-03-08,Biber Kapya Kg,139.90
2026-03-08,Biber Acı Kg,139.90
2026-03-08,Şili Biberi Kg,179.90
2026-03-08,Biber Köy Kg,169.90
2026-03-08,Biber Dolmalık Kg,99.00169.90
2026-03-08,Patlıcan Kg,199.00
2026-03-08,Kabak Kg,129.00
2026-03-08,Havuç Kg,39.90
2026-03-08,Limon Adet,15.90
2026-03-08,Karnabahar Kg,64.90
2026-03-08,Soğan Kırmızı Kg,74.90
2026-03-08,Çilek Kg,299.00
2026-03-08,Ayva Kg,199.00
2026-03-08,Patates Kg,22.90
2026-03-08,Soğan Kg,14.90
2026-03-08,Dere Otu Adet,30.00
2026-03-08,Lahana Kırmızı Kg,49.90
2026-03-08,Kıvırcık Adet,59.90
2026-03-08,Marul Adet,62.00
2026-03-08,Maydanoz Adet,23.00
2026-03-08,Soğan Taze Demet,30.00
2026-03-08,Brokoli Kg,129.90
2026-03-08,Fasulye Çalı Kg,329.90
2026-03-08,Roka Adet,25.00
2026-03-08,Lahana Sarmalık Bağ,21.50
2026-03-08,Lahana Top Kg,26.90
2026-03-08,Pırasa Kg,54.90
2026-03-08,Sarımsak Kg,199.00
2026-03-08,Üzüm Siyah Kg,199.00
2026-03-08,Kereviz Kg,74.90
2026-03-08,Turp Kırmızı Kg,39.90
2026-03-08,Turp Beyaz Kg,39.90
2026-03-08,Muz İthal Kg,134.90
2026-03-08,Zencefil Kg,299.00
2026-03-08,Patates Çuval (10 Kg),150.00
2026-03-08,Soğan Çuval (9 Kg),115.00
2026-03-08,Elma Starking Kg,119.90
2026-03-08,Soğan Sıska Paket,64.90
2026-03-08,Elma Golden Kg,119.90
2026-03-08,POMELO ADET,199.00
2026-03-08,Karpuz Kg,139.90
2026-03-08,Muz Yerli Kg,89.90
2026-03-08,Greyfurt Kg,74.90
2026-03-08,Armut Deveci Kg,149.90
2026-03-08,Mandalina Kg,69.90
2026-03-08,Mango Adet,120.00
2026-03-08,Ananas Adet,179.00
2026-03-08,Elma Gransimit Kg,149.90
2026-03-08,Portakal Dallı Kg,39.90
2026-03-08,Kivi Duble Kg,199.00
2026-03-08,Armut Santa Kg,149.00
2026-03-08,Elma Gala Kg,139.00
2026-03-08,Armut Doktor Kg,99.00
2026-03-08,Avokado Adet,99.00
2026-03-08,MNV LİKAPA PAKET,229.00
2026-03-08,Dana Kıyma Kg,850.00
2026-03-08,Dana Kemikli Et Kg,750.00
2026-03-08,Dana Tranç Kg,900.00
2026-03-08,Dana Parça Et Kg,870.00
2026-03-08,Dana Kuşbaşı Kg,900.00
2026-03-08,Kuzu Kuşbaşı Kg,980.00
2026-03-08,Dana Antrikot Kg,980.00
2026-03-08,Dana Sote Kg,950.00
2026-03-08,Dana Yağsız Kıyma kg,950.00
2026-03-08,Dana Yağsız Kuşbaşı Kg,950.00
2026-03-08,Dana Ciğer Kg,670.00
2026-03-08,Kuzu Kaburga Kg,860.00
2026-03-08,Kuzu But Kg,860.00
2026-03-08,Dana Bonfile Kg,1400.00
2026-03-08,Banvit Bonfile Göğüs Kg,210.00
2026-03-08,Banvit Izgara Tava Kg,275.00
2026-03-08,Banvit Tavuk Pirzola Kg,129.00
2026-03-08,Banvit Baget Kg,119.00
2026-03-08,Gedik Tavuk Baget Kg,119.00
2026-03-08,Gedik Bütün Poşet Tavuk Kg,129.00
2026-03-08,Banvit Izgara Kanat Kg,210.00
2026-03-08,Gedik Tavuk Kanat Kg,250.00
2026-03-08,Gedik Tavuk Izgara Tava Kg,240.00
2026-03-08,Faden Derisiz Fleto Kg,185.00
2026-03-08,Faden Piliç Sarma,129.00
2026-03-08,FADEN Tab.Izgara Kanat,260.00
2026-03-08,Faden Tab.Pirzola,180.00
2026-03-08,İçim Yarım Yağlı Süt 1 lt,49.50
2026-03-08,İçim Süt Tetra 1 lt,59.50
2026-03-08,Sütaş Süzme Peynir 500 gr,119.00
2026-03-08,Ayca Az Yağlı Beyaz Peynir 800 gr,119.00
2026-03-08,YUMURTA Ümit 30 lu Sarı,185.00
2026-03-08,Ülker Çokokrem 400 gr,99.50
2026-03-08,Sütaş Yarım Yağlı Süt 1lt,48.50
2026-03-08,YUMURTA Köy Kaçkar 15 li,110.00
2026-03-08,Kolot Peyniri Tam Yağlı kg,285.00
2026-03-08,Sütaş Kaymaksız Yoğurt 1 kg,77.50
2026-03-08,Yumurta Kopuz 30 lu Beyaz,175.00
2026-03-08,Kebir Bidon Köy Tipi Yoğurt 1 kg,81.00
2026-03-08,Sütaş Süzme Peynir 250 gr,70.00
2026-03-08,Sütaş Kaymaksız Yoğurt 2 kg,135.00
2026-03-08,Pınar Yarım Yağlı Yoğurt 2000 gr,149.00
2026-03-08,Üçel Kakaolu Helva 830 Gr,239.00
2026-03-08,Kebir Köy Tipi Yoğurt 2 kg,147.00
2026-03-08,Bizim Paket Margarin 250 gr,44.50
2026-03-08,YUMURTA Ümit 15 li Sarı L,95.00
2026-03-08,Marmarabirlik Mega Siyah Zeytin Teneke 800 gr,310.00
2026-03-08,Kaanlar Beyaz Peynir Trakya 800 gr,245.00
2026-03-08,Marmarabirlik Az Tuzlu Zeytin Teneke 800 gr,174.90199.00
2026-03-08,Pınar Krem Peynir 300 GR,109.00
2026-03-08,Pınar Süt 200 ml Y.Yağlı,18.00
2026-03-08,Rizze Dil Peyniri 750 Gr,310.00
2026-03-08,Nestle Nesfit Ballı Badem 400 gr,170.00
2026-03-08,Sütaş Süzme Peynir 900 gr,222.50
2026-03-08,Nestle Nesfit Kırmızı Meyveli 23.5 gr,30.00
2026-03-08,Tereyağı Royal Kg,695.00
2026-03-08,"Sütaş Kaymaksız Yoğurt 1,5 kg",105.00
2026-03-08,Torku Tam Yağlı Beyaz Peynir 900 gr,279.00
2026-03-08,Nestle Nesfit Bitter Çikolatalı Bar 23.5 gr,30.00
2026-03-08,Torku Süzme Peynir 450 gr,132.00
2026-03-08,Torku Süzme Peynir 850 gr,220.00
2026-03-08,İçim Yoğurt 2 kg,149.00
2026-03-08,Nestle Nesfit Çikolatalı 400 gr,170.00
2026-03-08,Nutella 750 gr,265.00
2026-03-08,Nestle Nesfit 420 gr,130.00
2026-03-08,Torku Banada Kakaolu Fındık Kreması 700 gr,199.00
2026-03-08,Nestle Nesquik Mısır Gevreği 225 gr,110.00
2026-03-08,Nestle Nesquik Çokokare Gevrek 310 gr,115.00
2026-03-08,Pınar Hindi Salam Aç Bitir 75 gr,38.00
2026-03-08,Nestle Nesquik Mısır Gevreği 450 gr,129.00
2026-03-08,Pınar Kido Muzlu Süt 180 ml,16.50
2026-03-08,İçim Süt Tetra 200 ml,18.75
