kategori,product_name,product_price
"Süt, Kahvaltılık",Aytaç Yarım Yağlı Süt 1 lt,"44,90"
"Süt, Kahvaltılık",İçim Yarım Yağlı Süt 1 lt,"49,00"
"Süt, Kahvaltılık",Torku Yarım Yağlı Süt 1Lt,"52,90"
"Süt, Kahvaltılık",İçim Süt Tetra 1 lt,"59,50"
"Süt, Kahvaltılık",Pınar Süt Yarım Yağlı 1 Lt,"49,00"
"Süt, Kahvaltılık","Pınar Tam Yağlı Süt 2,5 1 lt","59,00"
"Süt, Kahvaltılık",Torku Tam Yağlı Süt 1 lt,"69,90"
"Süt, Kahvaltılık",Pınar Çocuk Devam Sütü 1 Lt,"79,00"
"Süt, Kahvaltılık",Pınar Kido Çilekli Süt 180 ml,"18,25"
"Süt, Kahvaltılık",Pınar Kido Kakaolu Süt 180 ml,"18,25"
"Süt, Kahvaltılık",Enka Süt 1 Lt,"42,00"
"Süt, Kahvaltılık",Torku Çiftçi Günlük Süt 1 Lt,"45,00"
"Süt, Kahvaltılık",Sütaş Tam Yağlı Süt 1 lt,"55,00"
"Süt, Kahvaltılık",İçim (Laktaz) Yağsız Light Süt 1 lt,"62,00"
"Süt, Kahvaltılık",Pınar Tam Yağlı Süt 1 Lt,"69,00"
"Süt, Kahvaltılık",Pınar Organik Süt 1 lt,"80,00"
"Süt, Kahvaltılık",Pınar Protein Süt Yer Fıstığı ve Muz Aromalı 500ml,"75,00"
"Süt, Kahvaltılık",Sarelle Sütlü - K.Fındık Ezmesi Duo 350 Gr,"180,00"
"Süt, Kahvaltılık",Sütaş Çilekli Süt 200 ml,"15,00"
"Süt, Kahvaltılık",Torku Yağlı Süt 200 ml,"17,50"
"Süt, Kahvaltılık",Pınar Süt 200 ml Y.Yağlı,"18,50"
"Süt, Kahvaltılık",İçim Süt Tetra 200 ml,"18,75"
"Süt, Kahvaltılık",Pınar Laktozsuz Süt 200 ml,"25,00"
"Süt, Kahvaltılık",Pınar Süt 200 ML Tam Yağlı,"25,00"
"Süt, Kahvaltılık",Pınar Çocuk Süt 200 ml,"26,50"
"Süt, Kahvaltılık",Pınar Organik Süt 200 ml,"26,90"
"Süt, Kahvaltılık",Sütaş Çikolatalı Süt 180 ML,"15,00"
"Süt, Kahvaltılık",İçim İçimino Çilekli Süt 180 ML,"15,25"
"Süt, Kahvaltılık",Torku Kakaolu Süt 180 ml,"17,00"
"Süt, Kahvaltılık",Pınar Kido Muzlu Süt 180 ml,"18,25"
"Süt, Kahvaltılık",Sütaş Hüptirik 35 Gr*3,"5,00"
"Süt, Kahvaltılık",Kazdal Günlük Süt 3 Kg,"230,00"
"Süt, Kahvaltılık",DÖKME FINDIK KREMASI SÜTLÜ,"580,00"
"Süt, Kahvaltılık",Sütaş Yarım Yağlı Süt 1lt,"49,50"
"Süt, Kahvaltılık",SÜTAŞ LAKTOZSUZ SÜT 1 LT,"55,00"
"Süt, Kahvaltılık","Sütaş Tam Yağlı Süt 3,5 1 Lt","65,00"
"Süt, Kahvaltılık",Pınar Laktozsuz Süt 1 lt,"68,00"
"Süt, Kahvaltılık",ICIM DEVAM COCUK SÜTÜ 1 LT,"69,00"
"Süt, Kahvaltılık",SÜTAŞ BÜYÜMİX 6LI,"40,00"
"Süt, Kahvaltılık",Pınar Çocuk Süt 500 ml,"49,00"
"Süt, Kahvaltılık",PINAR PROTEINLI VANİLYALI SÜT 500 GR,"75,00"
"Süt, Kahvaltılık",Gürsoy Dore Sütlü Fındık Ezmesi 350 Gr,"269,00"
"Süt, Kahvaltılık",Hünnap Glutensiz Keçi Sütlü Çikolatalı Gevr.240 Gr,"130,00"
"Süt, Kahvaltılık",Sütaş Süt 200 ml,"15,00"
"Süt, Kahvaltılık",Nestle Nesquik Kakaolu Süt 180 ml,"31,00"
"Süt, Kahvaltılık",Sütaş Kaymak 180 gr,"139,00"
"Süt, Kahvaltılık",SÜTAŞ ERİTME KREM PEYNİR 150 GR,"50,00"
"Süt, Kahvaltılık",Mevlana Bey Çiftliği Günlük Süt 3 Lt,"235,00"
"Süt, Kahvaltılık",Mevlana Bey Çiftliği Günlük Süt 5 Lt,"375,00"
"Süt, Kahvaltılık",Pınar Proteinli Kakolu Süt 500 gr,"75,00"
"Süt, Kahvaltılık",Kazdal Günlük Süt 5 Kg,"380,00"
"Süt, Kahvaltılık",Royal Naturel Peynir 450 Gr,"185,00"
"Süt, Kahvaltılık",MURATBEY LOR PEYNİR 500GR,"90,00"
"Süt, Kahvaltılık",Pınar Süzme Peynir 500 gr,"129,00"
"Süt, Kahvaltılık",Pınar Labne Peynir 400 gr,"99,00"
"Süt, Kahvaltılık",İçim Labne 400 gr,"125,00"
"Süt, Kahvaltılık",Kebir Kolot Peyniri 400 gr,"169,00"
"Süt, Kahvaltılık",Muratbey Kaymaklı Peynir 200 Gr,"79,90"
"Süt, Kahvaltılık",Kebir Beyaz Peynir 800 gr,"225,00"
"Süt, Kahvaltılık",İçim Beyaz Peynir 900 gr,"259,00"
"Süt, Kahvaltılık",Ayca Lor Minzi 1 Kg,"109,00"
"Süt, Kahvaltılık",Kebir Tost Kaşar Peyniri 1000 gr,"365,00"
"Süt, Kahvaltılık",Eritme Peyniri Trabzon Kg,"245,00"
"Süt, Kahvaltılık",Eritme Peyniri Çeçilli Yöresel Kg,"245,00"
"Süt, Kahvaltılık",Eritme Dil Peyniri Kg,"330,00"
"Süt, Kahvaltılık",Beyaz Peynir Naturel Gündoğdu Ezine kg,"329,00"
"Süt, Kahvaltılık",Eski Kaşar Göle kg,"490,00"
"Süt, Kahvaltılık",Sütaş Süzme Peynir 500 gr,"134,90"
