tarih,product_name,product_price
2026-03-10,Domates Kg,69.90
2026-03-10,Domates Çeri Kg,189.90
2026-03-10,Biber Dolmalık Kg,99.00169.90
2026-03-10,Limon Adet,15.90
2026-03-10,Karnabahar Kg,64.90
2026-03-10,Çilek Kg,299.00
2026-03-10,Ayva Kg,199.00
2026-03-10,Patates Kg,22.90
2026-03-10,Soğan Kg,14.90
2026-03-10,Dere Otu Adet,30.00
2026-03-10,Lahana Kırmızı Kg,49.90
2026-03-10,Kıvırcık Adet,59.90
2026-03-10,Marul Adet,65.00
2026-03-10,Maydanoz Adet,22.50
2026-03-10,Soğan Taze Demet,27.00
2026-03-10,Brokoli Kg,129.90
2026-03-10,Pazı Bağ,21.50
2026-03-10,Fasulye Çalı Kg,329.90
2026-03-10,Roka Adet,24.00
2026-03-10,Lahana Sarmalık Bağ,22.00
2026-03-10,Lahana Top Kg,26.90
2026-03-10,Üzüm Siyah Kg,199.00
2026-03-10,Turp Kırmızı Kg,39.90
2026-03-10,Turp Beyaz Kg,39.90
2026-03-10,Muz İthal Kg,134.90
2026-03-10,Zencefil Kg,299.00
2026-03-10,Patates Çuval (10 Kg),150.00
2026-03-10,Soğan Çuval (9 Kg),115.00
2026-03-10,Elma Starking Kg,119.90
2026-03-10,Soğan Sıska Paket,64.90
2026-03-10,Elma Golden Kg,119.90
2026-03-10,POMELO ADET,199.00
2026-03-10,Karpuz Kg,139.90
2026-03-10,Muz Yerli Kg,89.90
2026-03-10,Greyfurt Kg,74.90
2026-03-10,Armut Deveci Kg,149.90
2026-03-10,Mandalina Kg,69.90
2026-03-10,Mango Adet,120.00
2026-03-10,Ananas Adet,179.00
2026-03-10,Elma Gransimit Kg,149.90
2026-03-10,Portakal Dallı Kg,39.90
2026-03-10,Kivi Duble Kg,199.00
2026-03-10,Armut Santa Kg,149.00
2026-03-10,Elma Gala Kg,139.00
2026-03-10,Armut Doktor Kg,99.00
2026-03-10,Avokado Adet,99.00
2026-03-10,Hindistan Cevizi Adet,169.00
2026-03-10,MNV LİKAPA PAKET,229.00
2026-03-10,MNV KUZUKULAĞI,29.00
2026-03-10,Salatalık Kg,79.90
2026-03-10,Salatalık Silor Kg,179.90
2026-03-10,Domates Salkım Kg,59.90
2026-03-10,Biber Çarliston Kg,139.90
2026-03-10,Biber Kapya Kg,139.90
2026-03-10,Biber Acı Kg,139.90
2026-03-10,Şili Biberi Kg,179.90
2026-03-10,Biber Köy Kg,169.90
2026-03-10,Patlıcan Kg,199.00
2026-03-10,Kabak Kg,129.00
2026-03-10,Havuç Kg,39.90
2026-03-10,Soğan Kırmızı Kg,74.90
2026-03-10,Sarımsak Kg,199.00
2026-03-10,Kereviz Kg,74.90
2026-03-10,MNV STARKING ELMA KG,39.90
2026-03-10,Dana Kıyma Kg,850.00
2026-03-10,Dana Kemikli Et Kg,750.00
2026-03-10,Dana Tranç Kg,900.00
2026-03-10,Dana Parça Et Kg,870.00
