tarih,product_name,product_price
2026-03-12,Salatalık Kg,89.90
2026-03-12,Salatalık Silor Kg,139.90
2026-03-12,Domates Kg,89.90
2026-03-12,Domates Salkım Kg,79.90
2026-03-12,Domates Çeri Kg,169.90
2026-03-12,Biber Çarliston Kg,119.90
2026-03-12,Biber Kapya Kg,149.90
2026-03-12,Biber Acı Kg,169.90
2026-03-12,Şili Biberi Kg,189.00
2026-03-12,Biber Köy Kg,229.00
2026-03-12,Biber Dolmalık Kg,189.90
2026-03-12,Patlıcan Kg,229.00
2026-03-12,Kabak Kg,109.00
2026-03-12,Havuç Kg,39.90
2026-03-12,Limon Adet,15.90
2026-03-12,Karnabahar Kg,64.90
2026-03-12,Soğan Kırmızı Kg,74.90
2026-03-12,Çilek Kg,299.00
2026-03-12,Ayva Kg,199.00
2026-03-12,Patates Kg,22.90
2026-03-12,Soğan Kg,14.90
2026-03-12,Dere Otu Adet,30.00
2026-03-12,Lahana Kırmızı Kg,44.90
2026-03-12,Semiz Otu Bağ,38.00
2026-03-12,Kıvırcık Adet,59.90
2026-03-12,Marul Adet,65.00
2026-03-12,Maydanoz Adet,22.50
2026-03-12,Soğan Taze Demet,27.00
2026-03-12,Brokoli Kg,139.90
2026-03-12,Pazı Bağ,21.50
2026-03-12,Fasulye Çalı Kg,349.90
2026-03-12,Nane Adet,28.00
2026-03-12,Roka Adet,24.00
2026-03-12,Lahana Sarmalık Bağ,22.00
2026-03-12,Lahana Top Kg,26.90
2026-03-12,Sarımsak Kg,199.00
2026-03-12,Üzüm Siyah Kg,199.00
2026-03-12,Kereviz Kg,74.90
2026-03-12,Kabak Tatlı Kg,39.90
2026-03-12,Turp Kırmızı Kg,39.90
2026-03-12,Turp Beyaz Kg,39.90
2026-03-12,Muz İthal Kg,139.90
2026-03-12,Zencefil Kg,329.90
2026-03-12,Patates Çuval (10 Kg),150.00
2026-03-12,Soğan Çuval (9 Kg),115.00
2026-03-12,Elma Starking Kg,99.00129.90
2026-03-12,Soğan Sıska Paket,64.90
2026-03-12,Elma Golden Kg,129.90
2026-03-12,POMELO ADET,199.00
2026-03-12,Karpuz Kg,149.90
2026-03-12,Muz Yerli Kg,89.90
2026-03-12,Greyfurt Kg,74.90
2026-03-12,Armut Deveci Kg,149.90
2026-03-12,Mandalina Kg,69.90
2026-03-12,Mango Adet,120.00
2026-03-12,Ananas Adet,179.90
2026-03-12,Elma Gransimit Kg,149.90
2026-03-12,Portakal Dallı Kg,39.90
2026-03-12,Kivi Duble Kg,199.00
2026-03-12,Armut Santa Kg,149.00
2026-03-12,Elma Gala Kg,139.90
2026-03-12,Armut Doktor Kg,99.00
2026-03-12,Avokado Adet,99.00
2026-03-12,Hindistan Cevizi Adet,149.90
2026-03-12,MNV LİKAPA PAKET,229.00
2026-03-12,Dana Kıyma Kg,850.00
2026-03-12,Dana Kemikli Et Kg,750.00
2026-03-12,Dana Tranç Kg,900.00
2026-03-12,Dana Parça Et Kg,870.00
2026-03-12,Dana Kuşbaşı Kg,900.00
2026-03-12,Kuzu Kuşbaşı Kg,980.00
2026-03-12,Dana Antrikot Kg,980.00
2026-03-12,Dana Sote Kg,950.00
2026-03-12,Dana Yağsız Kıyma kg,950.00
2026-03-12,Dana Yağsız Kuşbaşı Kg,950.00
2026-03-12,Dana Ciğer Kg,690.00
2026-03-12,Kuzu Kaburga Kg,860.00
2026-03-12,Kuzu But Kg,860.00
2026-03-12,Dana Bonfile Kg,1400.00
2026-03-12,Banvit Bonfile Göğüs Kg,210.00
2026-03-12,Banvit Izgara Tava Kg,275.00
2026-03-12,Banvit Baget Kg,119.00
2026-03-12,Gedik Tavuk Baget Kg,119.00
2026-03-12,Banvit Izgara Kanat Kg,210.00
2026-03-12,Gedik Tavuk Kanat Kg,250.00
2026-03-12,Gedik Tavuk Izgara Tava Kg,240.00
2026-03-12,Faden Derisiz Fleto Kg,185.00
2026-03-12,FADEN Tab.Izgara Kanat,260.00
2026-03-12,Faden Tab.Pirzola,180.00
2026-03-12,Torku Tam Yağlı Süt 1 lt,69.90
2026-03-12,İçim Yarım Yağlı Süt 1 lt,49.50
2026-03-12,İçim Süt Tetra 1 lt,59.50
2026-03-12,Sütaş Süzme Peynir 500 gr,135.00
2026-03-12,Ayca Az Yağlı Beyaz Peynir 800 gr,119.00
2026-03-12,YUMURTA Ümit 30 lu Sarı,185.00
2026-03-12,Ülker Çokokrem 400 gr,99.50
2026-03-12,Sütaş Yarım Yağlı Süt 1lt,48.50
2026-03-12,YUMURTA Köy Kaçkar 15 li,110.00
2026-03-12,Kolot Peyniri Tam Yağlı kg,229.00285.00
2026-03-12,Sütaş Kaymaksız Yoğurt 1 kg,77.50
2026-03-12,Yumurta Kopuz 30 lu Beyaz,175.00
2026-03-12,Kebir Bidon Köy Tipi Yoğurt 1 kg,81.00
2026-03-12,Sütaş Süzme Peynir 250 gr,70.00
2026-03-12,Sütaş Kaymaksız Yoğurt 2 kg,135.00
2026-03-12,Pınar Yarım Yağlı Yoğurt 2000 gr,149.00
2026-03-12,Üçel Kakaolu Helva 830 Gr,239.00
2026-03-12,Kebir Köy Tipi Yoğurt 2 kg,147.00
2026-03-12,Bizim Paket Margarin 250 gr,44.50
2026-03-12,YUMURTA Ümit 15 li Sarı L,95.00
2026-03-12,Marmarabirlik Mega Siyah Zeytin Teneke 800 gr,310.00
2026-03-12,Kaanlar Beyaz Peynir Trakya 800 gr,245.00
2026-03-12,Marmarabirlik Az Tuzlu Zeytin Teneke 800 gr,199.00
2026-03-12,Pınar Krem Peynir 300 GR,109.00
2026-03-12,Pınar Süt 200 ml Y.Yağlı,18.00
2026-03-12,Rizze Dil Peyniri 750 Gr,310.00
2026-03-12,Nestle Nesfit Ballı Badem 400 gr,170.00
2026-03-12,Sütaş Süzme Peynir 900 gr,189.00222.50
