kategori,product_name,product_price
"Meyve, Sebze",Domates Kg,"49,90"
"Meyve, Sebze",Salatalık Kg,"39,90"
"Meyve, Sebze",Soğan Kg,"39,90"
"Meyve, Sebze",Soğan Kırmızı Kg,"89,90"
"Meyve, Sebze",Patates Kg,"39,90"
"Meyve, Sebze",Patlıcan Kg,"54,90"
"Meyve, Sebze",Biber Çarliston Kg,"79,90"
"Meyve, Sebze",Biber Köy Kg,"79,90"
"Meyve, Sebze",Biber Kapya Kg,"79,90"
"Meyve, Sebze",Biber Dolmalık Kg,"79,90"
"Meyve, Sebze",Fasulye Sarıkız Kg,"79,90"
"Meyve, Sebze",Karpuz Kg,"12,90"
"Meyve, Sebze",Karpuz Siyah Çekirdeksiz Kg,"39,90"
"Meyve, Sebze",Kavun Kırkağaç Kg,"19,90"
"Meyve, Sebze",Domates Salkım Kg,"99,90"
"Meyve, Sebze",Biber Acı Kg,"79,90"
"Meyve, Sebze",Kavun Siyah Kg,"39,90"
"Meyve, Sebze",Kabak Kg,"79,90"
"Meyve, Sebze",Salatalık Yerli Kg,"94,90"
"Meyve, Sebze",Havuç Kg,"54,90"
"Meyve, Sebze",Şeftali Kg,"99,90"
"Meyve, Sebze",Lahana Top Kg,"54,90"
"Meyve, Sebze",Nektari Kg,"89,90"
"Meyve, Sebze",Limon Adet,"13,90"
"Meyve, Sebze",Domates Çeri Kg,"94,90"
"Meyve, Sebze",Lahana Kırmızı Kg,"64,90"
"Meyve, Sebze",Muz İthal Kg,"149,90"
"Meyve, Sebze",Erik Güz Kg,"59,90"
"Meyve, Sebze",Elma Starking Kg,"149,90"
"Meyve, Sebze",Elma Golden Kg,"139,90"
"Meyve, Sebze",Elma Gransimit Kg,"169,90"
"Meyve, Sebze",Ejder Meyvesi Adet,"120,00"
"Meyve, Sebze",Pembe Domates Kg,"99,90"
"Meyve, Sebze",Üzüm Siyah Kg,"119,90"
"Meyve, Sebze",Üzüm Çekirdeksiz,"49,90"
"Meyve, Sebze",Armut Santa Kg,"139,90"
"Meyve, Sebze",Soğan Sıska Paket,"79,90"
"Meyve, Sebze",Ananas Adet,"179,90"
"Meyve, Sebze",Portakal Kg,"89,90"
"Meyve, Sebze",Kivi Duble Kg,"329,90"
"Meyve, Sebze",Sarımsak Kg,"219,90"
"Meyve, Sebze",Maydanoz Adet,"23,00"
"Meyve, Sebze",Avokado Adet,"120,00"
"Meyve, Sebze",Kıvırcık Adet,"49,90"
"Meyve, Sebze",Marul Göbek Adet,"65,00"
"Meyve, Sebze",Marul Adet,"55,00"
"Meyve, Sebze",MNV LİKAPA PAKET 250 GR,"179,90"
"Meyve, Sebze",Soğan Taze Demet,"39,00"
"Meyve, Sebze",MNV KUZUKULAĞI,"32,00"
"Meyve, Sebze",Semiz Otu Bağ,"50,00"
"Meyve, Sebze",Roka Adet,"32,00"
"Meyve, Sebze",Karnabahar Kg,"114,90"
"Meyve, Sebze",Dere Otu Adet,"32,00"
"Meyve, Sebze",Nane Adet,"27,00"
"Meyve, Sebze",Patates Çuval (10 Kg),"389,90"
"Meyve, Sebze",Soğan Çuval (9 Kg),"349,90"
"Meyve, Sebze",Aymantar 300 Gr Paket,"79,00"
"Et, Tavuk",Dana Kıyma Kg,"880,00"
"Et, Tavuk",Dana Kemikli Et Kg,"750,00"
"Et, Tavuk",Kalemar Köfte Kg,"750,00"
"Et, Tavuk",Dana Tranç Kg,"930,00"
"Et, Tavuk",Dana Parça Et Kg,"890,00"
"Et, Tavuk",Dana Kuşbaşı Kg,"900,00"
"Et, Tavuk",Kuzu Kuşbaşı Kg,"980,00"
"Et, Tavuk",Dana Antrikot Kg,"1,050"
"Et, Tavuk",Dana Sote Kg,"950,00"
"Et, Tavuk",Dana Yağsız Kıyma kg,"950,00"
"Et, Tavuk",Dana Yağsız Kuşbaşı Kg,"950,00"
"Et, Tavuk",Dana Ciğer Kg,"690,00"
"Et, Tavuk",Kuzu Kaburga Kg,"860,00"
"Et, Tavuk",Kuzu But Kg,"890,00"
"Et, Tavuk",Banvit Bonfile Göğüs Kg,"220,00"
"Et, Tavuk",Banvit Izgara Tava Kg,"360,00"
"Et, Tavuk",Kuzu Pirzola Kg,"1,100"
"Et, Tavuk",Banvit Baget Kg,"99,00"
"Et, Tavuk",Banvit Tavuk Pirzola Kg,"190,00"
"Et, Tavuk",Banvit Izgara Kanat Kg,"399,00"
"Et, Tavuk",Erpiliç Sarma Kg,"210,00"
"Et, Tavuk",Erpiliç Izgara Kanat,"420,00"
"Et, Tavuk",Derya Piliç Fleto Kg,"220,00"
"Et, Tavuk",Erpiliç Pirzola,"295,00"
"Et, Tavuk",Erpiliç Bütün Piliç,"145,00"
"Et, Tavuk",Kuzu Köfte kg,"850,00"
