Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,Genel_Electronics_Daily_Inflation,Genel_Electronics_Weekly_Inflation
2026-05-11,,,,,,
2026-05-13,0.0022806717081429386,0.0022806717081429386,,,0.0022806717081429386,
2026-05-14,0.0,0.0,,,0.0,
2026-05-16,-0.003036829440710169,-0.003036829440710169,-0.0019876753051011184,-0.0019876753051011184,-0.003036829440710169,-0.0019876753051011184
2026-05-17,-0.00014365110954809516,-0.00014365110954809516,-0.0027777840012571677,-0.0027777840012571677,-0.00014365110954809516,-0.0027777840012571677
2026-05-18,0.003414371844737929,0.003414371844737929,-0.000668733812632099,-0.000668733812632099,0.003414371844737929,-0.000668733812632099
2026-05-19,0.0,0.0,-0.000668733812632099,-0.000668733812632099,0.0,-0.000668733812632099
2026-05-21,-0.0009425098707656054,-0.0009425098707656054,-0.003961185662669378,-0.003961185662669378,-0.0009425098707656054,-0.003961185662669378
2026-05-22,-0.002551689898026203,-0.002551689898026203,-0.004678954253536293,-0.004678954253536293,-0.002551689898026203,-0.004678954253536293
2026-05-23,-0.003859418666132544,-0.003859418666132544,-0.006344989712496522,-0.006344989712496522,-0.003859418666132544,-0.006344989712496522
2026-05-24,0.0009561592546923858,0.0009561592546923858,-0.004464347492457152,-0.004464347492457152,0.0009561592546923858,-0.004464347492457152
