date,category,product,unit,monthly_qty,avg_unit_price_TRY,monthly_cost_TRY,n_matched,matched_products
Mar-01 2026,Oils,Olive Oil,Liter,1.0,405.11,405.11,25,Komili Riviera Zeytinyağı Teneke 5 lt; Marmarabirlik Riviera Zeytinyağı Cam 1 lt; Tariş Sızma Zeytinyağı Teneke 1 lt; Tariş Riviera Zeytinyağı 500 ml; Tariş Riviera Zeytinyağı 250 ml; Tariş Guney Ege Sızma Zeytinyağı 750 ml; Marmarabirlik Sızma Zeytinyağı Cam 500 ml; Marmarabirlik Riviera Zeytinyağı Cam 500 ml; Marmarabirlik Sızma Zeytinyağı 5 lt; Tariş Güney Ege Sızma Zeytinyağı Teneke 5 lt; Tariş Sızma Kuzey Ege Zeytinyağı Teneke 5 lt; Tariş Sızma Zeytinyağı Teneke 2 lt; Tariş Riviera Zeytinyağı Teneke 1 lt; Tariş Riviera Zeytinyağı Teneke 5 lt; Tariş Riviera Zeytinyağı Teneke 2 lt; Komili Riviera Zeytinyağı 1 lt; Komili Riviera Zeytinyağı 2 lt; Komili Sızma Zeytinyağı 1 lt; Komili Sızma Zeytinyağı 2 lt; Marmarabirlik Riviera Zeytinyağı 5 lt; Tariş 1915 Natürel Sızma Zeytinyağı 5 lt; Tariş Sızma Kuzey Ege Zeytinyağı 750 ml; Tariş Riviera Zeytinyağı 750 ml; Komili Sızma Zeytinyağı 500 ml; Komili Riviera Zeytinyağı 250 ml
Mar-30 2026,Dairy Products,Yogurt,Kg,59.7,141.52,8448.74,23,"Sütaş Kaymaksız Yoğurt 1 kg; Kebir Bidon Köy Tipi Yoğurt 1 kg; Sütaş Kaymaksız Yoğurt 2 kg; Pınar Yarım Yağlı Yoğurt 2000 gr; Kebir Köy Tipi Yoğurt 2 kg; Sütaş Kaymaksız Yoğurt 1,5 kg; İçim Yoğurt 2 kg; İçim Doğal Yoğurt 500 gr; Kebir Köy Tipi Yoğurt 2,5 kg; Yeşil Mavi Bidon Yoğurt 1 Kg; Sütaş Yoğurt Kaymaksız 3 Kg; Kebir Köy Tipi Yoğurt 5 kg; İçim Yarım Yağlı Yoğurt 3 kg; Bayram Yoğurt 2,5 kg; Kebir Yağlı Yoğurt 4 kg; Yeşil Mavi Yoğurt Bidon 2,5 kg; Yeşil Mavi Kova Yoğurt 2 kg; Mevlana Bey Çiftliği Yarım Yağlı Yoğurt 2,5 K…; YEŞİL MAVİ YOĞURT 1.000GR KOVA; Kebir Kova Yoğurt 1,750 Gr; Sütaş Kaymaksız Yoğurt 500 gr; SÜTAŞ SUZME YOĞURT 750GR; TORKU Y.YOĞURT 2.000 GR; Eker Yoğurt 2 Kg Kova; Pınar Yoğurt 500 Gr; Eker Efsane Yoğurt 750 Gr"
Mar-30 2026,Dairy Products,White Cheese,Kg,5.3,378.18,2004.35,39,Ayca Az Yağlı Beyaz Peynir 800 gr; Kaanlar Beyaz Peynir Trakya 800 gr; Torku Tam Yağlı Beyaz Peynir 900 gr; İçim Beyaz Peynir 900 gr; Ekici Tam Yağlı Beyaz Peynir 500 gr; Beyaz Peynir Naturel Ekici; Beyaz Peynir Ezine Habir Kg; Sütaş Beyaz Peynir 900 gr; Beyaz Peynir Naturel Gündoğdu Ezine kg; Sütaş Beyaz Peynir500 gr; Beyaz Peynir Ekici Tam Yağlı Kg; Ekici Tam Yağlı Beyaz Peynir 800 gr; Beyaz Peynir Ova Tam Yağlı Kg; İçim Beyaz Peynir 500 gr; Ova Beyaz Peynir Teneke 1 kg; Beyaz Peynir Naturel Edirne Yardımcı kg; Kebir Beyaz Peynir 800 gr; Burgu/Topi/Halka Beyaz Peynir Kg; Kebir Beyaz Peynir 500 gr; Sütaş Beyaz Peynir 250 gr; Cebeci Tam Yağlı Beyaz Peynir 900 gr; Muratbey Sürmeli Beyaz Peynir 700 gr; TekSüt Yumuşak Tam Yağlı Beyaz Peynir 750 gr; Pınar Kahvaltı Keyfi Beyaz Peynir 800 gr; Beyaz Peynir Habir Keçi İnek Peyniri Kg; OVA BEYAZ PEYNIR 700 GR PLS; Torku Tam Yağlı Beyaz Peynir 500 gr; Sütaş Light Beyaz Peynir 500 gr; Pınar Tam Yağlı Beyaz Peynir 180 gr; Ekici Klasik Beyaz Peynir 450 Gr; Kaanlar Beyaz Peynir Kahvaltılık 1 Kg Pt; Ova Beyaz Peynir 400 Gr; Pınar Taze Beyaz Peynir 180 Gr; Beyaz Peynir Van Kg; Beyaz Peynir Gezici Mega Köy Peyniri Kg; Kaanlar Çiftlik Beyaz Peynir 800 Gr; Eker Klasik Beyaz Peynir 500 Gr; Sütaş Klasik Beyaz Peynir 500 Gr; TekSüt Tam Yağlı Beyaz Peynir 900 Gr
Mar-30 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,3.3,943.33,3112.99,3,Dana Kuşbaşı Kg; Kuzu Kuşbaşı Kg; Dana Yağsız Kuşbaşı Kg
Mar-30 2026,Meat and Protein,Chicken,Kg,7.0,211.5,1480.5,8,Banvit Bonfile Göğüs Kg; Banvit Izgara Tava Kg; Banvit Baget Kg; Gedik Tavuk Baget Kg; Gedik Tavuk Fleto Kg; Gedik Tavuk Ciğer-Yürek Kg; Gedik Tavuk Pirzola Kg; Erpiliç But Izgara Kg
Mar-30 2026,Meat and Protein,Fish,Kg,5.1,,,0,N/A
Mar-30 2026,Meat and Protein,Eggs,Piece,60.0,7.48,448.8,11,YUMURTA Ümit 30 lu Sarı; YUMURTA Köy Kaçkar 15 li; Yumurta Kopuz 30 lu Beyaz; YUMURTA Ümit 15 li Sarı L; YUMURTA Özkan 15 li; YUMURTA KÖY ÖZKAN (GUNLUK) 10LU KOLI; YUMURTA Yeşilküre Organik 10 lu; YUMURTA Köy (Günlük) Adet; Yumurta Kopuz 15 Li Beyaz; Yumurta Ümit Gezen Tavuk 15 Adet; Yumurta Özkan Gezen Tavuk Yumurtası 20 li
Mar-30 2026,Legumes,Chickpeas,Kg,5.6,151.67,849.35,3,Duru Bakliyat Koçbaşı Nohut 1 kg; Kale Bakliyat Nohut Kg; Sadıkoğlu Nohut (Kabak) 1 kg
Mar-30 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,947.5,2558.25,2,Ceviz İçi Kg; Fındık İçi Kg
Mar-30 2026,Grains,Bread,Kg,18.0,137.27,2470.86,4,Kale Ekmek 240 gr; Kale Çavdar Ekmek; Kale Tam Buğday Ekmek 270 gr; Kale Kepek Ekmek; Kale Baget Ekmek; Uno Fırından Tam Buğdaylı Ekmek 450 gr; Uno Fırından Tam Çavdarlı Ekmek 450 gr; Kale Tam Buğday Ekmek
Mar-30 2026,Fruits,Banana,Kg,16.7,119.9,2002.33,2,Muz İthal Kg; Muz Yerli Kg
Mar-30 2026,Fruits,Seasonal Fruit,Kg,12.9,146.42,1888.82,6,Çilek Kg; Ayva Kg; Karpuz Kg; Greyfurt Kg; Armut Deveci Kg; Armut Santa Kg
