Product Name,Product Cost,Product Original Cost,Currency,Product ID,Variation ID,Brand,In Stock,Campaign Label,Top Category,Category,Subcategory,Category Path,Source Category,Source Category URL,Product URL,Image URL
Kral Şakir İlk Okuma 27 Çocuk Rozeti,230.0,230.0,TRY,113516,,Eksik Parça Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kral-sakir-ilk-okuma-27-cocuk-rozeti,https://www.nezih.com.tr/kral-sakir-ilk-okuma-27-cocuk-rozeti-138752-11-O.jpg
Kral Şakir İlk Okuma 28 Dünyayı Değiştirecek Robotlar,230.0,230.0,TRY,113517,,Eksik Parça Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kral-sakir-ilk-okuma-28-dunyayi-degistirecek-robotlar,https://www.nezih.com.tr/kral-sakir-ilk-okuma-28-dunyayi-degistirecek-robotlar-138753-11-O.jpg
Kral Şakir İlk Okuma 29 Yıldızlı Uçaklar,230.0,230.0,TRY,113518,,Eksik Parça Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kral-sakir-ilk-okuma-29-yildizli-ucaklar,https://www.nezih.com.tr/kral-sakir-ilk-okuma-29-yildizli-ucaklar-138754-11-O.jpg
Kulağakaçan Mercan Olmanın Tartışılmaz Önemi,112.0,112.0,TRY,116262,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kulagakacan-mercan-olmanin-tartisilmaz-onemi,https://www.nezih.com.tr/kulagakacan-mercan-olmanin-tartisilmaz-onemi-142931-11-O.jpg
Kurbağa Sanço ve Neşeli Orkestrası,86.0,86.0,TRY,133279,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kurbaga-sanco-ve-neseli-orkestrasi,https://www.nezih.com.tr/kurbaga-sanco-ve-neseli-orkestrasi-212183-13-O.jpg
Kurbağalar Sıcak Çikolata İçer Mi?,92.0,92.0,TRY,92150,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kurbagalar-sicak-cikolata-icer-mi,https://www.nezih.com.tr/kurbagalar-sicak-cikolata-icer-mi-176009-92-O.jpg
Kurtarma Araçları,84.0,84.0,TRY,92261,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kurtarma-araclari,https://www.nezih.com.tr/kurtarma-araclari-176455-92-O.jpg
Kutup Ayısı Nerede?,140.0,140.0,TRY,95303,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kutup-ayisi-nerede,https://www.nezih.com.tr/kutup-ayisi-nerede-178887-95-O.jpg
Kuyruğum Yorulmadı Daha!,140.0,140.0,TRY,100703,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kuyrugum-yorulmadi-daha,https://www.nezih.com.tr/kuyrugum-yorulmadi-daha-182399-10-O.jpg
Külkedisi - Bir Varmış Bir Yokmuş,72.0,72.0,TRY,133463,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kulkedisi-bir-varmis-bir-yokmus,https://www.nezih.com.tr/kulkedisi-bir-varmis-bir-yokmus-212383-13-O.jpg
Küçük Arı,110.0,110.0,TRY,133349,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-ari,https://www.nezih.com.tr/kucuk-ari-212254-13-O.jpg
Küçük Ayçiçeği,110.0,110.0,TRY,92333,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-aycicegi,https://www.nezih.com.tr/kucuk-aycicegi-176650-92-O.jpg
Küçük Ayı,110.0,110.0,TRY,133267,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-ayi-133267,https://www.nezih.com.tr/kucuk-ayi-133267-212171-13-O.jpg
Küçük Ayının Büyük Macerası,106.0,106.0,TRY,100704,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-ayinin-buyuk-macerasi,https://www.nezih.com.tr/kucuk-ayinin-buyuk-macerasi-182400-10-O.jpg
Küçük Bal Kabağı,110.0,110.0,TRY,133355,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-bal-kabagi,https://www.nezih.com.tr/kucuk-bal-kabagi-212260-13-O.jpg
Küçük Bay ve Bayanlar Yağmurda Eğleniyor,190.0,190.0,TRY,124560,,Doğan Egmont,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-bay-ve-bayanlar-yagmurda-egleniyor,https://www.nezih.com.tr/kucuk-bay-ve-bayanlar-yagmurda-egleniyor-194988-12-O.jpg
Küçük Bayan Aceleci,190.0,190.0,TRY,102036,,Doğan Egmont,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-bayan-aceleci,https://www.nezih.com.tr/kucuk-bayan-aceleci-184644-10-O.jpg
