date,avg_hunger_threshold_TRY,median_hunger_threshold_TRY,n_na
Feb 2026,41988.7,36168.38,2
Mar 2026,45787.55,39452.07,2
Apr 2026,42979.43,37742.2,1
May 2026,39608.93,34399.3,3
