product_name,price,product_id,brand,category,color,regular_price,discount_pct,currency
Nefes Alabilir ve Hızlı Kuruyan Teknik Kumaşlı Uzun Kollu Bolero,1090.0,228309048,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1090.0,0.0,TRY
Elastik belli teknik mini şort etek,1790.0,227962151,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1790.0,0.0,TRY
Uzun kollu reglan baskılı tişört,1090.0,227962158,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1090.0,0.0,TRY
Teknik kumaşlı fermuarlı ceket Nefes Alabilir & Hızlı Kuruyan,1890.0,228309055,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1890.0,0.0,TRY
Nefes Alabilen & Hızlı Kuruyan Teknik Kısa Kollu Tişört,1090.0,228309042,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1090.0,0.0,TRY
Nefes Alabilir & Hızlı Kuruyan teknik kumaşlı flare fit pantolon,1790.0,227962156,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1790.0,0.0,TRY
Yan şeritli teknik pantolon,1990.0,240127571,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1990.0,0.0,TRY
2'li spor çorap paketi,650.0,229466058,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,650.0,0.0,TRY
2'li kaymaz saç bandı,850.0,228202941,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,850.0,0.0,TRY
Yan şeritli teknik pantolon,1990.0,227954364,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1990.0,0.0,TRY
Kontrast teknik kumaştan askılı top Nefes Alabilir & Hızlı Kuruyan,1090.0,228309036,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1090.0,0.0,TRY
Grafik baskılı jogger fit eşofman altı,1990.0,228309060,Bershka,KADıN > BERSHKA ACTıVE,Kırçıllı gri,1990.0,0.0,TRY
Teknik kumaş Nefes Alabilir & Hızlı Kuruyan Şort,1190.0,227962160,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1190.0,0.0,TRY
Nefes alabilir & Hızlı kuruyan teknik kumaşlı askılı tişört,1190.0,228309026,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1190.0,0.0,TRY
Nefes alabilen & hızlı kuruyan teknik uzun kollu tişört,1190.0,228309030,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1190.0,0.0,TRY
Su ve rüzgâr geçirmez kapüşonlu naylon ceket,2990.0,226931764,Bershka,KADıN > BERSHKA ACTıVE,Füme,2990.0,0.0,TRY
Oversize baskılı kapüşonlu fermuarlı sweatshirt,2490.0,230141747,Bershka,KADıN > BERSHKA ACTıVE,Kırçıllı gri,2490.0,0.0,TRY
Kontrast kapüşonlu teknik ceket,2990.0,226931712,Bershka,KADıN > BERSHKA ACTıVE,Gri,2990.0,0.0,TRY
Nefes alabilen ve Hızlı Kuruyan teknik kumaşlı kısa kollu tişört,1090.0,240127637,Bershka,KADıN > BERSHKA ACTıVE,Füme,1090.0,0.0,TRY
"Teknik kumaşlı, nefes alabilen & hızlı kuruyan tayt",1290.0,227962166,Bershka,KADıN > BERSHKA ACTıVE,Füme,1290.0,0.0,TRY
Nefes alabilir & Hızlı kuruyan teknik kumaş şort,1190.0,227962159,Bershka,KADıN > BERSHKA ACTıVE,Füme,1190.0,0.0,TRY
TEKNİK SPOR AYAKKABI,3690.0,226931568,Bershka,KADıN > BERSHKA ACTıVE,Çok renkli,3690.0,0.0,TRY
Kontrast şerit detaylı fermuarlı ceket,1990.0,226927358,Bershka,KADıN > BERSHKA ACTıVE,Gri,1990.0,0.0,TRY
Teknik kumaşlı fermuarlı ceket Nefes Alabilir & Hızlı Kuruyan,1890.0,228309054,Bershka,KADıN > BERSHKA ACTıVE,Füme,1890.0,0.0,TRY
Nefes Alabilen & Hızlı Kuruyan teknik kumaşlı kısa kollu tişört,1090.0,228309041,Bershka,KADıN > BERSHKA ACTıVE,Füme,1090.0,0.0,TRY
Nefes Alabilir ve Hızlı Kuruyan teknik kumaşlı flare fit pantolon,1790.0,227962155,Bershka,KADıN > BERSHKA ACTıVE,Füme,1790.0,0.0,TRY
Nefes Alabilen & Hızlı Kuruyan teknik kumaş uzun kollu tişört,1190.0,228309029,Bershka,KADıN > BERSHKA ACTıVE,Füme,1190.0,0.0,TRY
Kontrast kapüşonlu teknik ceket,2990.0,240128081,Bershka,KADıN > BERSHKA ACTıVE,Gri,2990.0,0.0,TRY
Nefes Alabilir & Hızlı Kuruyan teknik kumaş kısa kollu tişört,1090.0,228309043,Bershka,KADıN > BERSHKA ACTıVE,Yulaf,1090.0,0.0,TRY
Uzun kollu teknik kumaş bolero Nefes Alabilir & Hızlı Kuruyan,1090.0,228309047,Bershka,KADıN > BERSHKA ACTıVE,Yulaf,1090.0,0.0,TRY
"Teknik kumaşlı, nefes alabilen & hızlı kuruyan askılı tişört",1190.0,228309027,Bershka,KADıN > BERSHKA ACTıVE,Yulaf,1190.0,0.0,TRY
Kontrast şeritli fermuarlı ceket,1990.0,240128083,Bershka,KADıN > BERSHKA ACTıVE,Gri,1990.0,0.0,TRY
2'li spor çorap paketi,650.0,229465984,Bershka,KADıN > BERSHKA ACTıVE,Yulaf,650.0,0.0,TRY
Çok parçalı spor ayakkabı,2990.0,226927209,Bershka,KADıN > BERSHKA ACTıVE,Çok renkli,2990.0,0.0,TRY
Kontrast detaylı teknik kumaşlı top Nefes Alabilir & Hızlı Kuruyan,1090.0,228309037,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1090.0,0.0,TRY
Teknik kareli şapka,850.0,227531256,Bershka,KADıN > BERSHKA ACTıVE,Füme,850.0,0.0,TRY
Teknik kumaş tayt pantolon,1590.0,227962134,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1590.0,0.0,TRY
Nefes alabilir & Hızlı kuruyan teknik kumaş şort,1190.0,240127690,Bershka,KADıN > BERSHKA ACTıVE,Füme,1190.0,0.0,TRY
Nefes alabilen ve Hızlı Kuruyan teknik kumaşlı kısa kollu tişört,1090.0,240127581,Bershka,KADıN > BERSHKA ACTıVE,Yulaf,1090.0,0.0,TRY
Teknik kumaş askılı tişört Nefes alabilen & Hızlı kuruyan,1190.0,240128084,Bershka,KADıN > BERSHKA ACTıVE,Yulaf,1190.0,0.0,TRY
"Uzun kollu, nefes alabilir ve hızlı kuruyan teknik kumaşlı bolero",1090.0,240128085,Bershka,KADıN > BERSHKA ACTıVE,Yulaf,1090.0,0.0,TRY
Yan şeritli teknik pantolon,1990.0,240127582,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,1990.0,0.0,TRY
Teknik kumaş askılı tişört Nefes alabilen & Hızlı kuruyan,1190.0,228309028,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1190.0,0.0,TRY
Teknik kumaşlı nefes alabilir ve hızlı kuruyan fermuarlı ceket,1890.0,228309056,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1890.0,0.0,TRY
Nefes Alabilir ve Hızlı Kuruyan teknik kumaşlı flare fit pantolon,1790.0,240128086,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1790.0,0.0,TRY
Kontrast detaylı teknik kumaş askılı top Nefes Alabilir & Hızlı Kuruyan,1090.0,238451452,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1090.0,0.0,TRY
Nefes alabilir & hızlı kuruyan teknik uzun kollu tişört,1190.0,228309031,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1190.0,0.0,TRY
Nefes alabilir & Hızlı kuruyan teknik kumaş şort,1190.0,227962161,Bershka,KADıN > BERSHKA ACTıVE,Siyah,1190.0,0.0,TRY
Kontrast biye ve büzgü detaylı ceket,2690.0,226927314,Bershka,KADıN > BERSHKA ACTıVE,Kırmızı,2690.0,0.0,TRY
