YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W10,15463.51,,0.0
2026-W11,15336.52,-0.82,-0.49
2026-W12,15240.42,-0.63,0.07
2026-W13,15252.7,0.08,0.23
2026-W14,15217.44,-0.23,0.21
2026-W15,15464.86,1.63,1.06
2026-W16,15521.27,0.36,1.04
2026-W17,15876.99,2.29,1.83
2026-W18,16058.74,1.14,0.73
2026-W19,15902.07,-0.98,-0.41
2026-W20,15770.58,-0.83,-0.31
2026-W21,15715.77,-0.35,0.18
2026-W22,15884.3,1.07,1.24
