Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-07,15450.96,,0.0
2026-03-08,15481.65,0.2,0.17
2026-03-09,15438.3,-0.28,-0.11
2026-03-11,15519.0,0.52,0.75
2026-03-12,15488.69,-0.2,-0.63
2026-03-13,14815.19,-4.35,-3.25
2026-03-14,15423.12,4.1,2.95
2026-03-15,15268.43,-1.0,-0.45
2026-03-16,15291.47,0.15,0.63
2026-03-17,15172.6,-0.78,-0.71
2026-03-18,15135.64,-0.24,0.42
2026-03-19,15191.28,0.37,0.01
2026-03-20,15295.92,0.69,0.41
2026-03-21,15272.15,-0.16,-0.24
2026-03-22,15332.9,0.4,0.1
2026-03-23,15203.37,-0.84,-0.66
2026-03-24,15187.98,-0.1,0.26
2026-03-25,15212.04,0.16,0.38
2026-03-26,15288.68,0.5,0.41
2026-03-27,15232.27,-0.37,-0.12
2026-03-28,15290.69,0.38,0.07
2026-03-29,15346.09,0.36,0.13
2026-03-30,15090.63,-1.66,-0.54
2026-04-01,15173.34,0.55,0.45
2026-04-02,15161.11,-0.08,-0.2
2026-04-03,15232.66,0.47,0.18
2026-04-05,15429.49,1.29,1.1
2026-04-06,15472.77,0.28,-0.29
2026-04-07,15475.73,0.02,0.36
2026-04-08,15477.22,0.01,0.06
2026-04-09,15511.11,0.22,0.15
2026-04-10,15502.59,-0.05,0.21
2026-04-11,15456.87,-0.29,-0.1
2026-04-12,15358.17,-0.64,-0.25
2026-04-13,15479.08,0.79,0.61
2026-04-14,15528.56,0.32,0.41
2026-04-15,15477.14,-0.33,-0.28
2026-04-16,15561.29,0.54,0.58
2026-04-17,15597.23,0.23,0.06
2026-04-18,15547.62,-0.32,-0.11
2026-04-19,15455.81,-0.59,-0.16
2026-04-20,15525.45,0.45,0.27
2026-04-21,15671.32,0.94,0.33
2026-04-22,15739.55,0.44,0.63
2026-04-23,15770.94,0.2,0.12
2026-04-24,16132.19,2.29,1.34
2026-04-25,16161.54,0.18,0.25
2026-04-26,16139.44,-0.14,0.07
2026-04-27,16061.78,-0.48,-0.48
2026-04-28,16178.44,0.73,0.5
2026-04-29,16081.19,-0.6,-0.39
2026-04-30,16047.38,-0.21,-0.17
2026-05-01,16064.7,0.11,0.19
2026-05-02,15966.77,-0.61,-0.18
2026-05-03,16015.71,0.31,0.65
2026-05-04,15941.25,-0.46,-0.38
2026-05-05,15852.16,-0.56,-0.36
2026-05-06,15924.95,0.46,-0.04
2026-05-07,15874.78,-0.31,-0.28
2026-05-08,15856.44,-0.12,-0.1
2026-05-09,15893.94,0.24,0.55
2026-05-10,15972.92,0.5,-0.12
2026-05-11,15917.03,-0.35,0.02
2026-05-12,15824.09,-0.58,-0.27
2026-05-13,15750.53,-0.46,-0.44
2026-05-16,15683.58,-0.43,0.26
2026-05-17,15682.34,-0.01,-0.08
2026-05-18,15664.22,-0.12,-0.04
2026-05-19,15731.75,0.43,0.13
2026-05-20,15685.54,-0.29,0.2
2026-05-21,15663.18,-0.14,-0.07
2026-05-22,15763.83,0.64,0.2
2026-05-23,15751.23,-0.08,0.47
2026-05-24,15749.17,-0.01,-0.4
2026-05-25,15687.96,-0.39,-0.28
2026-05-26,16081.45,2.51,2.76
