Category,Subcategory,Name,Brand,SKU,Price,RegularPrice,DiscountRate,UnitPrice,Status,Date
Temel Gıda,Mısır,De&Co Mısır Koçanı 425 G,De&Co,09040008,111.95,111.95,0,"(263,41 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Tat Acı Biber Salçası 550 G ( Cam ),Tat,09011009,109.95,109.95,0,"(199,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,Kemal Kükrer Organik Elma Sirkesi 500 Ml,Kemal Kükrer,06030067,244.95,244.95,0,"(489,90 TL/Litre)",IN_SALE,2026-04-22
Temel Gıda,Özel Turşular,Talia Balkabağı Püresi (Şeker İlavesiz) 480 G,Talia,09100113,360.0,360.0,0,"(750,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Özel Turşular,Burcu Kimchi 200 G,Burcu,09101466,159.95,159.95,0,"(799,75 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Kullanıma Hazır Domatesler,Deli Chef Közlenmiş Domatesli Menemen Harcı 340 G,Deli Chef,09011352,89.95,89.95,0,"(264,55 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Haşlanmış Sebze,Yayla Haşlanmış Fasulye 700 G,Yayla,09112127,86.95,86.95,0,"(124,21 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Penguen Bezelye Konservesi 680 G,Penguen,09035452,76.95,76.95,0,"(113,16 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Kullanıma Hazır Domatesler,Deli Chef Kurutulmuş Domates 280 G,Deli Chef,09011334,109.95,109.95,0,"(392,67 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Kühne Salatalık Turşusu Alman Tipi 670 Cc,Kühne,16200209,199.95,199.95,0,"(298,43 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Kühne Türk Tipi Kornişon Turşu 670 G,Kühne,09035750,199.95,199.95,0,"(298,43 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Kühne Jalapeno Biber Turşusu Dilimli 650 G,Kühne,16200642,199.95,199.95,0,"(307,61 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,I'am A Plant Organik Hindistan Cevizi Sütü %17 400 Ml,I'am A Plant,09040006,280.95,280.95,0,"(702,37 TL/Litre)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Kühne Cüccü Kornişon Turşusu 340 G,Kühne,09035559,169.95,169.95,0,"(499,85 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Karışık,Kühne Türk Tipi Karışık Turşu 680 G,Kühne,09035526,179.95,179.95,0,"(264,63 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Garnitür,Tat Garnitür 550 G,Tat,09035510,83.95,83.95,0,"(152,63 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Domates,Tat Domates Salçası Cam 710 G,Tat,09010020,89.95,89.95,0,"(126,69 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Haşlanmış Sebze,Yayla Haşlanmış Suyu Süzülm.meksika Fasulyesi 150G,Yayla,09035902,74.95,74.95,0,"(499,66 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,Bubashcka Organik Domates Salçası 650 G,Bubashcka,09010087,425.0,425.0,0,"(653,84 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve,Ant Bahar Hindi Fileto Konserve 2*120 G,Ant Bahar,09024275,239.95,239.95,0,"(999,79 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Papa Carlo Salatalık & Domates Turşusu 650 G,Papa Carlo,16200046,189.95,189.95,0,"(292,23 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Talia Dilimlenmiş Muz Biber 300 G.,Talia,09100068,237.9,237.9,0,"(793,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Sera Acı Kulu Biber Turşusu 680 G,Sera,16200908,217.95,217.95,0,"(320,51 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Kühne Az Acılı Yeşil Biber Turşusu 340 G,Kühne,09030104,159.95,159.95,0,"(470,44 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Özel Turşular,Talia Gümüş Soğan 300 G,Talia,09100069,180.0,180.0,0,"(600,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Sera Misket Biber Turşusu 580 G,Sera,16200787,219.95,219.95,0,"(379,22 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Sera Makedon Biber Turşusu 600 G,Sera,16200939,224.95,224.95,0,"(374,91 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Tat Tatlı & Ekşi Kornişon Turşusu 350 G,Tat,16200041,149.95,149.95,0,"(428,42 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Tat Acı & Tatlı Kornişon Turşusu 350 G,Tat,16200040,149.95,149.95,0,"(428,42 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Sera Izgara Makedon Biber Turşusu 600 G,Sera,16200786,244.95,244.95,0,"(408,25 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Superfresh Meksika Fasulyeli Ton 150 G,Superfresh,09050249,139.95,139.95,0,"(933,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Kühne Ege Usulü Kornişon Turşu 670 Ml,Kühne,16200942,219.95,219.95,0,"(328,28 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Kühne Biberiye Turşusu 330 G,Kühne,09035594,149.95,149.95,0,"(461,38 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Fersan Kornişon Turşusu 670 G,Fersan,16200799,179.95,179.95,0,"(268,58 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Verdelicia Yağ İçerisinde Saplı Enginar Kalbi 410 G,Verdelicia,09030134,594.9,594.9,0,"(1450,97 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Superfresh Mısırlı Ton 150 G,Superfresh,09050252,139.95,139.95,0,"(933,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Karışık,Talia Giardinera (Karışık Turşu) 450 G,Talia,09100090,283.9,283.9,0,"(630,88 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Kühne Salatalık Turşusu Alman Tipi Barbekü 670Ml,Kühne,16200936,199.95,199.95,0,"(298,43 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Domates,Tamek Domates Salçası 830 G,Tamek,09010290,76.95,76.95,0,"(92,71 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Dardanel Fasulyeli Ton Aç-ye 160 G,Dardanel,09025361,186.95,186.95,0,"(1168,43 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Dardanel Ayçiçekyağlı Poşet Ton 80 G,Dardanel,09051012,169.95,169.95,0,"(2124,37 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Dardanel Füme Ton Poşet 80 G,Dardanel,09050108,169.95,169.95,0,"(2124,37 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Dardanel Jalapeno Acı Biberli Ton Poşet 80 G,Dardanel,09050266,169.95,169.95,0,"(2124,37 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Kühne Acı Biber Turşusu 325 Cc,Kühne,16200641,149.95,149.95,0,"(461,38 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Melis Salatalık Turşusu 350 Cc,Melis,16200230,102.95,102.95,0,"(294,14 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Özel Turşular,Melis Sarımsak Turşusu 180 Gr.,Melis,09035580,109.95,109.95,0,"(610,83 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Urla Çiftlik Enginar Tapenade 300 G,Urla Çiftlik,09035874,195.0,195.0,0,"(650,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,Ant Bahar Ketojenik Hindi Konserve 155 G,Ant Bahar,09024398,149.95,149.95,0,"(967,41 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Mısır,Heinz Mısır Konservesi 400 G,Heinz,09035621,172.95,172.95,0,"(432,37 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Mısır,Berrak Taneli Mısır 340 G,Berrak,09030090,61.95,61.95,0,"(182,20 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Öncü Biber Salçası Tatlı Cam 700 G,Öncü,09010049,144.95,144.95,0,"(207,07 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Domates,Tukaş Domates Salçası 700 Gr,Tukaş,09010279,87.95,87.95,0,"(125,64 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Harvest & More Beyaz Kuşkonmaz Konservesi 330 G,Harvest&More,09101442,224.95,224.95,0,"(681,66 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Haşlanmış Sebze,Yayla Haşlanmış Bezelye 700 G,Yayla,09112129,79.95,79.95,0,"(114,21 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,La Costena Tütsülenmiş Jalapeno Biberi 199 G,La Costena,09032324,260.0,260.0,0,"(1306,53 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Dardanel Basmati Pilavlı Ton Aç - Ye 160 G,Dardanel,09050255,186.95,186.95,0,"(1168,43 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Dardanel 4 Tahıllı Ton Aç-ye 160 G,Dardanel,09025366,186.95,186.95,0,"(1168,43 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Talia Pepperoncini Biber Turşusu 450 G,Talia,09100104,270.0,270.0,0,"(600,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,Kombucha 2200 Organik Sirke 500 Ml,Kombucha 2200,06030007,340.0,340.0,0,"(680,00 TL/Litre)",IN_SALE,2026-04-22
Temel Gıda,Ton,Superfresh Zeytinyağlı Ton Balığı 3X75 G,Superfresh,09024265,409.95,409.95,0,"(1822,00 TL/Kg)",IN_SALE,2026-04-22
