Weekly Inflation(%),Date
0.5593750221523427,3-17
0.6094881883628916,3-18
0.6094881883628916,3-19
0.5778934322309904,3-20
0.0765225104768019,3-21
0.07844412937320579,3-22
0.0765225104768019,3-23
0.07745836541323875,3-24
0.027342951344144408,3-25
0.02734519920268964,3-26
0.02734519920268964,3-27
0.07150176129460069,3-28
0.07150176129460069,3-29
0.07267660658803533,3-30
0.055829309901459616,3-31
0.22190999167075637,4-1
0.22190999167075637,4-2
0.3073703955707889,4-3
0.318150761391507,4-4
0.31731927094588097,4-5
0.31731927094588097,4-6
0.34825167475811547,4-7
0.5786414061806411,4-8
0.7389787338421712,4-9
0.8082631815412386,4-10
0.8082631815412386,4-10
0.8244451140154647,4-11
0.8252766728346164,4-12
0.8252766728346164,4-13
