Product Title,Daily Inflation(%)
%100 KETEN GÖMLEK,0.0
%100 PAMUK %100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL JEAN PANTOLON,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL KESİK UÇ PAÇA UZUN JEAN PANTOLON,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,0.0
%100 PAMUK 90'S WİDE LEG YÜKSEK BEL JEAN PANTOLON,0.0
%100 PAMUK ASİMETRİK KARELİ FLANEL ETEK,0.0
%100 PAMUK ATLET,0.0
%100 PAMUK AĞIR KUMAŞ TİŞÖRT,0.0
%100 PAMUK BAGGY FIT NORMAL BEL GABARDİN PANTOLON,0.0
%100 PAMUK BAGGY FİT PANTOLON,0.0
%100 PAMUK BARREL FIT YÜKSEK BEL JEAN PANTOLON,0.0
%100 PAMUK BASIC GÖMLEK,0.0
%100 PAMUK BASIC PENYE TİŞÖRT,0.0
%100 PAMUK BASIC PREMIUM TİŞÖRT,0.0
%100 PAMUK BASKILI KISA KOLLU PİJAMA ÜSTÜ,0.0
%100 PAMUK BASKILI TİŞÖRT,0.0
%100 PAMUK BASİC GÖMLEK,0.0
%100 PAMUK BASİC SWEATSHİRT,0.0
%100 PAMUK BASİC TİŞÖRT,0.0
%100 PAMUK BOXY FIT BASKILI TİŞÖRT,0.0
%100 PAMUK BOXY FIT GÖMLEK,0.0
%100 PAMUK BOXY FIT TİŞÖRT,0.0
%100 PAMUK BOXY FİT BASKILI TİŞÖRT,0.0
%100 PAMUK BOXY FİT GÖMLEK,0.0
%100 PAMUK BOXY FİT TİŞÖRT,5.555679015089238
%100 PAMUK BÜYÜK BEDEN POLO TİŞÖRT,0.0
%100 PAMUK BÜYÜK BEDEN TİŞÖRT,0.0
%100 PAMUK BİSİKLET YAKA ÜST KIZ ÇOCUK,0.0
%100 PAMUK DANTEL DETAYLI RİBANA BRAZİLİAN KÜLOT,0.0
%100 PAMUK DÜŞÜK BEL JEAN PANTOLON,0.0
%100 PAMUK DÜŞÜK BEL UZUN JEAN PANTOLON,0.0
%100 PAMUK FERMUARLI MONT,0.0
%100 PAMUK FERMUARLI SWEATSHİRT,0.0
%100 PAMUK FITTED KAYIK YAKA SLOGAN BASKILI RİBANA TİŞÖRT,0.0
%100 PAMUK FLANEL GÖMLEK,0.0
%100 PAMUK GÖMLEK,0.9070387339553377
%100 PAMUK KADİFE GÖMLEK,0.0
%100 PAMUK KARELİ GÖMLEK,0.0
%100 PAMUK KRİNKIL KUMAŞ TUNİK,0.0
%100 PAMUK LOOSE FIT RENK BLOKLU SWEATSHİRT,0.0
%100 PAMUK LOOSE FIT TUNİK,0.0
%100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,0.0
%100 PAMUK LOOSE FİT BASKILI TİŞÖRT,0.0
%100 PAMUK LOOSE FİT TİŞÖRT,0.0
%100 PAMUK MONT,0.0
%100 PAMUK OVERSHIRT FIT SIRT BASKILI TİŞÖRT,0.0
%100 PAMUK OVERSIZE AYICIKLI TİŞÖRT,0.0
%100 PAMUK OVERSIZE FULAR YAKA POPLİN GÖMLEK,0.0
%100 PAMUK OVERSIZE GÖMLEK YAKA ÇİZGİLİ OXFORD GÖMLEK,0.0
%100 PAMUK OVERSIZE SPOR BASKILI TİŞÖRT,0.0
%100 PAMUK OXFORD GÖMLEK,0.0
%100 PAMUK PANTOLON,-5.314063572625619
%100 PAMUK POLO TİŞÖRT,0.0
%100 PAMUK POPLİN GÖMLEK TUNİK,0.0
%100 PAMUK POPLİN ÇİZGİLİ MİDİ ELBİSE,0.0
%100 PAMUK PİJAMA TAKIMI UZUN KOLLU ÜST ALT,0.0
%100 PAMUK REGULAR FIT BASKILI GECELİK,0.0
%100 PAMUK REGULAR FIT DANTELLİ HIRKA,0.0
%100 PAMUK REGULAR FIT FLAMLI UZUN KOLLU TUNİK,0.0
%100 PAMUK REGULAR FIT POPLİN MİDİ ELBİSE,0.0
%100 PAMUK REGULAR FIT PUANTİYE POPLİN UZUN KOLLU TUNİK,0.0
%100 PAMUK REGULAR FIT SWEATSHİRT TUNİK,0.0
%100 PAMUK REGULAR FIT TİŞÖRT TUNİK,0.0
%100 PAMUK REGULAR FIT ÇİZGİLİ TUNİK,0.0
%100 PAMUK RELAX FIT GÖMLEK YAKA FLAMLI GÖMLEK,0.0
%100 PAMUK RELAX FIT JEAN PANTOLON,0.0
%100 PAMUK RELAX FIT KAYIK YAKA PREMİUM TİŞÖRT,0.0
%100 PAMUK RELAX FIT KAYIK YAKA PREMİUM ÇİZGİLİ TİŞÖRT,0.0
%100 PAMUK RELAX FIT POPLİN GÖMLEK TUNİK,0.0
%100 PAMUK RELAX FIT YARIM BALIKÇI YAKA PREMİUM TİŞÖRT,0.0
%100 PAMUK RELAX FİT GÖMLEK,0.0
%100 PAMUK SLIM FIT FITİLLİ KAŞKORSE TİŞÖRT,0.0
%100 PAMUK SLIM FIT KAYIK YAKA RİBANA TİŞÖRT,0.0
%100 PAMUK SLIM FIT RİBANA 2'Lİ ATLET,0.0
%100 PAMUK SLIM FIT RİBANA TİŞÖRT,0.0
%100 PAMUK SLIM FIT UZUN KOLLU TUNİK,0.0
%100 PAMUK SLİM FIT RİBANA TİŞÖRT,0.0
%100 PAMUK SLİM FİT PANTOLON,0.0
%100 PAMUK STRAIGHT FIT NORMAL BEL GABARDİN PANTOLON,0.0
%100 PAMUK STRAIGHT FIT YÜKSEK BEL JEAN PANTOLON,0.0
%100 PAMUK STRAIGHT WIDE YÜKSEK BEL GENİŞ PAÇA JEAN KAR YIKAMALI PANTOLON,0.0
%100 PAMUK STRAIGHT WIDE YÜKSEK BEL GENİŞ PAÇA JEAN PANTOLON,0.0
%100 PAMUK STRAIGHT WIDE YÜKSEK BEL JEAN PANTOLON,4.545495868144256
%100 PAMUK STRAİGHT WİDE FIT YÜKSEK BEL GENİŞ BOL PAÇA JEAN PANTOLON,0.0
%100 PAMUK STRAİGHT WİDE JEAN PANTOLON,0.0
%100 PAMUK STRAİGHT WİDE YÜKSEK BEL JEAN PANTOLON,0.0
%100 PAMUK SWEATSHİRT TUNİK,0.0
%100 PAMUK TİŞÖRT,-0.6410379686788922
%100 PAMUK UZUN KOLLU BODY,0.0
%100 PAMUK UZUN KOLLU TUNİK,0.0
%100 PAMUK V YAKA BASIC PENYE TİŞÖRT,0.0
%100 PAMUK WIDE LEG JEAN PANTOLON,0.0
%100 PAMUK WIDE LEG NORMAL BEL GABARDİN PANTOLON,0.0
%100 PAMUK WİDE LEG NORMAL BEL JEAN PANTOLON,0.0
%100 PAMUK ÇİZGİLİ GÖMLEK,2.2222469138545855
%100 PAMUK ÇİZGİLİ SWEATSHİRT,0.0
%100 PAMUK ÇİZGİLİ TİŞÖRT,0.0
%100 PAMUK ÇİÇEKLİ BOXER,0.0
%100 PAMUKLU 2'Lİ ATLET ERKEK ÇOCUK,0.0
%100 PAMUKLU 2'Lİ ATLET KIZ ÇOCUK,0.0
%100 PAMUKLU 5'Lİ ATLET KIZ ÇOCUK,0.0
