Product Name,Product Cost,Product Original Cost,Discount Amount,Discount Rate,Currency,Product ID,SKU,Brand,Stock Quantity,In Stock,Top Category,Category Path,Leaf Category,Full Category,Model,Variant 1,Variant 2,Subproduct ID,Subproduct Code,Category ID,Source Category,Source Category URL,Product URL,Image URL,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Make Up Primer Mattifying and Pore Minimising - Matlaştırıcı ve Gözenek Sıkılaştırıcı Makyaj Bazı,1070.0,1070.0,0.0,0.0,TL,216,P-GMP-MPM,Golden Rose,3025,Yes,Yüz,Yüz >,Baz Ve Makyaj Sabitleyici,Yüz > Baz Ve Makyaj Sabitleyici,Make Up Primer,,,,,280,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/make-up-primer-mattifying-pore-minimising,https://shop.goldenrose.com.tr/make-up-primer-mattifying-pore-minimising-baz-ve-makyaj-sabitleyici-golden-rose-make-up-primer-25875-21-O.jpg,12,,0.0,0.0,
Make Up Primer Tinted Luminous - Salmon - Işıltılı ve Aydınlık Görünüm Veren Renkli Makyaj Bazı,995.0,995.0,0.0,0.0,TL,155,P-GTL-001,Golden Rose,663,Yes,Yüz,Yüz >,Baz Ve Makyaj Sabitleyici,Yüz > Baz Ve Makyaj Sabitleyici,Make Up Primer,,,,,280,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/gr-make-up-primer-baz,https://shop.goldenrose.com.tr/gr-make-up-primer-baz-baz-ve-makyaj-sabitleyici-golden-rose-make-up-primer-25996-15-O.jpg,12,,0.0,0.0,
Mattifying Fixing Spray - Matlaştırıcı Sabitleyici Sprey,560.0,560.0,0.0,0.0,TL,3751,F-MFS-001,Golden Rose,1457,Yes,Yüz,Yüz >,Baz Ve Makyaj Sabitleyici,Yüz > Baz Ve Makyaj Sabitleyici,Mattifying Fixing Spray,,,,,280,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/mattifying-fixing-spray-matlastirici-sabitleyici-sprey,https://shop.goldenrose.com.tr/mattifying-fixing-spray-matlastirici-sabitleyici-sprey-baz-ve-makyaj-sabitleyici-golden-rose-mattifying-fixing-spray-37853-37-O.jpg,12,,0.0,0.0,
Skin Perfector CC Light Foundation No: 101 Beige - SPF 50 Korumalı CC Fondöten,970.0,970.0,0.0,0.0,TL,4324,P-CCL-101,Golden Rose,48,Yes,Yüz,Yüz > BB & CC Krem >,CC Krem,Yüz > BB & CC Krem > CC Krem,Skin Perfector Color Correcting Light Foundation,,,,,289,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-101-beige-cc-light-fondoten,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-101-beige-cc-light-fondoten-cc-krem-golden-rose-skin-perfector-color-correcting-light-foundation-40826-43-O.jpg,12,,0.0,0.0,
Skin Perfector CC Light Foundation No: 102 Neutral - SPF 50 Korumalı CC Fondöten,970.0,970.0,0.0,0.0,TL,4325,P-CCL-102,Golden Rose,46,Yes,Yüz,Yüz > BB & CC Krem >,CC Krem,Yüz > BB & CC Krem > CC Krem,Skin Perfector Color Correcting Light Foundation,,,,,289,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-102-neutral-cc-light-fondoten,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-102-neutral-cc-light-fondoten-cc-krem-golden-rose-skin-perfector-color-correcting-light-foundation-40825-43-O.jpg,12,,0.0,0.0,
Skin Perfector CC Light Foundation No: 103 Nude - SPF 50 Korumalı CC Fondöten,970.0,970.0,0.0,0.0,TL,4326,P-CCL-103,Golden Rose,47,Yes,Yüz,Yüz > BB & CC Krem >,CC Krem,Yüz > BB & CC Krem > CC Krem,Skin Perfector Color Correcting Light Foundation,,,,,289,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-103-nude-cc-light-fondoten,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-103-nude-cc-light-fondoten-cc-krem-golden-rose-skin-perfector-color-correcting-light-foundation-40824-43-O.jpg,12,,0.0,0.0,
Skin Perfector CC Light Foundation No: 104 Warm Honey - SPF 50 Korumalı CC Fondöten,970.0,970.0,0.0,0.0,TL,4327,P-CCL-104,Golden Rose,50,Yes,Yüz,Yüz > BB & CC Krem >,CC Krem,Yüz > BB & CC Krem > CC Krem,Skin Perfector Color Correcting Light Foundation,,,,,289,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-104-warm-honey-cc-light-fondoten,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-104-warm-honey-cc-light-fondoten-cc-krem-golden-rose-skin-perfector-color-correcting-light-foundation-40823-43-O.jpg,12,,0.0,0.0,
Skin Perfector CC Light Foundation No: 105 Caramel - SPF 50 Korumalı CC Fondöten,970.0,970.0,0.0,0.0,TL,4328,P-CCL-105,Golden Rose,50,Yes,Yüz,Yüz > BB & CC Krem >,CC Krem,Yüz > BB & CC Krem > CC Krem,Skin Perfector Color Correcting Light Foundation,,,,,289,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-105-caramel-cc-light-fondoten,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-105-caramel-cc-light-fondoten-cc-krem-golden-rose-skin-perfector-color-correcting-light-foundation-40822-43-O.jpg,12,,0.0,0.0,
Skin Perfector CC Light Foundation No: 106 Toffee - SPF 50 Korumalı CC Fondöten,970.0,970.0,0.0,0.0,TL,4329,P-CCL-106,Golden Rose,50,Yes,Yüz,Yüz > BB & CC Krem >,CC Krem,Yüz > BB & CC Krem > CC Krem,Skin Perfector Color Correcting Light Foundation,,,,,289,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-106-toffee-cc-light-fondoten,https://shop.goldenrose.com.tr/golden-rose-skin-perfector-color-correcting-light-foundation-106-toffee-cc-light-fondoten-cc-krem-golden-rose-skin-perfector-color-correcting-light-foundation-40821-43-O.jpg,12,,0.0,0.0,
Contour Crayon - 21 Light Brown - Kontür Kalemi,320.0,320.0,0.0,0.0,TL,944,P-GCC-21,Golden Rose,95,Yes,Yüz,Yüz > Kontür >,Kontür Kalemi,Yüz > Kontür > Kontür Kalemi,Contour Crayon,,,,,301,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-contour-crayon-21-light-brown-kontur-kalemi,https://shop.goldenrose.com.tr/golden-rose-contour-crayon-21-light-brown-kontur-kalemi-kontur-kalemi-golden-rose-contour-crayon-25779-94-O.jpg,12,,0.0,0.0,
