category,product_name,price_tl,unit,product_code,product_url,date,time,in_stock
Meyve Sebze,Mısır Taze Adet,19.95,Adet,011454,https://www.cagri.com/misir-taze-adet,2026-08-16,10:08:28,No
Meyve Sebze,Yaban Mersini Paket,49.95,Adet,14654190,https://www.cagri.com/yaban-mersini-paket,2026-08-16,10:08:28,No
Meyve Sebze,Karpuz Kesmece kg ,9.99,Kg,010622,https://www.cagri.com/karpuz-kesmece-kg-,2026-08-16,10:08:28,No
Meyve Sebze,Kavun bal kg,29.99,Kg,015940,https://www.cagri.com/kavun-bal-kg,2026-08-16,10:08:28,No
Meyve Sebze,Fasulye Ayşe  kg,69.99,Kg,015921,https://www.cagri.com/fasulye-ayse--kg,2026-08-16,10:08:28,No
Meyve Sebze,Salatalık Çengelköy kg,39.99,Kg,010815,https://www.cagri.com/salatalik-cengelkoy-kg,2026-08-16,10:08:28,No
Meyve Sebze,Enginar adet,59.95,Adet,003446,https://www.cagri.com/enginar-adet,2026-08-16,10:08:28,No
Meyve Sebze,Kavun Kırkağaç kg,29.99,Kg,003874,https://www.cagri.com/kavun-kirkagac-kg,2026-08-16,10:08:28,No
Meyve Sebze,Kiraz kg,199.99,Kg,022406,https://www.cagri.com/kiraz-kg,2026-08-16,10:08:28,No
Meyve Sebze,Limon Lamas kg,99.99,Kg,969158,https://www.cagri.com/limon-lamas-kg,2026-08-16,10:08:28,No
Meyve Sebze,Karpuz Çekirdeksiz kg,24.99,Kg,1800704,https://www.cagri.com/karpuz-cekirdeksiz-kg,2026-08-16,10:08:28,No
Meyve Sebze,Şeftali kg,59.99,Kg,011380,https://www.cagri.com/seftali-kg,2026-08-16,10:08:28,No
Meyve Sebze,Nektari kg,59.99,Kg,023125,https://www.cagri.com/nektari-kg,2026-08-16,10:08:28,No
Meyve Sebze,Domates kg,49.99,Kg,009670,https://www.cagri.com/domates-kg,2026-08-16,10:08:28,No
Meyve Sebze,Erik Ancelika kg,79.99,Kg,000711,https://www.cagri.com/erik-ancelika-kg,2026-08-16,10:08:28,No
Meyve Sebze,Göbek Salata kg,29.99,Kg,005838,https://www.cagri.com/gobek-salata-kg,2026-08-16,10:08:28,No
Meyve Sebze,Kıvırcık adet,29.95,Adet,003171,https://www.cagri.com/kivircik-adet,2026-08-16,10:08:28,No
Meyve Sebze,Domates Sivri kg,17.99,Kg,015665,https://www.cagri.com/domates-sivri-kg,2026-08-16,10:08:28,No
Meyve Sebze,Domates Salkım kg,89.99,Kg,011162,https://www.cagri.com/domates-salkim-kg,2026-08-16,10:08:28,No
Meyve Sebze,Muz İthal kg,129.99,Kg,015941,https://www.cagri.com/muz-ithal-kg,2026-08-16,10:08:28,No
