kategori,kategori_url,isim,fiyat,link,resim
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Bosch GDR 18V-200C Solo Vidalama,"18.458,40 TL",https://www.loyamakina.com/bosch-gdr-18v-200c-solo-vidalama,https://www.loyamakina.com/bosch-gdr-18v-200c-solo-vidalama-akulu-delme-ve-vidalama-bosch-2491-12-K.webp
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Bosch Gsr 18V-150 C Solo Delme/Vidalama,"23.563,11 TL",https://www.loyamakina.com/bosch-gsr-18v-150-c-solo-delme/vidalama,https://www.loyamakina.com/bosch-gsr-18v-150-c-solo-delme/bosch-gsr-18v-150-c-solo-delmevidalama-akulu-delme-ve-vidalama-bosch-2487-12-K.webp
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Bosch Gsr 18V-90 C Solo Delme/Vidalama,"15.025,91 TL",https://www.loyamakina.com/bosch-gsr-18v-90-c-solo-delme/vidalama,https://www.loyamakina.com/bosch-gsr-18v-90-c-solo-delme/bosch-gsr-18v-90-c-solo-delmevidalama-akulu-delme-ve-vidalama-bosch-2485-12-K.webp
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Bosch GSB 185-LI Solo Profesyonel Akülü Vidalama,"9.439,33 TL",https://www.loyamakina.com/bosch-gsb-185-li-solo-profesyonel-akulu-vidalama,https://www.loyamakina.com/bosch-gsb-185-li-solo-profesyonel-akulu-vidalama-akulu-delme-ve-vidalama-bosch-2484-12-K.webp
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Bosch GSR 185-LI Solo Profesyonel Akülü Vidalama,"6.202,67 TL",https://www.loyamakina.com/bosch-gsr-185-li-solo-profesyonel-akulu-vidalama,https://www.loyamakina.com/bosch-gsr-185-li-solo-profesyonel-akulu-vidalama-akulu-delme-ve-vidalama-bosch-2482-12-K.webp
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Stanley Fatmax Sbd715D2Ka 18V 2Ah V20 Çift Akü Kömürsüz Darbeli Matkap+100 Akses.,"13.745,57 TL",https://www.loyamakina.com/stanley-fatmax-sbd715d2ka-18v-2ah-v20-cift-aku-komursuz-darbeli-matkap-100-akses,https://www.loyamakina.com/stanley-fatmax-sbd715d2ka-18v-2ah-v20-cift-aku-komursuz-darbeli-matkap-100-akses-akulu-delme-ve-vidalama-stanley-2480-12-K.webp
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Stanley Fatmax Scd718D2Ka 18V 2Ah V20 Çift Akü Darbeli Matkap+100 Akses.,"13.090,93 TL",https://www.loyamakina.com/stanley-fatmax-scd718d2ka-18v-2ah-v20-cift-aku-darbeli-matkap-100-akses,https://www.loyamakina.com/stanley-fatmax-scd718d2ka-18v-2ah-v20-cift-aku-darbeli-matkap-100-akses-akulu-delme-ve-vidalama-stanley-2477-12-K.png
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Stanley SBH20D2KA 18V 2 Ah Çift Akülü Profesyonel Darbeli Matkap ve 100 Parça Aksesuar Seti,"13.091,30 TL",https://www.loyamakina.com/stanley-sbh20d2k-cift-akulu-profesyonel-darbeli-matkap-ve-aksesuar-seti,https://www.loyamakina.com/stanley-sbh20d2k-cift-akulu-profesyonel-darbeli-matkap-ve-aksesuar-seti-akulu-delme-ve-vidalama-stanley-2407-11-K.jpg
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Bosch Profesyonel 3 Lü Set GBH 180 + GSR 180 + GWS 180 2x4.0 Ah,"41.853,69 TL",https://www.loyamakina.com/bosch-profesyonel-3-lu-set-gbh-180-gsr-180-gws-180-2x4,https://www.loyamakina.com/bosch-profesyonel-3-lu-set-gbh-180-gsr-180-gws-180-2x4-akulu-delme-ve-vidalama-bosch-2400-11-K.jpg
Akulu Vidalama,https://www.loyamakina.com/akulu-vidalama,Dewalt DCD700C2 Xr Seri 10.8V 1.3 Ah Li-ion Şarjlı Matkap,"7.040,33 TL",https://www.loyamakina.com/dewalt-dcd700c2-akulu-vidalama-makinesi,https://www.loyamakina.com/dewalt-dcd700c2-akulu-vidalama-makinesi-akulu-delme-ve-vidalama-dewalt-2371-11-K.jpg
