District,Rooms,Price,PriceInt
Buca,2+1,12.000 TL,12000
Konak,2+1,12.000 TL,12000
Buca,2+1,14.000 TL,14000
Buca,1+1,14.000 TL,14000
Bergama,2+1,13.000 TL,13000
Buca,1+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Çiğli,1+1,14.000 TL,14000
Karabağlar,1+1,11.000 TL,11000
Menemen,1+1,14.250 TL,14250
Menemen,1+1,13.500 TL,13500
Menemen,1+1,13.500 TL,13500
Bayraklı,2+1,10.000 TL,10000
Menemen,1+1,14.000 TL,14000
Bayraklı,2+1,12.500 TL,12500
Ödemiş,4+2,10.000 TL,10000
Menemen,1+1,14.500 TL,14500
Ödemiş,2+1,12.000 TL,12000
Torbalı,2+1,14.000 TL,14000
Bayraklı,3+1,12.500 TL,12500
Buca,1+1,14.999 TL,14999
Menemen,1+1,12.000 TL,12000
Menemen,2+1,14.000 TL,14000
Torbalı,2+1,14.500 TL,14500
Menemen,1+1,12.000 TL,12000
Çeşme,3+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Karabağlar,2+1,14.000 TL,14000
Bornova,1+1,12.500 TL,12500
Buca,3+1,13.000 TL,13000
Menemen,2+1,10.500 TL,10500
Menemen,1+1,14.000 TL,14000
Buca,1+1,10.000 TL,10000
Buca,2+1,14.000 TL,14000
Ödemiş,3+1,13.000 TL,13000
Karabağlar,2+1,14.000 TL,14000
Tire,1+1,14.500 TL,14500
Buca,1+1,14.500 TL,14500
Karabağlar,1+1,11.500 TL,11500
Tire,2+1,13.000 TL,13000
Buca,2+1,14.500 TL,14500
Buca,1+1,14.500 TL,14500
Bergama,Stüdyo (1+0),12.500 TL,12500
Menemen,1+1,14.000 TL,14000
Torbalı,1+1,13.000 TL,13000
Menemen,1+1,13.500 TL,13500
Bornova,2+1,11.000 TL,11000
Menemen,1+1,14.750 TL,14750
Konak,1+1,11.000 TL,11000
Karabağlar,2+1,12.000 TL,12000
Menemen,1+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Konak,2+1,12.000 TL,12000
Karabağlar,2+1,14.000 TL,14000
Buca,1+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Karabağlar,2+1,13.000 TL,13000
Buca,2+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Menemen,1+1,13.000 TL,13000
Bayraklı,2+1,11.000 TL,11000
Torbalı,1+1,14.000 TL,14000
Kiraz,2+1,14.000 TL,14000
Bayraklı,2+1,13.000 TL,13000
Buca,1+1,14.500 TL,14500
Bergama,1+1,13.500 TL,13500
Çiğli,Stüdyo (1+0),14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Konak,2+0,10.000 TL,10000
Buca,2+1,14.500 TL,14500
Bornova,Stüdyo (1+0),12.000 TL,12000
Buca,1+1,14.250 TL,14250
Karabağlar,3+1,14.000 TL,14000
Aliağa,3+1,14.000 TL,14000
Torbalı,1+1,14.500 TL,14500
Konak,2+1,12.000 TL,12000
Menemen,1+1,14.500 TL,14500
Menemen,1+1,12.000 TL,12000
Çiğli,2+1,14.000 TL,14000
Çiğli,2+1,14.000 TL,14000
Konak,Stüdyo (1+0),14.000 TL,14000
Buca,1+1,14.000 TL,14000
Aliağa,2+1,10.000 TL,10000
Buca,2+1,14.000 TL,14000
Buca,2+1,13.000 TL,13000
Çiğli,1+1,13.000 TL,13000
Ödemiş,2+1,13.500 TL,13500
Bornova,3+1,14.000 TL,14000
Buca,2+0,13.000 TL,13000
Bornova,2+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Konak,3+0,13.000 TL,13000
Menemen,1+1,14.500 TL,14500
Karabağlar,2+1,12.500 TL,12500
Bornova,3+1,10.000 TL,10000
Buca,1+1,14.000 TL,14000
Buca,Stüdyo (1+0),13.000 TL,13000
Bayraklı,2+1,12.000 TL,12000
Ödemiş,2+1,13.000 TL,13000
Çeşme,3+1,10.000 TL,10000
Bayraklı,2+1,14.000 TL,14000
Konak,2+1,11.000 TL,11000
Menemen,3+1,11.500 TL,11500
Buca,2+0,13.000 TL,13000
Buca,1+1,13.500 TL,13500
Buca,Stüdyo (1+0),11.500 TL,11500
Buca,1+1,13.500 TL,13500
Selçuk,1+1,12.000 TL,12000
Çiğli,2+1,13.500 TL,13500
Tire,2+1,13.500 TL,13500
Ödemiş,2+1,13.000 TL,13000
Ödemiş,2+1,14.000 TL,14000
Çeşme,1+1,10.000 TL,10000
Torbalı,1+1,14.500 TL,14500
Buca,1+1,14.000 TL,14000
Menemen,1+1,13.000 TL,13000
Ödemiş,3+1,13.000 TL,13000
Konak,2+1,13.000 TL,13000
Torbalı,2+1,14.000 TL,14000
Çeşme,4+1,10.000 TL,10000
Buca,1+1,13.000 TL,13000
Buca,5+1,10.000 TL,10000
Karabağlar,2+1,10.000 TL,10000
Çeşme,4+1,12.500 TL,12500
Karabağlar,1+1,13.000 TL,13000
Buca,1+1,14.000 TL,14000
Menemen,1+1,12.500 TL,12500
Bayraklı,2+1,12.500 TL,12500
Menderes,Stüdyo (1+0),12.000 TL,12000
Bornova,2+0,12.000 TL,12000
Menemen,1+1,13.000 TL,13000
Menemen,1+1,13.500 TL,13500
Karabağlar,2+1,13.000 TL,13000
Bayraklı,2+1,14.000 TL,14000
Bornova,1+1,12.000 TL,12000
Torbalı,1+1,14.500 TL,14500
Konak,2+1,10.000 TL,10000
Tire,3+1,13.500 TL,13500
Menemen,1+1,13.000 TL,13000
Torbalı,1+1,12.000 TL,12000
Karşıyaka,2+1,13.000 TL,13000
Karabağlar,2+1,13.000 TL,13000
Tire,2+1,12.000 TL,12000
Menemen,1+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Bornova,1+1,13.000 TL,13000
Buca,1+1,14.000 TL,14000
Menemen,2+1,13.000 TL,13000
Bornova,2+1,10.000 TL,10000
Buca,Stüdyo (1+0),14.000 TL,14000
Karabağlar,1+1,14.000 TL,14000
Buca,Stüdyo (1+0),11.500 TL,11500
Buca,2+1,13.000 TL,13000
Ödemiş,3+1,13.000 TL,13000
Karabağlar,2+1,12.000 TL,12000
Menemen,1+1,12.750 TL,12750
Bayraklı,1+1,13.000 TL,13000
Karabağlar,1+1,10.000 TL,10000
Buca,2+1,10.000 TL,10000
Kiraz,3+1,12.500 TL,12500
Bayraklı,2+1,12.500 TL,12500
Torbalı,2+1,14.000 TL,14000
Çeşme,3+1,10.000 TL,10000
Karabağlar,Stüdyo (1+0),10.000 TL,10000
Karabağlar,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,13.250 TL,13250
Konak,3+1,11.000 TL,11000
Buca,1+1,14.999 TL,14999
Torbalı,2+1,14.500 TL,14500
Buca,2+0,13.000 TL,13000
Bornova,2+1,13.000 TL,13000
Bergama,3+1,14.000 TL,14000
Bornova,2+1,13.000 TL,13000
Buca,1+1,14.500 TL,14500
Ödemiş,1+1,13.000 TL,13000
Buca,Stüdyo (1+0),12.000 TL,12000
Menemen,Stüdyo (1+0),13.500 TL,13500
Menemen,1+1,14.000 TL,14000
Karabağlar,3+1,13.500 TL,13500
Buca,1+1,12.000 TL,12000
Torbalı,1+1,14.500 TL,14500
Bornova,1+1,12.000 TL,12000
Menemen,1+1,13.000 TL,13000
Gaziemir,2+1,12.000 TL,12000
Buca,1+1,14.000 TL,14000
Çeşme,3+1,10.000 TL,10000
Bornova,3+1,10.000 TL,10000
Menemen,1+1,13.500 TL,13500
Buca,1+1,14.000 TL,14000
Bornova,2+1,13.000 TL,13000
Urla,1+1,11.000 TL,11000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Bornova,Stüdyo (1+0),12.000 TL,12000
Karabağlar,3+1,13.000 TL,13000
Bornova,1+1,13.000 TL,13000
Karabağlar,2+1,12.000 TL,12000
Buca,1+1,12.000 TL,12000
Menemen,1+1,14.000 TL,14000
Buca,2+0,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Ödemiş,3+1,12.750 TL,12750
Menemen,1+1,13.000 TL,13000
Buca,1+1,12.500 TL,12500
Buca,1+1,14.000 TL,14000
Gaziemir,2+1,13.000 TL,13000
Karşıyaka,1+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Kiraz,2.5+1,14.000 TL,14000
Ödemiş,1+1,12.000 TL,12000
Buca,1+1,14.500 TL,14500
Buca,2+1,14.000 TL,14000
Karabağlar,2+1,11.000 TL,11000
Menemen,1+1,14.000 TL,14000
Bayraklı,1+1,14.000 TL,14000
Menemen,1+1,13.500 TL,13500
Menemen,2+1,14.000 TL,14000
Urla,1+1,12.000 TL,12000
Buca,2+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Buca,1+1,13.000 TL,13000
Dikili,5+2,10.000 TL,10000
Bornova,1+1,10.000 TL,10000
Karabağlar,2+1,14.000 TL,14000
Dikili,4+1,10.000 TL,10000
Menemen,1+1,14.000 TL,14000
Ödemiş,2+1,13.000 TL,13000
Ödemiş,2+1,12.500 TL,12500
Karabağlar,1+1,13.000 TL,13000
Konak,2+1,12.500 TL,12500
Bornova,2+1,14.500 TL,14500
Menemen,1+1,13.000 TL,13000
Bayraklı,1+1,14.000 TL,14000
Gaziemir,1+1,14.000 TL,14000
Torbalı,3+1,14.500 TL,14500
Menderes,2+0,14.500 TL,14500
Ödemiş,2+1,14.000 TL,14000
Bayraklı,4+1,12.500 TL,12500
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Bornova,2+1,14.000 TL,14000
Karabağlar,1+1,13.000 TL,13000
Bornova,Stüdyo (1+0),12.000 TL,12000
Menemen,1+1,14.500 TL,14500
Bayraklı,2+1,11.000 TL,11000
Bayraklı,1+1,14.000 TL,14000
Buca,2+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Buca,Stüdyo (1+0),14.000 TL,14000
Menemen,2+1,14.000 TL,14000
Menemen,1+1,13.000 TL,13000
Karabağlar,Stüdyo (1+0),13.000 TL,13000
Bornova,1+1,13.000 TL,13000
Buca,Stüdyo (1+0),13.000 TL,13000
Menemen,1+1,13.500 TL,13500
Karabağlar,2+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Narlıdere,2+1,10.000 TL,10000
Bornova,Stüdyo (1+0),12.500 TL,12500
Menemen,1+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Bayraklı,2+1,12.000 TL,12000
Bayraklı,1+1,10.000 TL,10000
Menemen,1+1,13.500 TL,13500
Konak,3+1,14.000 TL,14000
Buca,3+1,13.000 TL,13000
Torbalı,1+1,14.000 TL,14000
Bergama,1+1,12.000 TL,12000
Karabağlar,1+1,13.750 TL,13750
Karabağlar,3+1,12.000 TL,12000
Karabağlar,2+1,10.000 TL,10000
Menemen,1+1,14.000 TL,14000
Kemalpaşa,1+1,11.000 TL,11000
Buca,2+1,13.000 TL,13000
Bornova,1+1,11.000 TL,11000
Karabağlar,2+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Bayraklı,2+1,14.000 TL,14000
Menemen,1+1,13.000 TL,13000
Balçova,3+1,10.000 TL,10000
Menemen,1+1,14.500 TL,14500
Bayraklı,2+1,14.000 TL,14000
Menemen,1+1,12.500 TL,12500
Bayraklı,3+1,14.000 TL,14000
Karabağlar,3+1,14.000 TL,14000
Bayraklı,2+1,13.500 TL,13500
Karabağlar,2+1,14.000 TL,14000
Menemen,1+1,12.500 TL,12500
Kiraz,2+0,12.000 TL,12000
Buca,Stüdyo (1+0),13.000 TL,13000
Buca,2+1,12.000 TL,12000
Buca,1+1,14.000 TL,14000
Bayraklı,1+1,13.000 TL,13000
Buca,2+1,13.000 TL,13000
Bornova,3+1,13.000 TL,13000
Menemen,1+1,14.500 TL,14500
Karabağlar,2+1,12.000 TL,12000
Bornova,2+1,13.499 TL,13499
Buca,1+1,13.000 TL,13000
Buca,1+1,14.000 TL,14000
Ödemiş,2+1,10.000 TL,10000
Bornova,1+1,14.500 TL,14500
Bornova,2+1,12.000 TL,12000
Karabağlar,2+1,12.000 TL,12000
Bayraklı,1+1,10.500 TL,10500
Ödemiş,1+1,12.000 TL,12000
Menemen,2+1,13.000 TL,13000
Karabağlar,1+1,11.000 TL,11000
Karabağlar,2+1,14.500 TL,14500
Menemen,1+1,14.500 TL,14500
Buca,1+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Kemalpaşa,3+1,13.050 TL,13050
Bornova,Stüdyo (1+0),12.000 TL,12000
Karabağlar,2+1,13.000 TL,13000
Torbalı,2+1,10.000 TL,10000
Buca,1+1,13.500 TL,13500
Menemen,2+1,13.000 TL,13000
Buca,1+1,13.900 TL,13900
Menemen,1+1,13.000 TL,13000
Buca,1+1,14.500 TL,14500
Menemen,1+1,13.000 TL,13000
Seferihisar,2+1,13.000 TL,13000
Karabağlar,1+1,10.000 TL,10000
Bergama,3+1,14.000 TL,14000
Bornova,1+1,14.500 TL,14500
Narlıdere,1+1,14.000 TL,14000
Buca,1+1,14.500 TL,14500
Ödemiş,2+1,14.000 TL,14000
Konak,2+1,13.000 TL,13000
Buca,1+1,13.000 TL,13000
Bayraklı,2+1,13.000 TL,13000
Torbalı,2+1,14.000 TL,14000
Bornova,3+1,14.000 TL,14000
Bayraklı,3+1,12.000 TL,12000
Menemen,1+1,14.000 TL,14000
Bayındır,2+1,14.000 TL,14000
Bornova,2+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Buca,1+1,13.000 TL,13000
Bayraklı,1+1,13.500 TL,13500
Menemen,1+1,14.500 TL,14500
Konak,2+1,12.000 TL,12000
Buca,2+1,14.000 TL,14000
Buca,1+1,14.500 TL,14500
Torbalı,1+1,14.000 TL,14000
Buca,1+1,13.000 TL,13000
Buca,1+1,12.000 TL,12000
Bayraklı,2+1,14.000 TL,14000
Bayraklı,2+1,11.000 TL,11000
Buca,1+1,14.500 TL,14500
Ödemiş,3+1,13.000 TL,13000
Konak,Stüdyo (1+0),14.000 TL,14000
Buca,Stüdyo (1+0),10.000 TL,10000
Menemen,1+1,14.500 TL,14500
Bornova,2+1,11.000 TL,11000
Menemen,1+1,13.250 TL,13250
Bayraklı,2+1,12.000 TL,12000
Bornova,3+1,12.000 TL,12000
Konak,1+1,10.000 TL,10000
Menemen,1+1,14.950 TL,14950
Bornova,1+1,14.000 TL,14000
Torbalı,3+1,14.000 TL,14000
Karabağlar,2+1,14.000 TL,14000
Karabağlar,2+1,13.500 TL,13500
Menemen,1+1,13.000 TL,13000
Buca,1+1,11.000 TL,11000
Buca,Stüdyo (1+0),14.000 TL,14000
Karabağlar,2+1,13.000 TL,13000
Bornova,2+1,11.000 TL,11000
Urla,3+1,10.000 TL,10000
Karabağlar,3+1,13.000 TL,13000
Bayraklı,3+1,14.000 TL,14000
Menemen,1+1,12.000 TL,12000
Bayraklı,2+1,11.000 TL,11000
Konak,1+1,10.000 TL,10000
Selçuk,1+1,12.000 TL,12000
Menemen,1+1,13.000 TL,13000
Bayraklı,3+1,14.000 TL,14000
Buca,1+1,14.500 TL,14500
Menemen,1+1,12.500 TL,12500
Menemen,1+1,14.000 TL,14000
Buca,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Buca,1+1,14.000 TL,14000
Buca,Stüdyo (1+0),13.000 TL,13000
Konak,3+1,12.500 TL,12500
Buca,1+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Buca,2+1,14.000 TL,14000
Bornova,4+0,14.000 TL,14000
Çiğli,2+1,12.500 TL,12500
Bornova,2+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Seferihisar,1+1,15.500 TL,15500
Buca,1+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Balçova,Stüdyo (1+0),15.000 TL,15000
Buca,1+1,16.000 TL,16000
Konak,1+1,15.000 TL,15000
Karabağlar,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Buca,1+1,15.500 TL,15500
Menemen,2+1,15.000 TL,15000
Foça,Stüdyo (1+0),15.900 TL,15900
Buca,2+0,16.000 TL,16000
Buca,2+0,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Bornova,2+1,16.000 TL,16000
Menemen,1+1,15.500 TL,15500
Bayraklı,2+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Menemen,1+1,15.500 TL,15500
Bornova,2+1,15.000 TL,15000
Buca,2+1,16.000 TL,16000
Menemen,2+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Menemen,Stüdyo (1+0),15.000 TL,15000
Buca,1+1,16.000 TL,16000
Menemen,1+1,15.250 TL,15250
Buca,1+1,15.000 TL,15000
Torbalı,2+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Gaziemir,2+1,16.000 TL,16000
Konak,3+1,15.000 TL,15000
Karabağlar,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Tire,2+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Çiğli,2+1,15.000 TL,15000
Buca,2+1,15.250 TL,15250
Menemen,2+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Urla,Stüdyo (1+0),16.000 TL,16000
Buca,2+1,15.000 TL,15000
Ödemiş,1+1,15.000 TL,15000
Kemalpaşa,2+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Konak,3+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Bornova,2+0,16.000 TL,16000
Karabağlar,2+1,15.000 TL,15000
Karabağlar,2+1,16.000 TL,16000
Bayraklı,1+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Bayraklı,2+1,15.000 TL,15000
Ödemiş,3+1,16.000 TL,16000
Gaziemir,2+1,15.000 TL,15000
Torbalı,1+1,16.000 TL,16000
Bayındır,2+1,15.000 TL,15000
Buca,Stüdyo (1+0),16.000 TL,16000
Buca,1+1,15.000 TL,15000
Bornova,1+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Buca,2+0,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Tire,2+1,15.000 TL,15000
Bayraklı,2+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Bayraklı,1+1,15.000 TL,15000
Çiğli,2+1,16.000 TL,16000
Buca,Stüdyo (1+0),15.000 TL,15000
Buca,1+1,15.000 TL,15000
Karabağlar,1.5+1,15.000 TL,15000
Bayraklı,1+1,15.000 TL,15000
Bayraklı,2+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menemen,2+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Tire,1+1,15.000 TL,15000
Kiraz,1+1,15.000 TL,15000
Buca,Stüdyo (1+0),15.000 TL,15000
Ödemiş,2+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Karabağlar,1+1,15.000 TL,15000
Gaziemir,2+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Ödemiş,2+1,15.000 TL,15000
Konak,2+1,16.000 TL,16000
Torbalı,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Bornova,1+1,15.000 TL,15000
Dikili,4+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bayraklı,2+1,16.000 TL,16000
Seferihisar,1+1,16.000 TL,16000
Tire,3+1,15.000 TL,15000
Buca,Stüdyo (1+0),15.000 TL,15000
Buca,1+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Çiğli,1+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Aliağa,2+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Menemen,Stüdyo (1+0),15.000 TL,15000
Buca,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Buca,2+1,16.000 TL,16000
Buca,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bergama,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Ödemiş,3+1,15.000 TL,15000
Menemen,3+1,15.000 TL,15000
Buca,2+1,15.000 TL,15000
Torbalı,2+1,15.000 TL,15000
Bayraklı,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Buca,2+1,16.000 TL,16000
Buca,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Torbalı,2+1,15.500 TL,15500
Buca,1+1,15.000 TL,15000
Menemen,2+0,15.000 TL,15000
Menderes,2+1,16.000 TL,16000
Bayraklı,1+1,15.000 TL,15000
Menemen,1+1,15.500 TL,15500
Buca,1+1,15.000 TL,15000
Buca,2+1,16.000 TL,16000
Konak,3+1,15.000 TL,15000
Ödemiş,2+1,15.000 TL,15000
Menemen,2+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Menderes,3+1,16.000 TL,16000
Kiraz,4+1,15.000 TL,15000
Buca,3+1,16.000 TL,16000
Bornova,1+1,16.000 TL,16000
Ödemiş,2+1,15.000 TL,15000
Menemen,1+1,15.450 TL,15450
Ödemiş,Stüdyo (1+0),16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Karabağlar,3+1,15.000 TL,15000
Bornova,1+1,15.000 TL,15000
Bornova,3+1,15.000 TL,15000
Bayraklı,2+1,16.000 TL,16000
Bayındır,1.5+1,15.000 TL,15000
Menemen,2+1,16.000 TL,16000
Bayraklı,1+1,15.500 TL,15500
Bergama,3+1,15.000 TL,15000
Buca,1+1,15.500 TL,15500
Buca,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Bornova,2+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Konak,2+1,15.000 TL,15000
Menemen,1+1,15.500 TL,15500
Buca,2+1,15.000 TL,15000
Karaburun,Stüdyo (1+0),15.000 TL,15000
Buca,1+1,15.500 TL,15500
Buca,2+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Çiğli,2+1,15.000 TL,15000
Bergama,3+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Bornova,1+1,15.000 TL,15000
Torbalı,3+1,15.000 TL,15000
Bornova,2+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bayraklı,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,2+1,15.000 TL,15000
Bayraklı,2+1,16.000 TL,16000
Çeşme,1+1,15.000 TL,15000
Karşıyaka,3+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Ödemiş,3+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bayraklı,2+1,15.000 TL,15000
Buca,2+1,16.000 TL,16000
Bayraklı,2+1,15.000 TL,15000
Bornova,3+1,15.000 TL,15000
Karşıyaka,2+1,15.000 TL,15000
Ödemiş,2+1,16.000 TL,16000
Buca,1+1,15.500 TL,15500
Karabağlar,3+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Menemen,2+1,15.000 TL,15000
Çiğli,1+1,15.000 TL,15000
Seferihisar,1+1,15.500 TL,15500
Buca,2+0,15.500 TL,15500
Menemen,1+1,15.500 TL,15500
Menemen,1+1,15.250 TL,15250
Bayraklı,3+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menemen,3+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Menemen,3+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Kemalpaşa,3+1,16.000 TL,16000
Torbalı,2+1,15.000 TL,15000
Bayraklı,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,2+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Foça,1+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Buca,2+1,15.000 TL,15000
Bornova,2+1,15.000 TL,15000
Bornova,2+1,15.000 TL,15000
Karabağlar,3+1,16.000 TL,16000
Bornova,Stüdyo (1+0),15.000 TL,15000
Ödemiş,3+1,15.000 TL,15000
