District,Rooms,Price,PriceInt
Bayraklı / Gümüşpala,2+1,7.500 TL,7500
Buca,1+1,9.000 TL,9000
Menderes / Köyler,1+1,3.000 TL,3000
Buca,1+1,9.000 TL,9000
Dikili / Köyler,3+1,7.000 TL,7000
Konak / Basmane,Stüdyo (1+0),8.500 TL,8500
Buca,Stüdyo (1+0),9.000 TL,9000
Bornova,Stüdyo (1+0),9.500 TL,9500
Kemalpaşa,2+1,9.000 TL,9000
Konak / Yenişehir,Stüdyo (1+0),9.500 TL,9500
Bornova / Kazımdirik,3+1,7.500 TL,7500
Seferihisar / Ürkmez,3+1,6.000 TL,6000
Buca / Şirinyer,Stüdyo (1+0),7.000 TL,7000
Konak / Alsancak,Stüdyo (1+0),8.500 TL,8500
Dikili / Çandarlı,2+1,4.000 TL,4000
Konak / Alsancak,Stüdyo (1+0),9.500 TL,9500
Bornova / Kazımdirik,Stüdyo (1+0),9.750 TL,9750
Karabağlar / Hatay,Stüdyo (1+0),9.500 TL,9500
Konak / Gürçeşme,1+1,9.000 TL,9000
Aliağa,3+1,9.000 TL,9000
Konak / Alsancak,Stüdyo (1+0),8.950 TL,8950
Buca,Stüdyo (1+0),8.000 TL,8000
Urla,Stüdyo (1+0),3.000 TL,3000
Buca,Stüdyo (1+0),8.000 TL,8000
Ödemiş,2+1,8.750 TL,8750
Buca / Şirinyer,Stüdyo (1+0),7.000 TL,7000
Konak / Alsancak,3+1,7.500 TL,7500
Dikili,4+1,5.000 TL,5000
Karabağlar / Hatay,Stüdyo (1+0),8.500 TL,8500
Bayraklı / Alpaslan,2+1,8.500 TL,8500
Dikili / Çandarlı,4+1,5.000 TL,5000
Aliağa,2+1,8.000 TL,8000
Buca,Stüdyo (1+0),9.000 TL,9000
Buca / İşçievleri,Stüdyo (1+0),1.750 TL,1750
Ödemiş,3+1,9.500 TL,9500
Bornova / Naldöken,4+0,7.500 TL,7500
Buca,Stüdyo (1+0),9.000 TL,9000
Ödemiş,1+1,8.500 TL,8500
Bornova / Kazımdirik,3+1,7.500 TL,7500
Buca,Stüdyo (1+0),7.000 TL,7000
Bayraklı / Gümüşpala,1+1,9.000 TL,9000
Bornova / Kazımdirik,3+1,7.500 TL,7500
Konak,Stüdyo (1+0),9.750 TL,9750
Bayraklı / Manavkuyu,3+1,7.000 TL,7000
