District,Rooms,Price,PriceInt
Aliağa,2+1,25.000 TL,25000
Aliağa,1+1,20.000 TL,20000
Aliağa,3+1,44.000 TL,44000
Aliağa,3+1,25.000 TL,25000
Aliağa,Stüdyo (1+0),21.000 TL,21000
Aliağa,3+1,32.000 TL,32000
Aliağa,2+1,40.000 TL,40000
Aliağa,3+1,25.500 TL,25500
Aliağa,1+1,33.000 TL,33000
Aliağa,2+1,31.500 TL,31500
Aliağa,3+1,28.000 TL,28000
Aliağa,2+1,17.500 TL,17500
Aliağa,2+1,22.000 TL,22000
Aliağa,2+1,20.000 TL,20000
Aliağa,1+1,27.000 TL,27000
Aliağa,3+1,41.000 TL,41000
Aliağa,1+1,22.000 TL,22000
Aliağa,1+1,32.000 TL,32000
Aliağa,2+1,40.000 TL,40000
Aliağa,3+1,40.000 TL,40000
Aliağa,3+1,28.000 TL,28000
Aliağa,3+1,60.000 TL,60000
Aliağa,4+1,33.000 TL,33000
Aliağa,3+1,25.000 TL,25000
Aliağa,3+1,43.000 TL,43000
Aliağa,1+1,25.000 TL,25000
Aliağa,3+1,45.000 TL,45000
Aliağa,2+1,45.000 TL,45000
Aliağa,3+1,32.000 TL,32000
Aliağa,1+1,26.000 TL,26000
Aliağa,3+1,47.000 TL,47000
Aliağa,3+1,35.000 TL,35000
Aliağa,2+1,32.000 TL,32000
Aliağa,2+1,40.000 TL,40000
Aliağa,2+1,24.000 TL,24000
Aliağa,2+1,15.000 TL,15000
Aliağa,3+1,27.500 TL,27500
Aliağa,3+1,25.000 TL,25000
Aliağa,1+1,23.000 TL,23000
Aliağa,2+1,25.000 TL,25000
Aliağa,2+1,75.000 TL,75000
Aliağa,3+1,38.500 TL,38500
Aliağa,3+1,60.000 TL,60000
Aliağa,2+1,34.000 TL,34000
Aliağa,3+1,45.000 TL,45000
Aliağa,2+1,30.000 TL,30000
Aliağa,3+1,40.000 TL,40000
Aliağa,3+1,300.000 TL,300000
Aliağa,3+1,37.000 TL,37000
Aliağa,1+1,30.000 TL,30000
Aliağa,2+1,26.000 TL,26000
Aliağa,1+1,28.000 TL,28000
Aliağa,3+1,35.000 TL,35000
Aliağa,3+1,22.000 TL,22000
Aliağa,4+1,35.000 TL,35000
Aliağa,2+1,29.000 TL,29000
Aliağa,4+0,120.000 TL,120000
Aliağa,4+1,60.000 TL,60000
