Unnamed: 0,District,Rooms,Price,PriceInt
3062,Menemen,2+1,20.000 TL,20000
3063,Selçuk,2+1,20.000 TL,20000
3064,Buca,2+0,20.000 TL,20000
3065,Karşıyaka,3+1,20.000 TL,20000
3066,Buca,1+1,20.000 TL,20000
3067,Buca,3+1,20.000 TL,20000
3068,Buca,2+0,20.000 TL,20000
3069,Seferihisar,1+1,20.000 TL,20000
3070,Çiğli,2+1,20.000 TL,20000
3071,Konak,2+1,20.000 TL,20000
3072,Bayraklı,1+1,20.000 TL,20000
3073,Torbalı,2+1,20.000 TL,20000
3074,Buca,1+1,20.000 TL,20000
3075,Balçova,Stüdyo (1+0),20.000 TL,20000
3076,Dikili,2+1,20.000 TL,20000
3077,Çiğli,1+1,20.000 TL,20000
3078,Bornova,Stüdyo (1+0),20.000 TL,20000
3079,Buca,2+1,20.000 TL,20000
3080,Bornova,Stüdyo (1+0),20.000 TL,20000
3081,Menemen,1+1,20.000 TL,20000
3082,Buca,1+1,20.000 TL,20000
3083,Buca,1+1,20.000 TL,20000
3084,Çiğli,2+1,20.000 TL,20000
3085,Bornova,2+1,20.000 TL,20000
3086,Menemen,2+1,20.000 TL,20000
3087,Bornova,1+1,20.000 TL,20000
3088,Seferihisar,1+1,20.000 TL,20000
3089,Buca,1+1,20.000 TL,20000
3090,Menemen,2+1,20.000 TL,20000
3091,Karabağlar,2+1,20.000 TL,20000
3092,Buca,2+1,20.000 TL,20000
3093,Buca,2+1,20.000 TL,20000
3094,Urla,2+1,20.000 TL,20000
3095,Buca,1+1,20.000 TL,20000
3096,Bornova,2+1,20.000 TL,20000
3097,Torbalı,2+1,20.000 TL,20000
3098,Torbalı,2+1,20.000 TL,20000
3099,Bergama,3+1,20.000 TL,20000
3100,Bergama,2+1,20.000 TL,20000
3101,Selçuk,3+1,20.000 TL,20000
3102,Torbalı,2+1,20.000 TL,20000
3103,Buca,2+1,20.000 TL,20000
3104,Menemen,1+1,20.000 TL,20000
3105,Foça,2+1,20.000 TL,20000
3106,Torbalı,2+1,20.000 TL,20000
3107,Buca,1+1,20.000 TL,20000
3108,Bornova,1+1,20.000 TL,20000
3109,Konak,1+1,20.000 TL,20000
3110,Buca,2+1,20.000 TL,20000
3111,Kemalpaşa,3+1,20.000 TL,20000
3112,Kemalpaşa,2+1,20.000 TL,20000
3113,Torbalı,1+1,20.000 TL,20000
3114,Buca,1+1,20.000 TL,20000
3115,Karabağlar,3+1,20.000 TL,20000
3116,Buca,1+1,20.000 TL,20000
3117,Ödemiş,1+1,20.000 TL,20000
3118,Buca,1+1,20.000 TL,20000
3119,Buca,1+1,20.000 TL,20000
3120,Seferihisar,1+1,20.000 TL,20000
3121,Buca,2+1,20.000 TL,20000
3122,Buca,1+1,20.000 TL,20000
3123,Ödemiş,2+1,20.000 TL,20000
3124,Buca,1+1,20.000 TL,20000
3125,Çiğli,1+1,20.000 TL,20000
3126,Çiğli,1+1,20.000 TL,20000
3127,Çiğli,1+1,20.000 TL,20000
3128,Buca,1+1,20.000 TL,20000
3129,Bornova,Stüdyo (1+0),20.000 TL,20000
3130,Konak,2+1,20.000 TL,20000
3131,Buca,1+1,20.000 TL,20000
3132,Karabağlar,3+1,20.000 TL,20000
3133,Buca,1+1,20.000 TL,20000
3134,Buca,2+1,20.000 TL,20000
3135,Buca,1+1,20.000 TL,20000
3136,Dikili,1+1,20.000 TL,20000
3137,Ödemiş,3+1,20.000 TL,20000
3138,Balçova,Stüdyo (1+0),20.000 TL,20000
3139,Karşıyaka,Stüdyo (1+0),20.000 TL,20000
3140,Seferihisar,1+1,20.000 TL,20000
3141,Bergama,2+1,20.000 TL,20000
3142,Bergama,2+1,20.000 TL,20000
3143,Buca,1+1,20.000 TL,20000
3144,Buca,2+1,20.000 TL,20000
3145,Bornova,1+1,20.000 TL,20000
3146,Buca,1+1,20.000 TL,20000
3147,Karabağlar,2+1,20.000 TL,20000
3148,Buca,2+1,20.000 TL,20000
3149,Buca,1+1,20.000 TL,20000
3150,Menemen,2+1,20.000 TL,20000
3151,Konak,2+1,20.000 TL,20000
3152,Çiğli,2+1,20.000 TL,20000
3153,Buca,1+1,20.000 TL,20000
3154,Buca,1+1,20.000 TL,20000
3155,Seferihisar,1+1,20.000 TL,20000
3156,Çiğli,2+1,20.000 TL,20000
3157,Buca,2+1,20.000 TL,20000
3158,Torbalı,2+1,20.000 TL,20000
3159,Bergama,3+1,20.000 TL,20000
3160,Bornova,2+1,20.000 TL,20000
3161,Çiğli,1+1,20.000 TL,20000
3162,Bergama,2+1,20.000 TL,20000
3163,Torbalı,3+1,20.000 TL,20000
3164,Bayraklı,1+1,20.000 TL,20000
3165,Buca,1+1,20.000 TL,20000
3166,Karabağlar,4+1,20.000 TL,20000
3167,Menemen,2+1,20.000 TL,20000
3168,Buca,2+1,20.000 TL,20000
3169,Karşıyaka,2+1,20.000 TL,20000
3170,Çiğli,1+1,20.000 TL,20000
3171,Bayraklı,3+1,20.000 TL,20000
3172,Torbalı,2+1,20.000 TL,20000
3173,Bornova,2+1,20.000 TL,20000
3174,Torbalı,1+1,20.000 TL,20000
3175,Buca,2+1,20.000 TL,20000
3176,Torbalı,3+1,20.000 TL,20000
3177,Çiğli,1+1,20.000 TL,20000
3178,Çiğli,3+1,20.000 TL,20000
3179,Torbalı,2+1,20.000 TL,20000
3180,Karabağlar,1+1,20.000 TL,20000
3181,Buca,2+1,20.000 TL,20000
3182,Bayraklı,3+1,20.000 TL,20000
3183,Bergama,2+1,20.000 TL,20000
3184,Çiğli,1+1,20.000 TL,20000
3185,Bornova,3+1,20.000 TL,20000
3186,Buca,1+1,20.000 TL,20000
3187,Buca,1+1,20.000 TL,20000
3188,Çiğli,1+1,20.000 TL,20000
3189,Torbalı,2+1,20.000 TL,20000
3190,Buca,1+1,20.000 TL,20000
3191,Buca,2+1,20.000 TL,20000
3192,Bornova,2+1,20.000 TL,20000
3193,Konak,3+1,20.000 TL,20000
3194,Konak,2+1,20.000 TL,20000
3195,Bornova,1+1,20.000 TL,20000
3196,Çiğli,1+1,20.000 TL,20000
3197,Menemen,2+1,20.000 TL,20000
3198,Kemalpaşa,1+1,20.000 TL,20000
3199,Buca,1+1,20.000 TL,20000
3200,Bornova,2+1,20.000 TL,20000
3201,Ödemiş,1+1,20.000 TL,20000
3202,Bornova,2+1,20.000 TL,20000
3203,Buca,1+1,20.000 TL,20000
3204,Buca,2+1,20.000 TL,20000
3205,Buca,2+1,20.000 TL,20000
3206,Buca,2+1,20.000 TL,20000
3207,Urla,1+1,20.000 TL,20000
3208,Urla,2+1,20.000 TL,20000
3209,Karabağlar,1+1,20.000 TL,20000
3210,Menemen,1+1,20.000 TL,20000
3211,Bayraklı,3+1,20.000 TL,20000
3212,Karşıyaka,1+1,20.000 TL,20000
3213,Tire,3+1,20.000 TL,20000
3214,Tire,1+1,20.000 TL,20000
3215,Seferihisar,1+1,20.000 TL,20000
3216,Buca,1+1,20.000 TL,20000
3217,Bornova,1+1,20.000 TL,20000
3218,Bergama,2+1,20.000 TL,20000
3219,Torbalı,2+1,20.000 TL,20000
3220,Buca,1+1,20.000 TL,20000
3221,Buca,1+1,20.000 TL,20000
3222,Menemen,1+1,20.000 TL,20000
3223,Torbalı,2+1,20.000 TL,20000
3224,Bayraklı,2+1,20.000 TL,20000
3225,Buca,2+1,20.000 TL,20000
3226,Buca,2+1,20.000 TL,20000
3227,Buca,1+1,20.000 TL,20000
3228,Karşıyaka,3+1,20.000 TL,20000
3229,Buca,2+1,20.000 TL,20000
3230,Karabağlar,3+1,20.000 TL,20000
3231,Çiğli,1+1,20.000 TL,20000
3232,Bornova,2+1,20.000 TL,20000
3233,Buca,2+1,20.000 TL,20000
3234,Buca,1+1,20.000 TL,20000
3235,Karabağlar,2+1,20.000 TL,20000
3236,Buca,1+1,20.000 TL,20000
3237,Menemen,2+1,20.000 TL,20000
3238,Torbalı,1+1,20.000 TL,20000
3239,Karşıyaka,3+1,20.000 TL,20000
3240,Karabağlar,2+1,20.000 TL,20000
3241,Seferihisar,2+1,20.000 TL,20000
3242,Torbalı,2+1,20.000 TL,20000
3243,Bornova,2+1,20.000 TL,20000
3244,Menemen,1+1,20.000 TL,20000
3245,Çiğli,1+1,20.000 TL,20000
3246,Urla,2+1,20.000 TL,20000
3247,Çiğli,Stüdyo (1+0),20.000 TL,20000
3248,Torbalı,2+1,20.000 TL,20000
3249,Buca,2+1,20.000 TL,20000
3250,Bornova,2+1,20.000 TL,20000
3251,Çiğli,2+1,20.000 TL,20000
3252,Selçuk,3+1,20.000 TL,20000
3253,Torbalı,3+1,20.000 TL,20000
3254,Karabağlar,1+1,20.000 TL,20000
3255,Menemen,1+1,20.000 TL,20000
3256,Konak,2+1,20.000 TL,20000
3257,Çiğli,1+1,20.000 TL,20000
3258,Karabağlar,2+1,20.000 TL,20000
3259,Bergama,3+1,20.000 TL,20000
3260,Buca,2+1,20.000 TL,20000
3261,Buca,3+1,20.000 TL,20000
3262,Buca,1+1,20.000 TL,20000
3263,Konak,3+1,20.000 TL,20000
3264,Buca,2+1,20.000 TL,20000
3265,Torbalı,3+1,20.000 TL,20000
3266,Buca,1+1,20.000 TL,20000
3267,Buca,2+1,20.000 TL,20000
3268,Bergama,2+1,20.000 TL,20000
3269,Bergama,3+1,20.000 TL,20000
3270,Buca,1+1,20.000 TL,20000
3271,Bayraklı,3+1,20.000 TL,20000
3272,Buca,1+1,20.000 TL,20000
3273,Karabağlar,2+1,20.000 TL,20000
3274,Seferihisar,2+1,20.000 TL,20000
3275,Buca,2+1,20.000 TL,20000
3276,Bayraklı,3+1,20.000 TL,20000
3277,Ödemiş,3+1,20.000 TL,20000
3278,Buca,1+1,20.000 TL,20000
3279,Torbalı,2+1,20.000 TL,20000
3280,Seferihisar,2+1,20.000 TL,20000
3281,Buca,2+1,20.000 TL,20000
3282,Menemen,2+1,20.000 TL,20000
3283,Buca,2+1,20.000 TL,20000
3284,Buca,1+1,20.000 TL,20000
3285,Bayraklı,3+1,20.000 TL,20000
3286,Menemen,3+1,20.000 TL,20000
3287,Buca,2+0,20.000 TL,20000
3288,Ödemiş,1+1,20.000 TL,20000
3289,Bornova,3+1,20.000 TL,20000
3290,Çiğli,2+1,20.000 TL,20000
3291,Çiğli,1+1,20.000 TL,20000
3292,Buca,2+0,20.000 TL,20000
3293,Ödemiş,3+1,20.000 TL,20000
3294,Buca,1+1,20.000 TL,20000
3295,Buca,2+1,20.000 TL,20000
3296,Bayraklı,3+1,20.000 TL,20000
3297,Bornova,2+1,20.000 TL,20000
3298,Karabağlar,1+1,20.000 TL,20000
3299,Buca,2+1,20.000 TL,20000
3300,Bayraklı,3+1,20.000 TL,20000
3301,Bayraklı,1+1,20.000 TL,20000
3302,Bornova,2+1,20.000 TL,20000
3303,Karabağlar,3+1,20.000 TL,20000
3304,Buca,1+1,20.000 TL,20000
3305,Karabağlar,3+1,20.000 TL,20000
3306,Çeşme,Stüdyo (1+0),20.000 TL,20000
3307,Karşıyaka,4+1,20.000 TL,20000
3308,Seferihisar,2+1,20.000 TL,20000
3309,Konak,3+1,20.000 TL,20000
3310,Bornova,2+1,20.000 TL,20000
3311,Torbalı,3+1,20.000 TL,20000
3312,Menemen,2+1,20.000 TL,20000
3313,Çiğli,1+1,20.000 TL,20000
3314,Buca,1+1,20.000 TL,20000
3315,Torbalı,2+1,20.000 TL,20000
3316,Bergama,3+1,20.000 TL,20000
3317,Gaziemir,2+1,20.000 TL,20000
3318,Menemen,2+0,20.000 TL,20000
3319,Torbalı,2+1,20.000 TL,20000
3320,Bornova,2+1,20.000 TL,20000
3321,Bornova,2+1,20.000 TL,20000
3322,Karabağlar,2+1,20.000 TL,20000
3323,Menemen,1+1,20.000 TL,20000
3324,Bornova,Stüdyo (1+0),20.000 TL,20000
3325,Bornova,3+1,20.000 TL,20000
3326,Bayraklı,2+1,20.000 TL,20000
3327,Torbalı,3+1,20.000 TL,20000
3328,Buca,1+1,20.000 TL,20000
3329,Menemen,1+1,20.000 TL,20000
3330,Ödemiş,4+1,20.000 TL,20000
3331,Buca,2+1,20.000 TL,20000
3332,Buca,1+1,20.000 TL,20000
3333,Menemen,1+1,20.000 TL,20000
3334,Buca,1+1,20.000 TL,20000
3335,Torbalı,3+1,20.000 TL,20000
3336,Bergama,1+1,20.000 TL,20000
3337,Bornova,1+1,20.000 TL,20000
3338,Aliağa,1+1,20.000 TL,20000
3339,Buca,2+1,20.000 TL,20000
3340,Buca,2+1,20.000 TL,20000
3341,Konak,2+1,20.000 TL,20000
3342,Menemen,1+1,20.000 TL,20000
3343,Ödemiş,3+1,20.000 TL,20000
3344,Gaziemir,2+1,20.000 TL,20000
3345,Bayraklı,2+1,20.000 TL,20000
3346,Buca,1+1,20.000 TL,20000
3347,Kemalpaşa,2+1,20.000 TL,20000
3348,Bayraklı,2+1,20.000 TL,20000
3349,Urla,2+1,20.000 TL,20000
3350,Bayraklı,2+1,20.000 TL,20000
3351,Bergama,2+1,20.000 TL,20000
3352,Karabağlar,3+1,20.000 TL,20000
3353,Buca,1+1,20.000 TL,20000
3354,Bornova,2+1,20.000 TL,20000
3355,Karabağlar,3+1,20.000 TL,20000
3356,Buca,1+1,20.000 TL,20000
3357,Bornova,2+1,20.000 TL,20000
3358,Torbalı,3+1,20.000 TL,20000
3359,Buca,2+1,20.000 TL,20000
3360,Torbalı,3+1,20.000 TL,20000
3361,Buca,2+1,20.000 TL,20000
3362,Buca,2+1,20.000 TL,20000
3363,Menemen,1+1,20.000 TL,20000
3364,Menemen,2+1,20.000 TL,20000
3365,Torbalı,2+1,20.000 TL,20000
3366,Torbalı,2+1,20.000 TL,20000
3367,Buca,2+1,20.000 TL,20000
3368,Torbalı,3+1,20.000 TL,20000
3369,Buca,1+1,20.000 TL,20000
3370,Gaziemir,2+1,20.000 TL,20000
3371,Konak,2+1,20.000 TL,20000
3372,Gaziemir,3+1,20.000 TL,20000
3373,Tire,3+1,20.000 TL,20000
3374,Torbalı,2+1,20.000 TL,20000
3375,Torbalı,3+1,20.000 TL,20000
3376,Menemen,1+1,20.000 TL,20000
3377,Seferihisar,2+1,20.000 TL,20000
3378,Buca,1+1,20.000 TL,20000
3379,Bornova,3+1,20.000 TL,20000
3380,Konak,1+1,20.000 TL,20000
3381,Buca,2+1,20.000 TL,20000
3382,Karabağlar,1+1,20.000 TL,20000
3383,Karabağlar,2+1,20.000 TL,20000
3384,Karabağlar,2+1,20.000 TL,20000
3385,Kiraz,3+1,20.000 TL,20000
3386,Buca,1+1,20.000 TL,20000
3387,Buca,1+1,20.000 TL,20000
3388,Seferihisar,2+1,20.000 TL,20000
3389,Ödemiş,3+1,20.000 TL,20000
3390,Konak,1+1,20.000 TL,20000
3391,Karabağlar,2+1,20.000 TL,20000
3392,Bornova,2+1,20.000 TL,20000
3393,Bornova,3+1,20.000 TL,20000
3394,Karaburun,2+1,20.000 TL,20000
3395,Seferihisar,1+1,20.000 TL,20000
3396,Karabağlar,3+1,20.000 TL,20000
3397,Buca,1+1,20.000 TL,20000
3398,Karaburun,2.5+1,20.000 TL,20000
3399,Karabağlar,3+1,20.000 TL,20000
3400,Ödemiş,2+1,20.000 TL,20000
3401,Menemen,3+1,20.000 TL,20000
3402,Buca,3+1,20.000 TL,20000
3403,Menemen,2+1,20.000 TL,20000
3404,Bergama,2+1,20.000 TL,20000
3405,Seferihisar,2+1,20.000 TL,20000
3406,Buca,2+1,20.000 TL,20000
3407,Bornova,Stüdyo (1+0),20.000 TL,20000
3408,Buca,2+1,20.000 TL,20000
3409,Buca,1+1,20.000 TL,20000
3410,Buca,1+1,20.000 TL,20000
3411,Çiğli,1+1,20.000 TL,20000
3412,Çiğli,1+1,20.000 TL,20000
3413,Bergama,2+1,20.000 TL,20000
3414,Buca,2+1,20.000 TL,20000
3415,Karabağlar,1+1,20.000 TL,20000
3416,Buca,2+1,20.000 TL,20000
3417,Buca,3+1,20.000 TL,20000
3418,Buca,2+1,20.000 TL,20000
3419,Karşıyaka,2+1,20.000 TL,20000
3420,Buca,3+1,20.000 TL,20000
3421,Bergama,2+1,20.000 TL,20000
3422,Aliağa,1+1,20.000 TL,20000
3423,Bornova,2+1,20.000 TL,20000
3424,Karabağlar,2+1,20.000 TL,20000
3425,Karabağlar,2+1,20.000 TL,20000
3426,Buca,1+1,20.000 TL,20000
3427,Tire,1+1,20.000 TL,20000
3428,Bayraklı,4+1,20.000 TL,20000
3429,Ödemiş,2.5+1,20.000 TL,20000
3430,Çiğli,1+1,20.000 TL,20000
3431,Buca,1+1,20.000 TL,20000
3432,Karabağlar,2+1,20.000 TL,20000
3433,Karabağlar,3+1,20.000 TL,20000
3434,Tire,3+1,20.000 TL,20000
3435,Buca,1+1,20.000 TL,20000
3436,Buca,2+1,20.000 TL,20000
3437,Buca,3+1,20.000 TL,20000
3438,Karabağlar,3+1,20.000 TL,20000
3439,Menemen,2+1,20.000 TL,20000
3440,Ödemiş,3+1,20.000 TL,20000
3441,Bornova,3+1,20.000 TL,20000
3442,Buca,3+1,20.000 TL,20000
3443,Ödemiş,3+1,20.000 TL,20000
3444,Menemen,2+1,20.000 TL,20000
3445,Konak,1+1,20.000 TL,20000
3446,Torbalı,2+1,20.000 TL,20000
3447,Torbalı,1+1,20.000 TL,20000
3448,Konak,2+1,20.000 TL,20000
3449,Buca,1+1,20.000 TL,20000
3450,Buca,1+1,20.000 TL,20000
3451,Karabağlar,2+1,20.000 TL,20000
3452,Foça,1+1,20.000 TL,20000
3453,Selçuk,2+1,20.000 TL,20000
3454,Seferihisar,1+1,20.000 TL,20000
3455,Torbalı,3+1,20.000 TL,20000
3456,Gaziemir,2+1,20.000 TL,20000
3457,Bornova,2+1,20.000 TL,20000
3458,Buca,1+1,20.000 TL,20000
3459,Çiğli,1+1,20.000 TL,20000
3460,Menemen,2+1,20.000 TL,20000
3461,Torbalı,1+1,20.000 TL,20000
3462,Menemen,3+1,20.000 TL,20000
3463,Bornova,3+1,20.000 TL,20000
3464,Bayraklı,2+1,20.000 TL,20000
3465,Buca,3+1,20.000 TL,20000
3466,Karabağlar,3+1,20.000 TL,20000
3467,Gaziemir,2+1,20.000 TL,20000
3468,Bornova,Stüdyo (1+0),20.000 TL,20000
3469,Buca,2+1,20.000 TL,20000
3470,Buca,1+1,20.000 TL,20000
3471,Karabağlar,2+1,20.000 TL,20000
3472,Urla,Stüdyo (1+0),20.000 TL,20000
3473,Buca,2+1,20.000 TL,20000
3474,Karabağlar,1+1,20.000 TL,20000
3475,Ödemiş,3+1,20.000 TL,20000
3476,Konak,2+1,20.000 TL,20000
3477,Karşıyaka,3+1,20.000 TL,20000
3478,Buca,1+1,20.000 TL,20000
3479,Karşıyaka,1+1,20.000 TL,20000
3480,Konak,2+1,20.000 TL,20000
3481,Gaziemir,1+1,20.000 TL,20000
3482,Çiğli,1+1,20.000 TL,20000
3483,Torbalı,2+1,20.000 TL,20000
3484,Ödemiş,4+1,20.000 TL,20000
3485,Buca,2+1,20.000 TL,20000
3486,Torbalı,2+1,20.000 TL,20000
3487,Menemen,2+1,20.000 TL,20000
3488,Buca,1+1,20.000 TL,20000
3489,Buca,1+1,20.000 TL,20000
3490,Foça,2+1,20.000 TL,20000
3491,Bergama,2+1,20.000 TL,20000
3492,Buca,3+1,20.000 TL,20000
3493,Menemen,2+1,20.000 TL,20000
3494,Torbalı,3+1,20.000 TL,20000
3495,Karşıyaka,2+1,20.000 TL,20000
3496,Çiğli,2+1,20.000 TL,20000
3497,Buca,1+1,20.000 TL,20000
3498,Çiğli,1+1,20.000 TL,20000
3499,Torbalı,1+1,20.000 TL,20000
3500,Tire,3+1,20.000 TL,20000
3501,Buca,2+1,20.000 TL,20000
3502,Karabağlar,2+1,20.000 TL,20000
3503,Buca,2+1,20.000 TL,20000
3504,Buca,1+1,20.000 TL,20000
3505,Menemen,1+1,20.000 TL,20000
3506,Torbalı,1+1,20.000 TL,20000
3507,Konak,2+1,20.000 TL,20000
3508,Karabağlar,1+1,20.000 TL,20000
3509,Aliağa,3+1,20.000 TL,20000
3510,Bergama,1+1,20.000 TL,20000
3511,Buca,2+1,20.000 TL,20000
3512,Buca,1+1,20.000 TL,20000
3513,Buca,2+1,20.000 TL,20000
3514,Buca,2+1,20.000 TL,20000
3515,Torbalı,1+1,20.000 TL,20000
3516,Buca,2+1,20.000 TL,20000
3517,Bornova,3+1,20.000 TL,20000
3518,Dikili,1+1,20.000 TL,20000
3519,Torbalı,1+1,20.000 TL,20000
3520,Çiğli,1+1,20.000 TL,20000
3521,Buca,1+1,20.000 TL,20000
3522,Buca,1+1,20.000 TL,20000
3523,Buca,1+1,20.000 TL,20000
3524,Buca,2+1,20.000 TL,20000
3525,Çiğli,1+1,20.000 TL,20000
3526,Bornova,3+1,20.000 TL,20000
3527,Konak,1+1,20.000 TL,20000
3528,Karabağlar,2+1,20.000 TL,20000
3529,Menemen,1+1,20.000 TL,20000
3530,Urla,2+1,20.000 TL,20000
3531,Bergama,2+1,20.000 TL,20000
3532,Menemen,1+1,20.000 TL,20000
3533,Buca,1+1,20.000 TL,20000
3534,Buca,2+1,20.000 TL,20000
3535,Karşıyaka,3+1,20.000 TL,20000
3536,Buca,2+1,20.000 TL,20000
3537,Bornova,2+1,20.000 TL,20000
3538,Torbalı,2+1,20.000 TL,20000
3539,Bornova,3+1,20.000 TL,20000
3540,Menderes,3+1,20.000 TL,20000
3541,Aliağa,3+1,20.000 TL,20000
3542,Kemalpaşa,2+1,20.000 TL,20000
3543,Çiğli,2+1,20.000 TL,20000
3544,Torbalı,3+1,20.000 TL,20000
3545,Gaziemir,2+1,20.000 TL,20000
3546,Bayraklı,2+1,20.000 TL,20000
3547,Torbalı,2+1,20.000 TL,20000
3548,Menemen,1+1,20.000 TL,20000
3549,Aliağa,1+1,20.000 TL,20000
3550,Karabağlar,3+1,20.000 TL,20000
3551,Menemen,2+1,20.000 TL,20000
3552,Çiğli,1+1,20.000 TL,20000
3553,Buca,1+1,20.000 TL,20000
3554,Bayraklı,2+1,20.000 TL,20000
3555,Buca,1+1,20.000 TL,20000
3556,Bayraklı,1+1,20.000 TL,20000
3557,Konak,1+1,20.000 TL,20000
3558,Aliağa,2+1,20.000 TL,20000
3559,Buca,2+1,20.000 TL,20000
3560,Bayraklı,2+1,20.000 TL,20000
3561,Buca,1+1,20.000 TL,20000
3562,Buca,2+1,20.000 TL,20000
3563,Konak,2+1,20.000 TL,20000
3564,Buca,2+1,20.000 TL,20000
3565,Ödemiş,3+1,20.000 TL,20000
3566,Seferihisar,1+1,20.000 TL,20000
3567,Bayraklı,2+1,20.000 TL,20000
3568,Menemen,1+1,20.000 TL,20000
3569,Karabağlar,1+1,20.000 TL,20000
3570,Buca,2+1,20.000 TL,20000
3571,Çiğli,2+1,20.000 TL,20000
3572,Bayraklı,2+1,20.000 TL,20000
3573,Bornova,2+1,20.000 TL,20000
3574,Karabağlar,3+1,20.000 TL,20000
3575,Menemen,3+1,20.000 TL,20000
3576,Bayraklı,3+1,20.000 TL,20000
3577,Urla,Stüdyo (1+0),20.000 TL,20000
3578,Torbalı,2+1,20.000 TL,20000
3579,Menemen,1+1,20.000 TL,20000
3580,Çiğli,1+1,20.000 TL,20000
3581,Ödemiş,4+1,20.000 TL,20000
3582,Çeşme,2+1,20.000 TL,20000
3583,Bergama,2+1,20.000 TL,20000
3584,Buca,1+1,20.000 TL,20000
3585,Bornova,2+1,20.000 TL,20000
3586,Karabağlar,2+1,20.000 TL,20000
3587,Buca,2+1,20.000 TL,20000
3588,Torbalı,3+1,20.000 TL,20000
3589,Buca,2+1,20.000 TL,20000
3590,Ödemiş,2+1,20.000 TL,20000
3591,Karabağlar,2+1,20.000 TL,20000
3592,Torbalı,2+1,20.000 TL,20000
3593,Buca,2+1,20.000 TL,20000
3594,Torbalı,1+1,20.000 TL,20000
3595,Buca,2+1,20.000 TL,20000
3596,Bornova,2+0,20.000 TL,20000
3597,Buca,2+0,20.000 TL,20000
3598,Buca,3+1,20.000 TL,20000
3599,Buca,2+1,20.000 TL,20000
3600,Buca,1+1,20.000 TL,20000
3601,Buca,1+1,20.000 TL,20000
3602,Çiğli,3+1,20.000 TL,20000
3603,Bornova,2+1,20.000 TL,20000
3604,Menemen,2+1,20.000 TL,20000
3605,Torbalı,1+1,20.000 TL,20000
3606,Karşıyaka,1+1,20.000 TL,20000
3607,Buca,2+0,20.000 TL,20000
3608,Seferihisar,2+1,20.000 TL,20000
3609,Aliağa,2+1,20.000 TL,20000
3610,Ödemiş,3+1,20.000 TL,20000
3611,Ödemiş,3+1,20.000 TL,20000
3612,Bayraklı,3+1,20.000 TL,20000
3613,Çiğli,1+1,20.000 TL,20000
3614,Menemen,1+1,20.000 TL,20000
3615,Çiğli,1+1,20.000 TL,20000
3616,Tire,2+1,20.000 TL,20000
3617,Torbalı,2+1,20.000 TL,20000
3618,Aliağa,1+1,20.000 TL,20000
3619,Gaziemir,1+1,20.000 TL,20000
3620,Karabağlar,2+1,20.000 TL,20000
3621,Buca,1+1,20.000 TL,20000
3622,Buca,2+1,20.000 TL,20000
3623,Konak,3+1,20.000 TL,20000
3624,Bayraklı,2+1,20.000 TL,20000
3625,Buca,1+1,20.000 TL,20000
3626,Tire,2+1,20.000 TL,20000
3627,Torbalı,2+1,20.000 TL,20000
3628,Karabağlar,3+1,20.000 TL,20000
3629,Menemen,2+1,20.000 TL,20000
3630,Buca,2+1,20.000 TL,20000
3631,Bayraklı,2+1,20.000 TL,20000
3632,Torbalı,1+1,20.000 TL,20000
3633,Bergama,2+1,20.000 TL,20000
3634,Seferihisar,1+1,20.000 TL,20000
3635,Menemen,1+1,20.000 TL,20000
3636,Torbalı,2+1,20.000 TL,20000
3637,Buca,2+1,20.000 TL,20000
3638,Karabağlar,2+1,20.000 TL,20000
3639,Urla,Stüdyo (1+0),20.000 TL,20000
3640,Buca,2+1,20.000 TL,20000
3641,Buca,2+1,20.000 TL,20000
3642,Menemen,1+1,20.000 TL,20000
3643,Menemen,2+1,20.000 TL,20000
3644,Buca,1+1,20.000 TL,20000
3645,Buca,1+1,20.000 TL,20000
3646,Buca,2+1,20.000 TL,20000
3647,Karabağlar,3+1,20.000 TL,20000
3648,Karabağlar,2+1,20.000 TL,20000
3649,Ödemiş,2+1,20.000 TL,20000
3650,Karabağlar,2+1,20.000 TL,20000
3651,Tire,2+1,20.000 TL,20000
3652,Karabağlar,2+1,20.000 TL,20000
3653,Karabağlar,2+1,20.000 TL,20000
3654,Kemalpaşa,3+1,20.000 TL,20000
3655,Çiğli,1+1,20.000 TL,20000
3656,Buca,1+1,20.000 TL,20000
3657,Seferihisar,1+1,20.000 TL,20000
3658,Buca,2+1,20.000 TL,20000
3659,Buca,1+1,20.000 TL,20000
3660,Buca,1+1,20.000 TL,20000
3661,Bornova,Stüdyo (1+0),20.000 TL,20000
3662,Karabağlar,3+1,20.000 TL,20000
3663,Buca,1+1,20.000 TL,20000
3664,Foça,3+1,20.000 TL,20000
3665,Buca,2+1,20.000 TL,20000
3666,Karabağlar,3+1,20.000 TL,20000
3667,Karabağlar,3+1,20.000 TL,20000
3668,Buca,3+1,20.000 TL,20000
3669,Foça,2+1,20.000 TL,20000
3670,Buca,3+1,20.000 TL,20000
3671,Buca,1+1,20.000 TL,20000
3672,Menemen,3+1,20.000 TL,20000
3673,Buca,1+1,20.000 TL,20000
3674,Buca,2+1,20.000 TL,20000
3675,Buca,2+1,20.000 TL,20000
3676,Seferihisar,1+1,20.000 TL,20000
3677,Karabağlar,2+1,20.000 TL,20000
3678,Seferihisar,1+1,20.000 TL,20000
3679,Buca,2+1,20.000 TL,20000
3680,Selçuk,1+1,20.000 TL,20000
3681,Karabağlar,2+1,20.000 TL,20000
