Unnamed: 0,District,Rooms,Price,PriceInt
191,Buca,Stüdyo (1+0),13.000 TL,13000
192,Gaziemir,1.5+1,13.500 TL,13500
193,Tire,2+1,13.000 TL,13000
194,Buca,1+1,13.000 TL,13000
195,Buca,1+1,12.000 TL,12000
196,Torbalı,3+1,14.000 TL,14000
197,Bornova,2+1,13.000 TL,13000
198,Buca,1+1,14.500 TL,14500
199,Bayraklı,2+1,14.000 TL,14000
200,Bayraklı,2+1,11.000 TL,11000
201,Buca,1+1,12.500 TL,12500
202,Bergama,2+1,12.000 TL,12000
203,Bergama,1+1,10.000 TL,10000
204,Menemen,1+1,13.250 TL,13250
205,Menemen,1+1,13.500 TL,13500
206,Konak,3+1,11.000 TL,11000
207,Menemen,1+1,14.000 TL,14000
208,Ödemiş,3+1,13.000 TL,13000
209,Buca,Stüdyo (1+0),10.000 TL,10000
210,Menemen,Stüdyo (1+0),13.500 TL,13500
211,Menemen,1+1,14.000 TL,14000
212,Menemen,1+1,14.750 TL,14750
213,Karabağlar,3+1,13.500 TL,13500
214,Buca,1+1,14.750 TL,14750
215,Buca,1+1,12.000 TL,12000
216,Karşıyaka,2+1,14.000 TL,14000
217,Buca,1+1,13.000 TL,13000
218,Bornova,2+1,11.000 TL,11000
219,Menemen,1+1,14.000 TL,14000
220,Bayraklı,2+1,12.000 TL,12000
221,Torbalı,3+1,14.250 TL,14250
222,Buca,1+1,12.500 TL,12500
223,Bornova,3+1,12.000 TL,12000
224,Konak,1+1,10.000 TL,10000
225,Menemen,1+1,14.950 TL,14950
226,Bornova,1+1,14.000 TL,14000
227,Buca,2+1,12.000 TL,12000
228,Buca,1+1,12.000 TL,12000
229,Buca,1+1,13.000 TL,13000
230,Buca,2+0,11.000 TL,11000
231,Menemen,1+1,13.500 TL,13500
232,Menemen,1+1,12.500 TL,12500
233,Karabağlar,2+1,14.000 TL,14000
234,Buca,1+1,14.500 TL,14500
235,Karabağlar,2+1,13.500 TL,13500
236,Buca,1+1,14.000 TL,14000
237,Bayraklı,2+1,14.500 TL,14500
238,Karabağlar,Stüdyo (1+0),10.000 TL,10000
239,Menemen,1+1,14.000 TL,14000
240,Buca,Stüdyo (1+0),12.000 TL,12000
241,Karabağlar,2+1,13.000 TL,13000
242,Bornova,2+1,11.000 TL,11000
243,Selçuk,1+1,12.000 TL,12000
244,Bornova,1+1,12.500 TL,12500
245,Torbalı,2+1,13.000 TL,13000
246,Menemen,1+1,13.000 TL,13000
247,Urla,3+1,10.000 TL,10000
248,Menemen,1+1,13.000 TL,13000
249,Torbalı,3+1,14.500 TL,14500
250,Gaziemir,2+1,13.000 TL,13000
251,Menemen,1+1,14.000 TL,14000
252,Bornova,2+1,13.500 TL,13500
253,Menemen,1+1,14.000 TL,14000
254,Bayraklı,3+1,14.000 TL,14000
255,Ödemiş,2+1,13.000 TL,13000
256,Menemen,1+1,12.000 TL,12000
257,Karabağlar,3+1,14.500 TL,14500
258,Menemen,1+1,14.500 TL,14500
259,Karşıyaka,1+1,13.000 TL,13000
260,Karabağlar,1+1,13.000 TL,13000
261,Konak,1+1,10.000 TL,10000
262,Bergama,2+1,13.000 TL,13000
263,Bornova,Stüdyo (1+0),14.000 TL,14000
264,Urla,1+1,12.000 TL,12000
265,Bayraklı,2+1,11.000 TL,11000
266,Bayraklı,2+1,12.000 TL,12000
267,Menemen,1+1,13.500 TL,13500
268,Karabağlar,2+1,14.500 TL,14500
269,Bornova,2+1,10.000 TL,10000
270,Bayraklı,3+1,14.000 TL,14000
271,Ödemiş,1+1,13.000 TL,13000
272,Bayraklı,2+1,14.000 TL,14000
273,Buca,2+1,14.000 TL,14000
274,Ödemiş,2+1,12.500 TL,12500
275,Menemen,1+1,14.000 TL,14000
276,Çiğli,1+1,13.000 TL,13000
277,Karabağlar,2+1,12.500 TL,12500
278,Gaziemir,3+1,14.000 TL,14000
279,Konak,Stüdyo (1+0),11.500 TL,11500
280,Buca,1+1,14.500 TL,14500
281,Menemen,1+1,13.500 TL,13500
282,Konak,1+1,10.000 TL,10000
283,Buca,Stüdyo (1+0),13.000 TL,13000
284,Ödemiş,1+1,13.000 TL,13000
285,Karabağlar,1+1,12.000 TL,12000
286,Buca,1+1,13.000 TL,13000
287,Bergama,3+1,13.000 TL,13000
288,Torbalı,1+1,10.000 TL,10000
289,Buca,1+1,14.500 TL,14500
290,Bornova,2+1,14.000 TL,14000
291,Torbalı,2+0,14.000 TL,14000
292,Dikili,4+1,10.000 TL,10000
293,Buca,1+1,14.500 TL,14500
294,Buca,1+1,14.500 TL,14500
295,Torbalı,1+1,13.000 TL,13000
296,Menemen,1+1,14.000 TL,14000
297,Menemen,1+1,12.500 TL,12500
298,Menemen,1+1,14.500 TL,14500
299,Menemen,1+1,13.000 TL,13000
300,Ödemiş,2+1,13.000 TL,13000
301,Bornova,2+1,12.000 TL,12000
302,Menemen,1+1,14.000 TL,14000
303,Buca,2+0,14.000 TL,14000
304,Buca,2+1,12.000 TL,12000
305,Buca,1+1,14.999 TL,14999
306,Bayraklı,2+1,14.000 TL,14000
307,Karabağlar,2+1,14.000 TL,14000
308,Buca,2+1,13.000 TL,13000
309,Menemen,1+1,14.250 TL,14250
310,Buca,3+1,13.000 TL,13000
311,Bornova,1+1,14.000 TL,14000
312,Menemen,2+1,10.500 TL,10500
313,Menemen,1+1,14.000 TL,14000
314,Karabağlar,2+1,10.000 TL,10000
315,Buca,3+1,13.000 TL,13000
316,Buca,Stüdyo (1+0),10.000 TL,10000
317,Tire,2+1,13.000 TL,13000
318,Menemen,1+1,14.500 TL,14500
319,Menemen,1+1,13.000 TL,13000
320,Buca,2+1,14.000 TL,14000
321,Buca,2+1,13.000 TL,13000
322,Menemen,1+1,14.000 TL,14000
323,Menemen,1+1,12.500 TL,12500
324,Karabağlar,2+1,12.000 TL,12000
325,Karabağlar,2+1,13.000 TL,13000
326,Menemen,1+1,14.000 TL,14000
327,Menemen,1+1,13.000 TL,13000
328,Bayraklı,3+1,14.000 TL,14000
329,Buca,1+1,14.500 TL,14500
330,Karabağlar,2+1,13.000 TL,13000
331,Çiğli,Stüdyo (1+0),14.000 TL,14000
332,Konak,Stüdyo (1+0),14.000 TL,14000
333,Buca,1+1,14.500 TL,14500
334,Bornova,3+1,13.000 TL,13000
335,Menemen,1+1,13.000 TL,13000
336,Konak,Stüdyo (1+0),12.000 TL,12000
337,Konak,1+1,11.000 TL,11000
338,Urla,1+1,14.000 TL,14000
339,Bornova,Stüdyo (1+0),12.000 TL,12000
340,Buca,3+1,10.000 TL,10000
341,Bornova,2+1,10.000 TL,10000
342,Tire,2+1,14.000 TL,14000
343,Menemen,1+1,13.500 TL,13500
344,Çiğli,2+1,14.000 TL,14000
345,Konak,1+1,13.000 TL,13000
346,Bayraklı,2+1,13.000 TL,13000
347,Bayraklı,3+1,12.500 TL,12500
348,Bornova,2+1,14.000 TL,14000
349,Bayraklı,2+1,12.000 TL,12000
350,Buca,1+1,11.500 TL,11500
351,Karşıyaka,3+1,14.500 TL,14500
352,Menemen,1+1,13.000 TL,13000
353,Konak,2+1,13.000 TL,13000
354,Konak,1+1,14.000 TL,14000
355,Karabağlar,1+1,10.000 TL,10000
356,Menemen,1+1,14.000 TL,14000
357,Bornova,2+1,13.500 TL,13500
358,Karabağlar,2+1,10.000 TL,10000
359,Bayraklı,2+1,13.000 TL,13000
360,Buca,Stüdyo (1+0),12.500 TL,12500
361,Bayraklı,3+1,13.000 TL,13000
362,Menemen,1+1,12.000 TL,12000
363,Menemen,1+1,14.000 TL,14000
364,Menemen,1+1,13.750 TL,13750
365,Buca,2+1,14.500 TL,14500
366,Ödemiş,2+1,13.000 TL,13000
367,Bornova,3+1,14.000 TL,14000
368,Ödemiş,2+1,13.500 TL,13500
369,Bornova,1+1,13.000 TL,13000
370,Menemen,1+1,14.500 TL,14500
371,Menemen,1+1,13.000 TL,13000
372,Buca,2+1,14.000 TL,14000
373,Bornova,3+1,10.000 TL,10000
374,Buca,1+1,14.000 TL,14000
375,Kiraz,1+1,10.000 TL,10000
376,Bayraklı,2+1,12.000 TL,12000
377,Buca,2+1,14.500 TL,14500
378,Buca,Stüdyo (1+0),14.000 TL,14000
379,Konak,2+1,11.000 TL,11000
380,Karabağlar,2.5+1,13.000 TL,13000
381,Menemen,2+1,12.500 TL,12500
382,Menemen,1+1,14.000 TL,14000
383,Menemen,1+1,12.500 TL,12500
384,Ödemiş,2+1,12.000 TL,12000
385,Buca,Stüdyo (1+0),11.500 TL,11500
386,Menemen,1+1,14.000 TL,14000
387,Ödemiş,2+1,14.000 TL,14000
388,Buca,1+1,14.500 TL,14500
389,Konak,2+1,11.000 TL,11000
390,Bayraklı,2+1,12.000 TL,12000
391,Gaziemir,2+0,14.000 TL,14000
392,Tire,2+1,10.000 TL,10000
393,Buca,1+1,14.000 TL,14000
394,Torbalı,1+1,14.500 TL,14500
395,Buca,2+1,12.000 TL,12000
396,Bayraklı,2+1,10.000 TL,10000
397,Konak,2+1,12.000 TL,12000
398,Bornova,2+0,12.000 TL,12000
399,Menemen,1+1,14.500 TL,14500
400,Buca,Stüdyo (1+0),10.000 TL,10000
401,Menemen,1+1,12.750 TL,12750
402,Bayraklı,2+1,14.000 TL,14000
403,Buca,2+1,13.000 TL,13000
404,Torbalı,2+1,14.000 TL,14000
405,Menemen,1+1,14.000 TL,14000
406,Bayraklı,2+1,14.000 TL,14000
407,Bornova,1+1,10.000 TL,10000
408,Kiraz,2+1,13.000 TL,13000
409,Ödemiş,3+1,13.000 TL,13000
410,Karabağlar,2+1,12.500 TL,12500
411,Menemen,1+1,14.000 TL,14000
412,Kiraz,3+1,12.500 TL,12500
413,Çeşme,4+1,10.000 TL,10000
414,Menemen,2+1,13.000 TL,13000
415,Bayraklı,2+1,12.500 TL,12500
416,Karabağlar,2+1,11.000 TL,11000
417,Bornova,2+1,14.000 TL,14000
418,Buca,2+1,14.000 TL,14000
419,Karabağlar,1+1,10.000 TL,10000
420,Ödemiş,2+1,11.500 TL,11500
421,Bornova,3+1,11.000 TL,11000
422,Bornova,2+1,10.000 TL,10000
423,Selçuk,1+1,12.000 TL,12000
424,Buca,Stüdyo (1+0),13.000 TL,13000
425,Konak,1+1,10.000 TL,10000
426,Bornova,1+1,12.000 TL,12000
427,Balçova,3+1,10.000 TL,10000
428,Karabağlar,2+1,10.000 TL,10000
429,Bornova,1+1,12.000 TL,12000
430,Bayraklı,3+1,14.000 TL,14000
431,Menemen,1+1,13.000 TL,13000
432,Menemen,1+1,14.500 TL,14500
433,Aliağa,2+1,10.000 TL,10000
434,Menemen,1+1,14.000 TL,14000
435,Bornova,1+1,13.000 TL,13000
436,Konak,1+1,12.500 TL,12500
437,Bayraklı,2+1,10.000 TL,10000
