District,Neighborhood,Rooms,Price,PriceInt
Aliağa,Aliağa / Siteler Mah.,1+1,26.000 TL,26000
Aliağa,Aliağa / Kazım Dirik Mh.,2+1,20.500 TL,20500
Aliağa,Aliağa / Atatürk Mh.,2+1,25.000 TL,25000
Aliağa,Aliağa / Şakran Sayfiye Mh.,4+2,50.000 TL,50000
Aliağa,Aliağa / Örnekkent Mh.,3+1,30.000 TL,30000
Aliağa,Aliağa / Yeni Mah.,3+1,22.500 TL,22500
Aliağa,Aliağa / Kurtuluş Mh.,2+1,28.000 TL,28000
Aliağa,Aliağa / Siteler Mah.,3+1,45.000 TL,45000
Aliağa,Aliağa / Siteler Mah.,2+1,30.000 TL,30000
Aliağa,Aliağa / Kazım Dirik Mh.,2+1,28.500 TL,28500
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,3+1,40.000 TL,40000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,20.000 TL,20000
Aliağa,Aliağa / Siteler Mah.,1+1,28.000 TL,28000
Aliağa,Aliağa / Yeni Mah.,3+1,26.000 TL,26000
Aliağa,Aliağa / Siteler Mah.,3+1,40.000 TL,40000
Aliağa,Aliağa / Kültür Mh.,2+1,34.000 TL,34000
Aliağa,Helvacı / B. Hayrettin Paşa Mh.,1+1,19.000 TL,19000
Aliağa,Aliağa / Şakran Sayfiye Mh.,3+1,110.000 TL,110000
Aliağa,Köyler / Çakmaklı Mh.,2+1,26.000 TL,26000
Aliağa,Aliağa / Yeni Mah.,3+1,35.000 TL,35000
Aliağa,Aliağa / Yeni Mah.,3+1,9.500 TL,9500
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,25.000 TL,25000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,16.000 TL,16000
Aliağa,Aliağa / Örnekkent Mh.,2+1,25.000 TL,25000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,30.000 TL,30000
Aliağa,Aliağa / Siteler Mah.,3+1,58.000 TL,58000
Aliağa,Aliağa / Yeni Mah.,1+1,25.000 TL,25000
Aliağa,Aliağa / Yeni Mah.,2+1,19.000 TL,19000
Aliağa,Aliağa / Örnekkent Mh.,2+1,24.000 TL,24000
Aliağa,Helvacı / B. Hayrettin Paşa Mh.,1+1,19.000 TL,19000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,30.000 TL,30000
Aliağa,Aliağa / Kurtuluş Mh.,1+1,22.000 TL,22000
Aliağa,Aliağa / Siteler Mah.,1+1,30.000 TL,30000
Aliağa,Köyler / Çakmaklı Mh.,2+1,35.000 TL,35000
Aliağa,Aliağa / Atatürk Mh.,3+1,28.000 TL,28000
Aliağa,Aliağa / Siteler Mah.,3+1,40.000 TL,40000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,17.500 TL,17500
Aliağa,Aliağa / Yeni Mah.,3+1,23.000 TL,23000
Aliağa,Aliağa / Yeni Mah.,2+1,25.000 TL,25000
Aliağa,Aliağa / Yeni Mah.,3+1,50.000 TL,50000
Aliağa,Aliağa / Siteler Mah.,3+1,45.000 TL,45000
Aliağa,Aliağa / Siteler Mah.,2+1,35.000 TL,35000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,2+1,26.000 TL,26000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,2+1,35.000 TL,35000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,3+1,35.000 TL,35000
Aliağa,Aliağa / Atatürk Mh.,1+1,30.000 TL,30000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,33.500 TL,33500
Aliağa,Aliağa / Yeni Mah.,3+1,40.000 TL,40000
Aliağa,Aliağa / Kültür Mh.,1+1,25.000 TL,25000
Aliağa,Helvacı / B. Hayrettin Paşa Mh.,1+1,19.000 TL,19000
Aliağa,Aliağa / Kültür Mh.,3+1,25.000 TL,25000
Aliağa,Aliağa / Kurtuluş Mh.,1+1,23.000 TL,23000
Aliağa,Aliağa / Yalı Mh.,4+1,47.000 TL,47000
Aliağa,Aliağa / Siteler Mah.,1+1,26.000 TL,26000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,2+0,26.000 TL,26000
Aliağa,Aliağa / Kazım Dirik Mh.,2+1,19.500 TL,19500
Aliağa,Aliağa / Yalı Mh.,2+1,35.000 TL,35000
Aliağa,Aliağa / Yalı Mh.,2+1,35.000 TL,35000
Aliağa,Aliağa / Siteler Mah.,2+1,40.000 TL,40000
Aliağa,Aliağa / Şakran Sayfiye Mh.,2+1,45.000 TL,45000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,2+1,30.000 TL,30000
Aliağa,Aliağa / Siteler Mah.,1+1,32.000 TL,32000
Aliağa,Aliağa / Yeni Mah.,1+1,58.000 TL,58000
Aliağa,Aliağa / Kültür Mh.,1+1,26.000 TL,26000
Aliağa,Aliağa / Yalı Mh.,3+1,50.000 TL,50000
Aliağa,Aliağa / Kültür Mh.,3+1,30.000 TL,30000
Aliağa,Helvacı / B. Hayrettin Paşa Mh.,1+1,19.000 TL,19000
Aliağa,Aliağa / Kültür Mh.,2+1,25.000 TL,25000
Aliağa,Aliağa / Şakran Sayfiye Mh.,4+1,31.000 TL,31000
Aliağa,Aliağa / Yalı Mh.,2+1,75.000 TL,75000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,28.000 TL,28000
Aliağa,Aliağa / Siteler Mah.,1+1,23.000 TL,23000
Aliağa,Aliağa / Atatürk Mh.,2+1,14.000 TL,14000
Aliağa,Aliağa / Kültür Mh.,3+1,20.000 TL,20000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,30.000 TL,30000
Aliağa,Helvacı / B. Hayrettin Paşa Mh.,1+1,19.000 TL,19000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,25.000 TL,25000
Aliağa,Aliağa / Yeni Mah.,3+1,22.000 TL,22000
Aliağa,Aliağa / Yeni Mah.,4+1,35.000 TL,35000
Aliağa,Aliağa / Kurtuluş Mh.,1+1,22.000 TL,22000
Aliağa,Aliağa / Kültür Mh.,3+1,25.000 TL,25000
Aliağa,Aliağa / Şakran Sayfiye Mh.,4+1,60.000 TL,60000
Aliağa,Aliağa / Şakran Sayfiye Mh.,4+0,120.000 TL,120000
Aliağa,Aliağa / Siteler Mah.,1+1,20.150 TL,20150
Aliağa,Aliağa / Yalı Mh.,3+1,45.000 TL,45000
Aliağa,Aliağa / Kazım Dirik Mh.,2+1,19.000 TL,19000
Aliağa,Aliağa / Kültür Mh.,3+1,38.000 TL,38000
Aliağa,Aliağa / Yalı Mh.,3+1,45.000 TL,45000
Aliağa,Aliağa / Kültür Mh.,3+1,40.000 TL,40000
Aliağa,Aliağa / Kazım Dirik Mh.,2+1,25.000 TL,25000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,28.000 TL,28000
Aliağa,Aliağa / Kurtuluş Mh.,3+1,35.000 TL,35000
Aliağa,Aliağa / Kültür Mh.,2+1,18.500 TL,18500
Aliağa,Aliağa / Atatürk Mh.,3+1,35.000 TL,35000
Aliağa,Aliağa / Yeni Mah.,1+1,27.000 TL,27000
Aliağa,Köyler / Çakmaklı Mh.,2+1,20.000 TL,20000
Aliağa,Aliağa / Kültür Mh.,2+1,35.000 TL,35000
Aliağa,Aliağa / Kurtuluş Mh.,3+1,25.000 TL,25000
Aliağa,Aliağa / Siteler Mah.,1+1,23.000 TL,23000
Aliağa,Aliağa / Kurtuluş Mh.,3+1,23.000 TL,23000
Aliağa,Aliağa / Yeni Mah.,3+1,35.000 TL,35000
Aliağa,Aliağa / Siteler Mah.,1+1,25.000 TL,25000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,18.500 TL,18500
Aliağa,Aliağa / Yalı Mh.,3+1,50.000 TL,50000
Aliağa,Köyler / Kalabak Mh.,3+1,15.000 TL,15000
Aliağa,Aliağa / Şakran Sayfiye Mh.,4+1,27.000 TL,27000
Aliağa,Aliağa / Siteler Mah.,1+1,23.000 TL,23000
Aliağa,Aliağa / Siteler Mah.,1+1,30.000 TL,30000
Aliağa,Aliağa / Siteler Mah.,2+1,35.000 TL,35000
Aliağa,Aliağa / Örnekkent Mh.,2+1,22.500 TL,22500
Aliağa,Aliağa / Siteler Mah.,3+1,46.500 TL,46500
Aliağa,Aliağa / Şakran Sayfiye Mh.,4+1,46.000 TL,46000
