District,Rooms,Price,unit_id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
AkdereMutlu Mah.,3+1,23083.333333333332,AkdereMutlu Mah._3+1,04,-1.773049645390076,0.6053268765133083,1.8569589998161373,0.6607201850016539
AkdereMutlu Mah.,4+1,30000.0,AkdereMutlu Mah._4+1,04,0.0,0.0,-7.216494845360821,-9.090909090909092
AkderePeyami Safa Mh.,1+1,25000.0,AkderePeyami Safa Mh._1+1,04,0.0,0.0,0.0,
AkderePeyami Safa Mh.,2+1,19500.0,AkderePeyami Safa Mh._2+1,04,0.0,-15.217391304347828,4.0,
AkderePeyami Safa Mh.,3+1,23590.0,AkderePeyami Safa Mh._3+1,04,-0.5185474424053127,0.3321518987341713,1.2582159624413145,27.513513513513516
AkderePeyami Safa Mh.,4+1,28500.0,AkderePeyami Safa Mh._4+1,04,0.0,,,18.75
AkderePeyami Safa Mh.,5+1,35000.0,AkderePeyami Safa Mh._5+1,04,0.0,,,
AkdereTürközü Mh.,1+1,37000.0,AkdereTürközü Mh._1+1,04,0.0,0.0,0.0,
AkdereTürközü Mh.,2+1,23375.0,AkdereTürközü Mh._2+1,04,3.888888888888889,6.857142857142858,6.653992395437257,-5.555555555555555
AkdereTürközü Mh.,3+1,24150.0,AkdereTürközü Mh._3+1,04,-15.878084179970969,-7.449101796407185,-1.809310835535678,-3.2064128256513023
AkdereTürközü Mh.,4+1,25000.0,AkdereTürközü Mh._4+1,04,3.0927835051546393,-23.076923076923077,-24.242424242424242,-16.666666666666664
AkdereTürközü Mh.,4.5+1,40500.0,AkdereTürközü Mh._4.5+1,04,-3.571428571428571,-3.571428571428571,-7.954545454545454,-7.954545454545454
AkdereTürközü Mh.,6+2,35000.0,AkdereTürközü Mh._6+2,04,,,,
Aktepe,2+1,18950.0,Aktepe_2+1,04,0.0,-5.131414267834793,-5.131414267834793,-19.360844264300685
Aktepe,3+1,22925.0,Aktepe_3+1,04,2.384079863391572,3.968253968253968,2.3024387473402523,-2.561523312979051
Aktepe,4+1,30000.0,Aktepe_4+1,04,0.0,0.0,0.0,-16.666666666666664
Aktepe23 Nisan Mah.,2+1,28500.0,Aktepe23 Nisan Mah._2+1,04,0.0,34.11764705882353,46.15384615384615,46.15384615384615
Aktepe23 Nisan Mah.,3+1,20075.0,Aktepe23 Nisan Mah._3+1,04,0.0,-3.152997932460367,-7.4647887323943705,-2.8629032258064573
AktepeAdnan Menderes Mah.,2+1,16166.666666666666,AktepeAdnan Menderes Mah._2+1,04,-12.612612612612617,-3.0000000000000107,-4.9019607843137285,-12.612612612612617
AktepeAdnan Menderes Mah.,3+1,23326.785714285714,AktepeAdnan Menderes Mah._3+1,04,0.6937485546905133,8.165693367035649,-4.7621256909556156,-7.4639905548996435
AktepeAdnan Menderes Mah.,4+1,39000.0,AktepeAdnan Menderes Mah._4+1,04,0.0,0.0,,
AktepeAdnan Menderes Mah.,5+1,38200.0,AktepeAdnan Menderes Mah._5+1,04,-0.34782608695652806,-6.829268292682928,-6.829268292682928,-9.047619047619047
AktepeAdnan Menderes Mah.,6+1,40000.0,AktepeAdnan Menderes Mah._6+1,04,0.0,0.0,-4.761904761904762,-4.761904761904762
AktepeBademlik Mah.,2+1,19485.714285714286,AktepeBademlik Mah._2+1,04,0.0,-0.0732600732600706,-4.889741131351867,-1.3381555153707025
AktepeBademlik Mah.,3+1,23012.5,AktepeBademlik Mah._3+1,04,-0.914962325080732,2.2777777777777777,-4.61139896373057,-8.861386138613861
AktepeBağlarbaşı Mh.,2+1,19108.333333333332,AktepeBağlarbaşı Mh._2+1,04,0.0,1.6014685403215447,8.87939221272554,3.288288288288282
AktepeBağlarbaşı Mh.,3+1,22563.95348837209,AktepeBağlarbaşı Mh._3+1,04,1.1795232041469965,1.0266662501691926,2.2529083781831147,4.2356547017188975
AktepeBağlarbaşı Mh.,4+1,29000.0,AktepeBağlarbaşı Mh._4+1,04,0.0,0.0,4.504504504504505,
AktepeGüzelyurt Mh.,2+1,17000.0,AktepeGüzelyurt Mh._2+1,04,0.0,0.0,0.0,0.0
AktepeGüzelyurt Mh.,3+1,20800.0,AktepeGüzelyurt Mh._3+1,04,0.0,-1.7322834645669347,-10.054054054054054,4.0
AktepeGüzelyurt Mh.,4+1,23500.0,AktepeGüzelyurt Mh._4+1,04,0.0,0.0,11.904761904761903,11.904761904761903
AktepeHasköy Mh.,1+1,25000.0,AktepeHasköy Mh._1+1,04,0.0,0.0,-20.634920634920633,
AktepeHasköy Mh.,2+1,38500.0,AktepeHasköy Mh._2+1,04,7.6923076923076925,-3.75,,140.625
AktepeHasköy Mh.,3+1,22950.0,AktepeHasköy Mh._3+1,04,2.730528200537153,4.794520547945205,2.761194029850752,14.75
AktepeKamil Ocak Mah.,2+1,19250.0,AktepeKamil Ocak Mah._2+1,04,-11.153846153846159,-11.153846153846159,-14.444444444444443,
