ProductName,Total_Period_Change_%,2026-04_Change_%
%100 280ML AKFIX AYNA NÖTR SA081 SILIKONU,0.0,0.0
%95 10X10 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 10X10 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 10X12 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 10X12 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 2X3 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 2X3 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 2X4 EBATLI FILE GÖLGELIK HAZIR MT,-0.0,-0.0
%95 2X4 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 2X5 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 2X5 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 2X6 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 2X6 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 3X10 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 3X10 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 3X3 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 3X3 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 3X4 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 3X4 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 3X5 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 3X5 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 3X6 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 3X6 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 3X7 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 3X7 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 3X8 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 3X8 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 4X10 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 4X10 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 4X4 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 4X4 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 4X5 EBATLI FILE GÖLGELIK HAZIR MT,-2.67,-2.67
%95 4X5 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 4X6 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 4X6 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 4X7 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 4X7 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 4X8 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 4X8 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 5X5 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 5X5 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 5X6 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 5X6 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 5X7 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 5X7 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
%95 5X8 EBATLI FILE GÖLGELIK HAZIR MT,0.0,0.0
%95 5X8 EBATLI FILE GÖLGELIK HAZIR MT ZEYTINLIK,0.0,0.0
