YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W10,14129.63,,0.0
2026-W11,13290.25,-5.94,-8.47
2026-W12,13574.22,2.14,2.44
2026-W13,13542.02,-0.24,0.26
2026-W14,13414.14,-0.94,0.63
2026-W15,14024.67,4.55,3.51
2026-W16,14155.59,0.93,2.24
2026-W17,13973.4,-1.29,-0.73
2026-W18,14210.63,1.7,2.26
2026-W19,14634.8,2.98,2.11
2026-W20,15156.25,3.56,1.97
2026-W21,14130.73,-6.77,-5.49
2026-W22,14196.97,0.47,-0.04
