kategori,urun_id,barcode,urun_ismi,fiyat
ust-giyim,ADX-0003466917,6000002043566,BERLIN YAZILI T-SHİRT P10410-ASN75,"329,50 TL"
ust-giyim,ADX-0003462803,6000002040039,YANI BÜZGÜLÜ T-SHİRT P0220-F3,"259,50 TL"
ust-giyim,ADX-0003462802,6000002039996,YANI BÜZGÜLÜ T-SHİRT P0220-F3,"259,50 TL"
ust-giyim,ADX-00034452Z55,6000002048868,ÖNÜ BÜZGÜLÜ DANTEL BLUZ B17002-N4,"419,50 TL"
ust-giyim,ADX-0003455211,6000002035653,OVERSİZE ÇİZGİLİ GÖMLEK G2021-Y13,"429,50 TL"
ust-giyim,ADX-0003460102,6000002039170,GİPELİ MİNİ ELBİSE E17078-S3,"199,50 TL"
ust-giyim,ADX-0003455402,6000002035738,OVERSİZE BASİC GÖMLEK G2012-G8,"649,50 TL"
ust-giyim,ADX-00034601Z55,6000002039262,GİPELİ MİNİ ELBİSE E17078-S3,"199,50 TL"
ust-giyim,ADX-0003432128,6000002049629,DÜĞMELİ UZUN KOLLU GÖMLEK G16809-Y9,"599,50 TL"
ust-giyim,ADX-00034322536,6000002049711,DÜĞMELİ ÇİZGİLİ GÖMLEK G16810-Z12,"299,50 TL"
ust-giyim,ADX-00034764B02,6000002049339,AYICIK BASKILI T-SHİRT P10434-K3,"329,50 TL"
ust-giyim,ADX-00033357B02,6000002019240,KAYIK YAKA T-SHİRT P1595-ASN75,"249,50 TL"
ust-giyim,ADX-0003484603,6000002055804,KAYIK YAKA BLUZ A17127-F2,"299,50 TL"
ust-giyim,ADX-0003484602,6000002055774,KAYIK YAKA BLUZ A17127-F2,"299,50 TL"
ust-giyim,ADX-00034846K78,6000002057785,KAYIK YAKA BLUZ A17127-F2,"299,50 TL"
ust-giyim,ADX-00034712Z55,6000002046000,KALIN ASKILI ATLET A0333-L5,"219,50 TL"
ust-giyim,ADX-0003471203,6000002045881,KALIN ASKILI ATLET A0333-L5,"219,50 TL"
ust-giyim,ADX-00034552B60,6000002035677,OVERSİZE ÇİZGİLİ GÖMLEK G2021-Y13,"429,50 TL"
ust-giyim,ADX-00034733D33,6000002047335,ÇİÇEK BASKILI T-SHİRT P1773,"279,50 TL"
ust-giyim,ADX-00034683B02,6000002044044,BASKILI KISA KOLLU T-SHİRT P10427-W4,"319,50 TL"
ust-giyim,ADX-0003463928,6000002041517,AYICIK İŞLEMELİ KALIN T-SHİRT P10405-E11,"399,50 TL"
ust-giyim,ADX-0003455209,6000002035646,OVERSİZE ÇİZGİLİ GÖMLEK G2021-Y13,"429,50 TL"
ust-giyim,ADX-00034763K110,6000002050083,YAZI BASKILI KISA KOLLU T-SHİRT P10432-U10,"349,50 TL"
