Name,Brand,SalePrice,RegularPrice,StockCode,URL,CategoryURL
Beyaz Çelik Civata DIN 933 8.8 - M6x35,N/A,2.21,2.21,"BC0635           2,21 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-35,https://nalburtek.com/hirdavat-ve-nalbur
Flap Disk Zımpara Alm-Oksit 180mm NK 60 Kum,N/A,108.6,108.6,"FDZ180060            108,60 TL            95,03 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/zimpara-ege-ve-asindirici-taslar/disk-zimparalar/prd-flap-disk-zimpara-180-mm-60-kum,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M6x40,N/A,2.36,2.36,"BC0640           2,36 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-40,https://nalburtek.com/hirdavat-ve-nalbur
Flap Disk Zımpara Alm-Oksit 180mm NK 80 Kum,N/A,N/A,N/A,FDZ180080               Sepete Ekle,/hirdavat-ve-nalbur/zimpara-ege-ve-asindirici-taslar/disk-zimparalar/prd-flap-disk-zimpara-180-mm-80-kum,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M6x45,N/A,2.62,2.62,"BC0645           2,62 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-45,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M6x50,N/A,2.85,2.85,"BC0650           2,85 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-50,https://nalburtek.com/hirdavat-ve-nalbur
Mapa Kilit-Zincir Kilidi 06 mm,N/A,16.29,16.29,"KZ006            16,29 TL            13,58 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-06-mm,https://nalburtek.com/hirdavat-ve-nalbur
German Çivi Sarı,N/A,138.0,138.0,"GÇ030            138,00 TL            114,00 TL           -  +   KG        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civi-cesitleri/prd-german-civi-2-5-kg,https://nalburtek.com/hirdavat-ve-nalbur
Mapa Kilit-Zincir Kilidi 08 mm,N/A,27.15,27.15,"KZ008            27,15 TL            19,01 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-08-mm,https://nalburtek.com/hirdavat-ve-nalbur
Çamaşır İpi-Teli Naylon 10mt,N/A,19.25,19.25,"Çİ5022            19,25 TL            13,75 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/ev-ve-yasam-urunleri/camasirlik-cesitleri/prd-camasir-ipi-naylon-10-mt,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M6x60,N/A,3.37,3.37,"BC0660           3,37 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-60,https://nalburtek.com/hirdavat-ve-nalbur
Mapa Kilit-Zincir Kilidi 10 mm,N/A,32.58,32.58,"KZ010            32,58 TL            24,44 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-10-mm,https://nalburtek.com/hirdavat-ve-nalbur
