Name,Brand,SalePrice,RegularPrice,StockCode,URL,CategoryURL
Dicle Dekoratif Rafaltı Demiri Beyaz 25x25cm,N/A,276.0,276.0,"KRS.189 60            276,00 TL            214,31 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/raf-altlari/prd-dicle-dekoratif-rafalti-demiri-beyaz-25x25-cm,https://nalburtek.com/yapi-market
Lastik Eldiven 8 - 8.5 No,N/A,36.0,36.0,"ELD885            36,00 TL            30,00 TL           -  +   ADET        Sepete Ekle",/yapi-market/is-guvenligi/eldivenler/prd-lastik-eldiven-8-8-5-no,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Oksit Sarı No:5 - 20ml,N/A,349.8,349.8,"MIXOL05            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-oksit-sari-no-5-20ml,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Kanarya Sarısı No:7 - 20ml,N/A,N/A,N/A,MIXOL07               Sepete Ekle,/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-kanarya-sarisi-no-7-20ml,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Yeşil No:8 - 20ml,N/A,349.8,349.8,"MIXOL08            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-yesil-no-8-20ml,https://nalburtek.com/yapi-market
Vida Kapağı Krom 20 mm,N/A,6.6,6.6,"VKK020           6,60 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/montaj-elemanlari/prd-vida-kapagi-krom-20-mm,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Kırmızı No:10 - 20ml,N/A,N/A,N/A,MIXOL10               Sepete Ekle,/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-kirmizi-no-10-20ml,https://nalburtek.com/yapi-market
Fırat Dekoratif Rafaltı Demiri Gümüş 15x15cm,N/A,192.0,192.0,"KRS.188 80            192,00 TL            135,52 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/raf-altlari/prd-firat-dekoratif-rafalti-demiri-gumus-15x15-cm,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Çam Yeşili No:12 - 20ml,N/A,349.8,349.8,"MIXOL12            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-cam-yesili-no-12-20ml,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Zeytin Yeşili No:15 - 20ml,N/A,349.8,349.8,"MIXOL15            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-zeytin-yesili-no-15-20ml,https://nalburtek.com/yapi-market
Kapı Emniyet Zinciri - Sarı,N/A,156.0,156.0,"EZ20            156,00 TL            132,00 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/kapi-pencere-aksesuarlari/prd-kapi-emniyet-zinciri-sari,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Limon Küfü No:16 - 20ml,N/A,349.8,349.8,"MIXOL16            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-limon-kufu-no-16-20ml,https://nalburtek.com/yapi-market
Kapı Emniyet Zinciri - Saten,N/A,156.0,156.0,"EZ22            156,00 TL            132,00 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/kapi-pencere-aksesuarlari/prd-kapi-emniyet-zinciri-saten,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Hardal Küfü No:17 - 20ml,N/A,349.8,349.8,"MIXOL17            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-hardal-kufu-no-17-20ml,https://nalburtek.com/yapi-market
Kapı Emniyet Zinciri - Krom,N/A,156.0,156.0,"EZ23            156,00 TL            132,00 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/kapi-pencere-aksesuarlari/prd-kapi-emniyet-zinciri-krom,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Turuncu No:18 - 20ml,N/A,349.8,349.8,"MIXOL18            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-turuncu-no-18-20ml,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Deve Tüyü No:19 - 20ml,N/A,349.8,349.8,"MIXOL19            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-deve-tuyu-no-19-20ml,https://nalburtek.com/yapi-market
Eurostar Ahşap-Ağaç Tutkalı 350Gr,N/A,90.0,90.0,"AT350            90,00 TL            72,00 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/yapistiricilar/prd-eurostar-ahsap-tutkal-350gr,https://nalburtek.com/yapi-market
Evobond 502 Japon Yapıştırıcısı 20 Gr,N/A,65.16,65.16,"EVO502            65,16 TL            48,87 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/yapistiricilar/hizli-yapistiricilar/prd-evobond-502-japon-yapistiricisi-20-gr,https://nalburtek.com/yapi-market
Fırat Dekoratif Rafaltı Demiri Beyaz 20x15cm,N/A,204.0,204.0,"KRS.188 86            204,00 TL            147,80 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/raf-altlari/prd-firat-dekoratif-rafalti-demiri-beyaz-20x15-cm,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Kestane No:20 - 20ml,N/A,349.8,349.8,"MIXOL20            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-kestane-no-20-20ml,https://nalburtek.com/yapi-market
Fırat Dekoratif Rafaltı Demiri Beyaz 25x15cm,N/A,240.0,240.0,"KRS.188 87            240,00 TL            159,67 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/raf-altlari/prd-firat-dekoratif-rafalti-demiri-beyaz-25x15-cm,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Tütün No:22 - 20ml,N/A,349.8,349.8,"MIXOL22            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-tutun-no-22-20ml,https://nalburtek.com/yapi-market
Ayarlı Raf Altı Beyaz 1 No 20cmx11cm,N/A,72.0,72.0,"ARB001            72,00 TL            48,00 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/raf-altlari/prd-ayarli-raf-alti-beyaz-1-no-20cmx11cm,https://nalburtek.com/yapi-market
Asi Rafaltı Demiri - Siyah 20x16,N/A,180.0,180.0,"KRS.188 48            180,00 TL            120,20 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/raf-altlari/prd-asi-rafalti-demiri-siyah-20-x-16,https://nalburtek.com/yapi-market
Mixol Renk Tüpü Koyu Kahve No:23 - 20ml,N/A,349.8,349.8,"MIXOL23            349,80 TL            238,50 TL           -  +   ADET        Sepete Ekle",/yapi-market/yapi-kimyasallari/boya-ve-renklendiriciler/renklendiriciler/prd-mixol-renk-tupu-koyu-kahve-no-23-20ml,https://nalburtek.com/yapi-market
Asi Rafaltı Demiri - Siyah 25x20,N/A,240.0,240.0,"KRS.188 49            240,00 TL            146,14 TL           -  +   ADET        Sepete Ekle",/yapi-market/mobilya-aksesuarlari/raf-altlari/prd-asi-rafalti-demiri-siyah-25-x-20,https://nalburtek.com/yapi-market
