YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W10,15802.94,,0.0
2026-W11,15819.54,0.11,1.22
2026-W12,16049.26,1.45,1.34
2026-W13,15853.29,-1.22,-0.02
2026-W14,15840.33,-0.08,0.66
2026-W15,15563.21,-1.75,-0.89
2026-W16,15609.69,0.3,0.62
2026-W17,15640.4,0.2,1.19
2026-W18,15809.32,1.08,-0.23
2026-W19,15787.06,-0.14,-1.45
2026-W20,15530.09,-1.63,-0.16
2026-W21,15988.45,2.95,2.86
2026-W22,16093.06,0.65,0.53
