District,Rooms,Price
İdil,3+1,12.000 TL
Cizre,2+1,12.000 TL
İdil,1+1,7.500 TL
İdil,3+1,8.500 TL
İdil,2+1,8.500 TL
Silopi,1+1,12.000 TL
İdil,2+1,11.000 TL
İdil,2+1,10.000 TL
İdil,3+1,6.500 TL
Cizre,2+1,12.750 TL
Silopi,1+1,14.000 TL
Silopi,2+1,15.000 TL
İdil,3+1,15.000 TL
İdil,3+1,13.500 TL
İdil,2+1,14.000 TL
Merkez / Şırnak,1+1,17.000 TL
Merkez / Şırnak,1+1,17.000 TL
Silopi,3+1,18.000 TL
Merkez / Şırnak,1+1,20.000 TL
Cizre,1+1,20.000 TL
Cizre,2+1,20.000 TL
Cizre,3+1,26.000 TL
