kategori,title,price,cart_discount_text,image_urls,product_url,product_id
erkek,Brooks Erkek Mont Lacivert,"4.999,99",,https://witcdn.lufian.com/brooks-erkek-mont-lacivert-erkek-mevsimlik-ruzgarlik-mont-lufian-469406-10-B.jpg | https://witcdn.lufian.com/brooks-erkek-mont-lacivert-erkek-mevsimlik-ruzgarlik-mont-lufian-469407-10-B.jpg,https://www.lufian.com/brooks-erkek-mont-lacivert,10673
erkek,Scott Erkek Mont Siyah,"4.999,99",,https://witcdn.lufian.com/scott-erkek-mont-siyah-10674-erkek-mevsimlik-ruzgarlik-mont-lufian-469412-10-B.jpg | https://witcdn.lufian.com/scott-erkek-mont-siyah-10674-erkek-mevsimlik-ruzgarlik-mont-lufian-469413-10-B.jpg,https://www.lufian.com/scott-erkek-mont-siyah-10674,10674
erkek,Scott Erkek Mont Lacivert,"4.999,99",,https://witcdn.lufian.com/scott-erkek-mont-lacivert-erkek-mevsimlik-ruzgarlik-mont-lufian-469418-10-B.jpg | https://witcdn.lufian.com/scott-erkek-mont-lacivert-erkek-mevsimlik-ruzgarlik-mont-lufian-469419-10-B.jpg,https://www.lufian.com/scott-erkek-mont-lacivert,10675
erkek,Layer Erkek Mont Lacivert,"5.999,99",,https://witcdn.lufian.com/layer-erkek-mont-lacivert-erkek-mevsimlik-ruzgarlik-mont-lufian-469424-10-B.jpg | https://witcdn.lufian.com/layer-erkek-mont-lacivert-erkek-mevsimlik-ruzgarlik-mont-lufian-469425-10-B.jpg,https://www.lufian.com/layer-erkek-mont-lacivert,10676
erkek,Sılvıa Erkek Basic Gömlek Regular Fit Mavi,"1.999,99",,https://witcdn.lufian.com/silvia-erkek-basic-gomlek-regular-fit-mavi-erkek-klasik-gomlek-lufian-468418-10-B.jpg | https://witcdn.lufian.com/silvia-erkek-basic-gomlek-regular-fit-mavi-erkek-klasik-gomlek-lufian-468419-10-B.jpg,https://www.lufian.com/silvia-erkek-basic-gomlek-regular-fit-mavi,10530
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Koyu Kahve,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-koyu-kahve-erkek-keten-gomlek-lufian-468424-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-koyu-kahve-erkek-keten-gomlek-lufian-468425-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-koyu-kahve,10531
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Gül Kurusu,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-gul-kurusu-10532-erkek-keten-gomlek-lufian-468430-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-gul-kurusu-10532-erkek-keten-gomlek-lufian-468431-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-gul-kurusu-10532,10532
erkek,Veler Erkek Basic Gömlek Regular Fit Beyaz,"1.799,99",,https://witcdn.lufian.com/veler-erkek-basic-gomlek-regular-fit-beyaz-erkek-klasik-gomlek-lufian-468737-10-B.jpg | https://witcdn.lufian.com/veler-erkek-basic-gomlek-regular-fit-beyaz-erkek-klasik-gomlek-lufian-468738-10-B.jpg,https://www.lufian.com/veler-erkek-basic-gomlek-regular-fit-beyaz,10533
erkek,Beck Erkek Gömlek Ceket Siyah,"3.999,99",,https://witcdn.lufian.com/beck-erkek-gomlek-ceket-siyah-erkek-spor-gomlek-lufian-468562-10-B.jpg | https://witcdn.lufian.com/beck-erkek-gomlek-ceket-siyah-erkek-spor-gomlek-lufian-468563-10-B.jpg,https://www.lufian.com/beck-erkek-gomlek-ceket-siyah,10554
erkek,Beck Erkek Gömlek Ceket Lacivert,"3.999,99",,https://witcdn.lufian.com/beck-erkek-gomlek-ceket-lacivert-erkek-spor-gomlek-lufian-468568-10-B.jpg | https://witcdn.lufian.com/beck-erkek-gomlek-ceket-lacivert-erkek-spor-gomlek-lufian-468569-10-B.jpg,https://www.lufian.com/beck-erkek-gomlek-ceket-lacivert,10555
erkek,Flex Erkek Gömlek Ceket Lacivert,"3.999,99",,https://witcdn.lufian.com/flex-erkek-gomlek-ceket-lacivert-erkek-spor-gomlek-lufian-468574-10-B.jpg | https://witcdn.lufian.com/flex-erkek-gomlek-ceket-lacivert-erkek-spor-gomlek-lufian-468575-10-B.jpg,https://www.lufian.com/flex-erkek-gomlek-ceket-lacivert,10556
erkek,Cole Erkek Gömlek Ceket Deve Tüyü,"4.999,99",,https://witcdn.lufian.com/cole-erkek-gomlek-ceket-deve-tuyu-erkek-spor-gomlek-lufian-468580-10-B.jpg | https://witcdn.lufian.com/cole-erkek-gomlek-ceket-deve-tuyu-erkek-spor-gomlek-lufian-468581-10-B.jpg,https://www.lufian.com/cole-erkek-gomlek-ceket-deve-tuyu,10557
