YearMonth,TOTAL_AvgPrice,TOTAL_Inflation_%,Altınyıldız_AvgPrice,Civil_AvgPrice,Colins_AvgPrice,Koton_AvgPrice,LCWaikiki_AvgPrice,Stradivarius_AvgPrice,Vakko_AvgPrice,adL_AvgPrice,addax_AvgPrice,Altınyıldız_MoM_%,Civil_MoM_%,Colins_MoM_%,Koton_MoM_%,LCWaikiki_MoM_%,Stradivarius_MoM_%,Vakko_MoM_%,adL_MoM_%,addax_MoM_%
2026-03,6312496685587.96,,,,,8684483367317.6,,,22756.23,258175.61,,,,,,,,,,
2026-04,5760277928536.08,-8.75,,,,8684463000290.12,63414.2,,10744.98,274820.79,,,,,-0.0,,,-52.78,6.45,
