ProductName,Total_Period_Change_%,2026-04_Change_%
%100 / AC&CO ALTINYILDIZ BEYAZ CLASSICS COMFORT DÜĞME ERKEK FIT FLAMLI GIZLI GÖMLEK KESIM PAMUK RAHAT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ BEYAZ CLASSICS DAR DÜĞMELI ERKEK FIT GÖMLEK KESIM PAMUK SLIM TAILORED YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ BISIKLET CLASSICS ERKEK FIT HAVACI JAKARLI KAZAK KESIM MAVI NORMAL PAMUK STANDART TRIKO YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS COMFORT DÜĞME ERKEK FIT FLAMLI GIZLI GÖMLEK KAHVERENGI KESIM PAMUK RAHAT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR DÜĞMELI ERKEK FIT FLAMLI GÖMLEK KESIM MAVI OXFORD PAMUK SLIM YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR DÜĞMELI ERKEK FIT FLAMLI GÖMLEK KESIM OXFORD PAMUK PEMBE SLIM YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR DÜĞMELI ERKEK FIT FLAMLI GÖMLEK KESIM OXFORD PAMUK SLIM TURUNCU YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT GÜL KESIM KISA KOLLU KURUSU PAMUK POLO SLIM TIŞÖRT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT HAKI KESIM KISA KOLLU PAMUK POLO SLIM TIŞÖRT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT KESIM KISA KOLLU MAVI PAMUK POLO ROYAL SLIM TIŞÖRT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT KESIM KISA KOLLU NAR PAMUK POLO SLIM TIŞÖRT YAKA ÇIÇEĞI,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT KESIM KISA KOLLU PAMUK PAMUKLU SIYAH SLIM TIŞÖRT V V YAKA YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT KESIM KISA KOLLU PAMUK POLO SAFARI SLIM TIŞÖRT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT KESIM KISA KOLLU PAMUK POLO SARI SLIM TIŞÖRT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT KESIM KISA KOLLU PAMUK POLO SLIM TIŞÖRT VIZON YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS DAR ERKEK FIT KESIM LACIVERT PAMUK POLO SLIM TIŞÖRT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ CLASSICS EKRU ERKEK FIT GENIŞ KESIM LACIVERT PAMUK POLO REGULAR TIŞÖRT YAKA,0.0,0.0
%100 / ALTI CEPLI DOĞAL EKOSE ERKEK FORMO KALITELI KARELI ORGANIK PAMUK PIJAMA,0.0,0.0
%100 0018 BASKILI BISIKLET ERKEK ERKEK GÜNLÜK KISA KOLLU PAMUK RAHAT RODI TIŞÖRT TIŞÖRT VE YAKA,0.0,0.0
%100 0068 ALABILIR BASIC BASKILI ERKEK KESIM KUMAŞ NEFES PAMUK RAHAT RODI SIFIR TIŞÖRT TIŞÖRT YAKA,0.0,0.0
%100 1000ML ARINDIRICI BITKISEL DEFNE DOĞAL KASTIL NEMLENDIRICI SABUN SIVENO SIVI VEGAN YAĞLI YOĞUN,0.0,0.0
%100 1000ML BITKISEL CILDI DOĞAL KASTIL LAVANTA NEMLENDIRICI RAHATLATICI SABUN SIVENO SIVI VEGAN YAĞLI,0.0,0.0
%100 1000ML BITKISEL DOĞAL KASTIL NEMLENDIRICI SABUN SIVENO SIVI VEGAN YOĞUN ZEYTINYAĞLI,0.0,0.0
%100 101 7S6 BASIC BEYAZ CARROT DENIM FIT IT'S JEAN KADIN KIRIK MID PAMUK RISE VENÜS,0.0,0.0
